NSID	HHID	W7MODE	W7QSAMEAD	W7QANYSTA	W7INCAR	W7LIVERELAT	W7SHGINT	W7SEX	W7RELATION
NS10045A	3	2	1	-91	-91	-91	1	-91	-91
NS10045A	4	2	1	-91	-91	-91	3	-91	-91
NS10045A	5	2	1	-91	-91	-91	1	-91	-91
NS10045A	6	2	1	-91	-91	-91	1	-91	-91
NS10047C	1	3	1	-91	-91	-91	4	-91	-91
NS10047C	2	3	1	-91	-91	-91	1	-91	-91
NS10047C	3	3	1	-91	-91	-91	1	-91	-91
NS10047C	4	3	1	-91	-91	-91	1	-91	-91
NS10047C	5	3	1	-91	-91	-91	1	-91	-91
NS10048D	1	3	1	-91	-91	-91	4	-91	-91
NS10048D	2	3	1	-91	-91	-91	1	-91	-91
NS10048D	3	3	1	-91	-91	-91	0	-91	-91
NS10050P	1	2	1	-91	-91	-91	4	-91	-91
NS10050P	2	2	1	-91	-91	-91	0	-91	-91
NS10050P	3	2	1	-91	-91	-91	1	-91	-91
NS10050P	4	2	1	-91	-91	-91	1	-91	-91
NS10050P	5	2	1	-91	-91	-91	1	-91	-91
NS10051Q	1	2	1	-91	-91	-91	4	-91	-91
NS10051Q	2	2	1	-91	-91	-91	1	-91	-91
NS10051Q	3	2	1	-91	-91	-91	0	-91	-91
NS10051Q	4	2	1	-91	-91	-91	1	-91	-91
NS10052R	1	2	1	-91	-91	-91	4	-91	-91
NS10052R	2	2	1	-91	-91	-91	1	-91	-91
NS10052R	3	2	1	-91	-91	-91	1	-91	-91
NS10052R	4	2	1	-91	-91	-91	1	-91	-91
NS10052R	5	2	1	-91	-91	-91	1	-91	-91
NS10052R	6	2	1	-91	-91	-91	0	-91	-91
NS10053S	1	3	2	1	-91	-91	4	-91	-91
NS10053S	2	3	2	1	-91	-91	3	-91	-91
NS10053S	3	3	2	1	-91	-91	1	-91	-91
NS10053S	4	3	2	1	-91	-91	1	-91	-91
NS10055V	1	3	2	2	2	-91	4	-91	-91
NS10055V	2	3	2	2	2	-91	3	-91	-91
NS10055V	3	3	2	2	2	-91	3	-91	-91
NS10055V	4	3	2	2	2	-91	3	-91	-91
NS10055V	5	3	2	2	2	-91	3	-91	-91
NS10056W	1	3	1	-91	-91	-91	4	-91	-91
NS10056W	2	3	1	-91	-91	-91	1	-91	-91
NS10056W	3	3	1	-91	-91	-91	1	-91	-91
NS10056W	4	3	1	-91	-91	-91	1	-91	-91
NS10056W	5	3	1	-91	-91	-91	1	-91	-91
NS10059Z	1	3	1	-91	-91	-91	4	-91	-91
NS10059Z	2	3	1	-91	-91	-91	1	-91	-91
NS10059Z	3	3	1	-91	-91	-91	1	-91	-91
NS10059Z	4	3	1	-91	-91	-91	1	-91	-91
NS10059Z	5	3	1	-91	-91	-91	1	-91	-91
NS10060J	1	3	1	-91	-91	-91	4	-91	-91
NS10060J	2	3	1	-91	-91	-91	1	-91	-91
NS10060J	3	3	1	-91	-91	-91	1	-91	-91
NS10060J	4	3	1	-91	-91	-91	0	-91	-91
NS10060J	5	3	1	-91	-91	-91	0	-91	-91
NS10060J	6	3	1	-91	-91	-91	2	2	2
NS10060J	7	3	1	-91	-91	-91	2	1	7
NS10062L	1	2	1	-91	-91	-91	4	-91	-91
NS10062L	2	2	1	-91	-91	-91	1	-91	-91
NS10062L	3	2	1	-91	-91	-91	1	-91	-91
NS10062L	4	2	1	-91	-91	-91	1	-91	-91
NS10062L	5	2	1	-91	-91	-91	1	-91	-91
NS10063M	1	2	1	-91	-91	-91	4	-91	-91
NS10063M	2	2	1	-91	-91	-91	1	-91	-91
NS10063M	3	2	1	-91	-91	-91	1	-91	-91
NS10063M	4	2	1	-91	-91	-91	0	-91	-91
NS10063M	5	2	1	-91	-91	-91	0	-91	-91
NS10063M	6	2	1	-91	-91	-91	0	-91	-91
NS10063M	7	2	1	-91	-91	-91	1	-91	-91
NS10063M	8	2	1	-91	-91	-91	0	-91	-91
NS10063M	9	2	1	-91	-91	-91	1	-91	-91
NS10063M	10	2	1	-91	-91	-91	0	-91	-91
NS10063M	11	2	1	-91	-91	-91	1	-91	-91
