NSID	W1HhID	W1AgeIf	W1Sex	W1MarStat	W1LiveWit	W1EmpStat	W1EthGrp	W1R_1	W1R_2	W1R_3	W1R_4	W1R_5	W1R_6	W1R_7	W1R_8	W1R_9	W1R_10	W1R_11	W1R_12	W1R_13	W1R_14	W1STypeE	W1mainres	W1secores	W1histres	W1vInfoN	Designweight
NS21572X	4	19	1	1	2	5	1	13	3	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	6	1.09436030422247
NS21572X	5	16	1	1	2	5	1	13	3	3	13	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	6	1.09436030422247
NS21572X	6	11	2	-91	-91	-91	1	13	3	3	13	13	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	6	1.09436030422247
NS21185L	1	14	1	-91	-91	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	4	0	4	4	2.67229698394907
NS21185L	2	59	1	2	-91	1	1	20	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	4	0	4	4	2.67229698394907
NS21185L	3	49	2	2	-91	1	1	20	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	4	0	4	4	2.67229698394907
NS21185L	4	32	2	1	2	6	1	10	6	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	4	0	4	4	2.67229698394907
NS13972M	1	13	1	-91	-91	-91	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	5	.370173169347943
NS13972M	2	46	2	2	-91	1	8	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	5	.370173169347943
NS13972M	3	47	1	2	-91	1	8	8	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	5	.370173169347943
NS13972M	4	21	2	1	2	5	8	13	3	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	5	.370173169347943
NS13972M	5	14	2	-91	-91	-91	8	13	3	3	13	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	5	.370173169347943
NS20913T	1	14	1	-91	-91	-91	10	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	3	2	.151981882015985
NS20913T	2	71	1	2	-91	7	10	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	3	2	.151981882015985
NS20913T	3	45	2	2	-91	6	10	8	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	3	2	.151981882015985
NS20913T	4	18	2	1	2	3	10	13	3	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	16	2	3	3	2	.151981882015985
NS20913T	5	17	1	1	2	3	10	13	3	3	13	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	16	2	3	3	2	.151981882015985
NS14531V	1	14	2	-91	-91	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	2	1.36628717976343
NS14531V	2	43	2	2	-91	2	1	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	2	1.36628717976343
NS14531V	3	43	1	2	-91	1	1	8	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	2	1.36628717976343
NS14531V	4	10	2	-91	-91	-91	1	13	3	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	2	1.36628717976343
NS22005Y	1	14	1	-91	-91	-91	4	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	0	2	3	.365572593787429
NS22005Y	2	50	2	1	-91	1	1	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	0	2	3	.365572593787429
NS22005Y	3	18	1	1	2	5	4	13	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	0	2	3	.365572593787429
NS21112W	1	14	2	-91	-91	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	2	.994593937077361
NS21112W	2	40	2	2	-91	1	1	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	2	.994593937077361
NS21112W	3	44	1	2	-91	1	1	8	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	2	.994593937077361
NS21112W	4	16	1	1	2	5	1	13	3	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	2	.994593937077361
NS21112W	5	11	1	-91	-91	-91	1	13	3	3	13	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	2	.994593937077361
NS16745P	1	13	2	-91	-91	-91	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	0	2	5	.421069155827757
NS16745P	2	41	2	6	-91	1	8	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	0	2	5	.421069155827757
NS16745P	3	16	2	1	2	5	8	13	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	0	2	5	.421069155827757
NS16745P	4	15	2	-91	-91	-91	8	13	3	13	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	0	2	5	.421069155827757
NS16745P	5	13	1	-91	-91	-91	8	13	3	13	13	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	0	2	5	.421069155827757
NS25351K	1	14	2	-91	-91	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	2	1.36628717976343
NS25351K	2	42	2	2	-91	5	1	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	2	1.36628717976343
NS25351K	3	44	1	2	-91	1	1	8	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	2	1.36628717976343
NS25351K	4	15	1	-91	-91	-91	1	13	3	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	2	1.36628717976343
NS24235C	1	14	1	-91	-91	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	2	1.36628717976343
NS24235C	2	44	2	2	-91	2	1	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	2	1.36628717976343
NS24235C	3	44	1	2	-91	1	1	8	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	2	1.36628717976343
NS24235C	4	16	1	1	2	5	1	13	3	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	2	1.36628717976343
NS24235C	5	12	1	-91	-91	-91	1	13	3	3	13	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	2	1.36628717976343
NS16648Q	1	14	1	-91	-91	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	4	.365572593787429
NS16648Q	2	54	2	2	-91	1	1	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	4	.365572593787429
NS16648Q	3	45	1	2	-91	1	1	11	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	4	.365572593787429
NS16648Q	4	23	1	1	2	1	1	13	3	4	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	17	2	3	2	4	.365572593787429
