NSID	W8HHMID	W8DCHSEX	W8HHMDOBM	W8HHMDOBY	W8DHHMAGE	W8RAGE	W8RELTOKEY
NS14315F	3	2	4	1994	21	-1	8
NS14316G	1	2	2	1960	55	-1	1
NS14319K	1	2	-9	-9	-1	63	1
NS14319K	2	1	-9	-9	-1	58	1
NS14327C	1	1	3	1990	25	-1	17
NS14330P	1	2	5	1958	57	-1	1
NS14330P	2	2	8	1983	32	-1	8
NS14332R	1	2	-9	-9	-1	-9	1
NS14333S	1	1	7	1957	58	-1	1
NS14333S	2	2	11	1962	53	-1	1
NS14333S	3	2	5	1935	80	-1	14
NS14333S	4	2	1	1988	27	-1	8
NS14333S	5	1	6	1993	22	-1	8
NS14334T	1	2	10	1968	47	-1	5
NS14334T	2	2	11	1998	17	-1	13
NS14334T	3	1	8	2000	15	-1	13
NS14336W	1	1	1	1955	61	-1	1
NS14342L	1	1	10	1963	52	-1	1
NS14342L	2	2	1	1964	52	-1	1
NS14342L	3	1	-9	-9	-1	58	15
NS14346Q	1	1	3	1960	56	-1	1
NS14346Q	2	2	11	1961	54	-1	1
NS14346Q	3	2	9	1993	22	-1	8
NS14347R	1	2	-9	-9	-1	-8	5
NS14347R	2	1	-9	-9	-1	-8	5
NS14358M	1	2	8	1964	51	-1	1
NS14358M	2	1	7	1994	21	-1	8
NS14361Z	1	2	8	1958	56	-1	1
NS14361Z	2	1	11	1994	20	-1	8
NS14367F	1	1	3	1992	24	-1	8
NS14367F	2	2	1	1998	18	-1	9
NS14367F	3	1	5	1965	51	-1	4
NS14367F	4	2	-9	-9	-1	51	1
NS14369H	1	1	9	1953	62	-1	1
NS14369H	2	2	11	1953	62	-1	1
NS14369H	3	-9	-9	-9	-1	-9	-9
NS14369H	4	-9	-9	-9	-1	-9	-9
NS14369H	5	-9	-9	-9	-1	-9	-9
NS14369H	6	-9	-9	-9	-1	-9	-9
NS14369H	7	-9	-9	-9	-1	-9	-9
NS14372V	1	2	-9	-9	-1	23	19
NS14378B	1	1	8	1958	57	-1	1
NS14378B	2	2	9	1964	51	-1	1
NS14378B	3	1	9	1989	26	-1	8
NS14378B	4	1	10	1993	22	-1	8
NS14382P	1	2	4	1939	76	-1	14
NS14383Q	1	2	6	1979	36	-1	1
NS14383Q	2	1	4	1998	18	-1	8
NS14384R	1	1	12	1993	22	-1	8
NS14384R	2	2	1	1960	56	-1	1
NS14384R	3	1	11	1956	59	-1	1
NS14385S	1	1	11	1958	57	-1	1
NS14385S	2	2	12	1953	62	-1	1
NS14385S	3	2	6	1988	27	-1	8
NS14393K	1	1	4	1992	23	-1	8
NS14393K	2	2	8	1955	60	-1	1
NS14395M	1	2	8	1951	64	-1	23
NS14395M	2	1	6	1943	72	-1	23
NS14396N	1	1	10	1995	19	-1	8
NS14396N	2	2	8	1964	50	-1	1
NS14396N	3	1	5	1969	46	-1	4
NS14399R	1	2	-9	-9	-1	-9	-9
NS14399R	2	2	-9	-9	-1	-9	-9
NS14403L	1	1	11	1953	62	-1	1
NS14403L	2	2	10	1994	21	-1	23
NS14410C	1	1	4	1988	28	-1	17
NS14412E	1	2	6	1960	55	-1	1
NS14412E	2	1	12	1993	22	-1	8
NS14418L	1	2	-9	-9	-1	23	8
NS14418L	2	1	-9	-9	-1	18	8
NS14418L	3	2	-9	-9	-1	-9	1
NS14421Y	1	1	2	1959	56	-1	1
NS14421Y	2	2	11	1955	60	-1	1
NS14421Y	3	1	12	1992	22	-1	8
NS14429G	1	2	-9	-9	-1	25	17
NS14441M	1	1	9	1987	28	-1	13
NS14446S	1	1	4	1954	61	-1	1
NS14446S	2	2	11	1967	48	-1	1
NS14446S	3	2	2	1935	81	-1	14
NS14446S	4	2	11	1998	17	-1	8
NS14456M	1	2	6	1960	55	-1	1
NS14462C	1	1	1	1959	56	-1	1
NS14462C	2	2	12	1959	55	-1	1
NS14462C	3	1	6	1992	23	-1	8
NS14462C	4	2	5	1997	18	-1	8
NS14466G	1	2	2	1966	50	-1	1
NS14466G	2	2	2	1985	31	-1	8
NS14466G	3	2	9	1987	28	-1	8
NS14466G	4	2	8	1989	26	-1	8
NS14466G	5	2	12	1995	20	-1	8
NS14468J	1	2	11	1967	48	-1	1
NS14472X	1	2	7	1973	42	-1	1
NS14472X	2	1	9	1973	42	-1	4
NS14472X	3	2	1	1993	23	-1	8
NS14479E	1	-9	-9	-9	-1	-9	-9
NS14479E	2	-9	-9	-9	-1	-9	-9
NS14479E	3	-9	-9	-9	-1	-9	-9
NS14479E	4	-9	-9	-9	-1	-9	-9
NS14479E	5	-9	-9	-9	-1	-9	-9
NS14479E	6	-9	-9	-9	-1	-9	-9
NS14503N	1	2	-9	-9	-1	49	1
NS14503N	2	2	6	1994	21	-1	8
NS14509V	1	2	4	1962	54	-1	1
NS14509V	2	1	9	1964	51	-1	1
NS14522B	1	1	1	1993	22	-1	8
NS14522B	2	2	7	1987	28	-1	17
NS14524D	1	2	5	2000	15	-1	6
NS14525E	1	1	5	1955	60	-1	1
NS14525E	2	2	12	1953	61	-1	1
NS14525E	3	1	5	1986	29	-1	8
NS14525E	4	1	4	1992	23	-1	8
NS14531V	1	1	1	1961	55	-1	1
NS14531V	2	2	11	1960	55	-1	1
NS14531V	3	2	5	1993	22	-1	8
NS14539D	1	1	9	1950	65	-1	1
NS14539D	2	2	4	1951	64	-1	1
NS14540N	1	2	-9	-9	-1	55	1
NS14540N	2	1	-9	-9	-1	63	1
NS14540N	3	1	11	1985	30	-1	8
NS14545T	1	2	4	1958	57	-1	1
NS14545T	2	1	-9	-9	-1	63	1
NS14549Y	1	1	-9	-9	-1	-8	17
NS14549Y	2	1	-9	-9	-1	-8	17
NS14549Y	3	2	-9	-9	-1	-8	17
NS14549Y	4	2	-9	-9	-1	-8	17
NS14557Q	1	1	10	1946	69	-1	1
NS14559S	1	2	-9	-9	-1	-8	1
NS14559S	2	1	-9	-9	-1	-8	4
NS14559S	3	1	-9	-9	-1	-8	9
NS14560C	1	1	12	1947	68	-1	1
NS14560C	2	2	6	1953	62	-1	1
NS14571Y	1	1	3	1960	55	-1	1
NS14571Y	2	2	6	1965	50	-1	1
NS14571Y	3	2	1	1997	19	-1	8
NS14571Y	4	1	1	1998	18	-1	8
NS14576D	1	2	8	1966	49	-1	1
NS14576D	2	1	11	1993	21	-1	8
NS14576D	3	1	4	1999	16	-1	9
NS14581S	1	2	11	1967	48	-1	1
NS14581S	2	1	3	1968	47	-1	1
NS14581S	3	2	1	1994	21	-1	8
NS14585X	1	1	6	1994	21	-1	8
NS14585X	2	2	2	1960	56	-1	1
NS14585X	3	1	8	1960	55	-1	1
NS14592N	1	2	11	1988	27	-1	8
NS14592N	2	1	7	1958	57	-1	1
NS14592N	3	2	7	1965	50	-1	1
NS14593P	1	2	8	1965	50	-1	1
NS14593P	2	1	9	1994	21	-1	8
NS14593P	3	1	4	1960	55	-1	1
NS14598V	1	2	10	1989	26	-1	17
NS14602P	1	2	7	1959	56	-1	1
NS14602P	2	1	2	1954	61	-1	1
NS14602P	3	2	1	1989	27	-1	8
NS14605S	1	2	3	1955	60	-1	1
NS14605S	2	1	6	1954	61	-1	1
NS14608W	1	1	12	1960	55	-1	1
NS14608W	2	2	11	1963	52	-1	1
NS14608W	3	1	2	1993	22	-1	8
NS14612J	1	2	8	1990	25	-1	8
NS14612J	2	2	3	1990	26	-1	23
NS14615M	1	2	3	2001	14	-1	8
NS14615M	2	1	7	1958	57	-1	1
NS14615M	3	2	9	1942	73	-1	1
NS14638E	1	1	7	1951	64	-1	1
NS14638E	2	2	2	1959	56	-1	1
NS14638E	3	2	5	1994	21	-1	8
NS14638E	4	1	-9	-9	-1	-8	15
NS14643T	1	1	12	1937	78	-1	14
NS14643T	2	2	1	1939	77	-1	14
NS14643T	3	1	4	1964	52	-1	1
NS14643T	4	2	7	1961	54	-1	1
NS14643T	5	2	5	1990	25	-1	23
NS14643T	6	2	9	1993	22	-1	8
NS14656R	1	2	11	1959	56	-1	1
NS14656R	2	1	10	1955	60	-1	1
NS14658T	1	1	2	1938	78	-1	1
NS14658T	2	2	6	1950	66	-1	1
NS14660E	1	1	11	1940	75	-1	1
NS14660E	2	2	10	1953	62	-1	1
NS14663H	1	2	6	1948	67	-1	1
NS14666L	1	1	-9	-9	-1	56	1
NS14666L	2	2	-9	-9	-1	52	1
NS14668N	1	1	2	1958	57	-1	1
NS14668N	2	2	1	1966	50	-1	1
NS14668N	3	2	11	1988	27	-1	8
NS14668N	4	1	7	1993	22	-1	8
NS14678H	1	2	7	1961	54	-1	1
NS14678H	2	1	4	1961	54	-1	1
NS14681V	1	1	2	1963	53	-1	1
NS14681V	2	2	4	1966	50	-1	1
NS14681V	3	1	8	1991	24	-1	8
NS14681V	4	1	11	1993	22	-1	8
NS14682W	1	2	3	1954	61	-1	1
NS14682W	2	1	5	1953	62	-1	1
NS14683X	1	2	-9	-9	-1	59	1
NS14683X	2	1	-9	-9	-1	23	8
NS14687B	1	1	12	1987	28	-1	17
NS14688C	1	2	11	1955	60	-1	1
NS14688C	2	1	11	1952	63	-1	1
NS14690N	1	1	-9	-9	-1	-9	1
NS14690N	2	1	-9	-9	-1	-8	1
NS14691P	1	1	4	1961	54	-1	1
NS14691P	2	2	7	1964	51	-1	1
NS14692Q	1	1	-9	-9	-1	-9	1
NS14692Q	2	2	-9	-9	-1	-9	1
NS14692Q	3	2	-9	-9	-1	-9	8
NS14695T	1	1	10	1956	59	-1	5
NS14696V	1	1	6	1966	49	-1	1
NS14696V	2	2	1	1966	50	-1	1
NS14696V	3	2	4	1994	22	-1	8
NS14696V	4	1	7	2004	11	-1	8
NS14701Q	1	1	7	1952	63	-1	1
NS14701Q	2	2	4	1957	58	-1	1
NS14706W	1	1	-9	-9	-1	-8	23
NS14706W	2	2	-9	-9	-1	-8	23
NS14706W	3	1	-9	-9	-1	-8	23
NS14710J	1	2	3	1963	52	-1	1
NS14710J	2	1	7	1996	19	-1	9
NS14710J	3	1	7	1963	52	-1	4
NS14714N	1	2	6	1957	58	-1	1
NS14714N	2	2	11	2013	2	-1	12
NS14717R	1	1	-9	-9	-1	-9	1
NS14717R	2	1	-9	-9	-1	-9	8
NS14717R	3	2	-9	-9	-1	-9	1
NS14724H	1	2	10	1962	53	-1	1
NS14724H	2	1	8	1958	57	-1	1
NS14724H	3	2	4	2000	15	-1	8
NS14727L	1	2	4	1971	44	-1	4
NS14727L	2	1	11	1964	51	-1	1
NS14727L	3	2	12	1988	27	-1	8
NS14727L	4	2	12	1998	17	-1	9
NS14727L	5	2	10	2000	15	-1	9
NS14730Y	1	2	11	1945	70	-1	5
NS14730Y	2	2	3	1971	45	-1	16
NS14742V	1	1	-9	-9	-1	57	1
NS14742V	2	2	-9	-9	-1	55	1
NS14750M	1	1	-9	-9	-1	60	1
NS14750M	2	2	-9	-9	-1	57	1
NS14750M	3	1	-9	-9	-1	35	8
NS14750M	4	2	-9	-9	-1	31	8
NS14750M	5	2	-9	-9	-1	31	13
NS14750M	6	2	-9	-9	-1	2	15
NS14770B	1	2	2	1952	64	-1	1
NS14772D	1	1	-9	-9	-1	55	1
NS14772D	2	2	-9	-9	-1	51	1
NS14772D	3	1	-9	-9	-1	23	8
NS14776H	1	2	-9	-9	-1	58	1
NS14776H	2	1	-9	-9	-1	-8	1
NS14781X	1	2	12	1956	58	-1	1
NS14784A	1	2	1	1961	55	-1	1
NS14784A	2	1	2	1963	53	-1	1
NS14784A	3	1	6	1991	24	-1	8
NS14785B	1	2	6	1962	53	-1	1
NS14785B	2	1	5	1956	59	-1	1
NS14789F	1	2	-9	-9	-1	25	17
NS14799A	1	2	-9	-9	-1	-8	17
NS14799A	2	1	-9	-9	-1	-8	17
NS14799A	3	1	-9	-9	-1	-8	17
NS14800R	1	2	5	1994	21	-1	23
NS14802T	1	1	-9	-9	-1	-8	1
NS14802T	2	2	6	1953	62	-1	1
NS14804W	1	1	-9	-9	-1	-9	1
NS14804W	2	2	-9	-9	-1	-9	1
NS14805X	1	2	2	1967	48	-1	1
NS14805X	2	1	3	1960	55	-1	4
NS14805X	3	1	5	1995	20	-1	8
NS14806Y	1	2	9	1965	50	-1	1
NS14806Y	2	2	3	1998	18	-1	9
NS14806Y	3	2	10	2000	15	-1	9
NS14807Z	1	1	-9	-9	-1	24	17
NS14807Z	2	1	-9	-9	-1	24	17
NS14807Z	3	2	-9	-9	-1	24	17
NS14824K	1	2	6	1961	54	-1	1
NS14824K	2	1	8	1960	55	-1	1
NS14837H	1	2	9	1960	55	-1	1
NS14837H	2	1	-9	-9	-1	-8	1
NS14840V	1	2	5	1955	60	-1	1
NS14840V	2	1	6	1955	60	-1	1
NS14849E	1	2	10	1970	45	-1	1
NS14849E	2	2	5	1998	18	-1	8
NS14854T	1	2	9	1970	45	-1	1
NS14854T	2	1	-9	-9	-1	47	4
NS14854T	3	1	-9	-9	-1	7	9
NS14861K	1	2	5	1965	50	-1	1
NS14862L	1	1	7	1956	59	-1	1
NS14862L	2	2	10	1955	60	-1	1
NS14869T	1	1	3	1992	23	-1	9
NS14869T	2	1	8	1988	27	-1	17
NS14886E	1	2	8	1988	27	-1	17
NS14886E	2	1	5	1983	32	-1	17
NS14886E	3	1	12	2014	1	-1	22
NS14888G	1	1	-9	-9	-1	-9	1
NS14888G	2	2	-9	-9	-1	-9	1
NS14888G	3	2	-9	-9	-1	-9	8
NS14890S	1	2	6	1960	55	-1	1
NS14890S	2	1	7	1960	55	-1	1
NS14892V	1	1	12	1952	63	-1	21
NS14892V	2	2	1	1968	48	-1	1
NS14892V	3	2	5	1998	18	-1	8
NS14892V	4	2	7	2008	7	-1	8
NS14892V	5	1	9	1991	24	-1	8
NS14896Z	1	1	7	1954	61	-1	1
NS14896Z	2	2	9	1962	53	-1	1
NS14907B	1	2	2	2014	2	-1	6
NS14907B	2	2	5	2008	8	-1	6
NS14907B	3	1	9	2009	6	-1	6
NS14907B	4	2	3	2011	5	-1	6
NS14907B	5	1	11	2012	3	-1	6
NS14908C	1	2	7	1966	49	-1	1
NS14908C	2	1	10	1966	49	-1	1
NS14908C	3	1	1	1995	21	-1	8
NS14908C	4	2	5	1999	16	-1	8
NS14910N	1	1	11	1960	55	-1	1
NS14910N	2	2	9	1962	53	-1	1
NS14912Q	1	2	-9	-9	-1	50	1
NS14912Q	2	1	-9	-9	-1	50	17
NS14912Q	3	1	-9	-9	-1	20	8
NS14914S	1	1	2	1964	52	-1	4
NS14914S	2	2	6	1970	45	-1	1
NS14914S	3	1	6	1989	26	-1	8
NS14915T	1	1	-9	-9	-1	67	1
NS14915T	2	2	-9	-9	-1	51	1
NS14915T	3	2	-9	-9	-1	23	8
NS14916V	1	1	12	1959	56	-1	1
NS14916V	2	2	6	1968	47	-1	1
NS14916V	3	2	5	2003	12	-1	8
NS14916V	4	1	6	1991	24	-1	8
NS14917W	1	2	3	1959	57	-1	1
NS14917W	2	1	10	1950	65	-1	1
NS14924M	1	2	11	1969	46	-1	1
NS14924M	2	1	12	1993	21	-1	8
NS14931D	1	2	3	1966	49	-1	1
NS14932E	1	2	7	2008	7	-1	6
NS14933F	1	1	1	1986	30	-1	8
NS14933F	2	1	9	1959	56	-1	1
NS14942Z	1	2	1	1989	27	-1	11
NS14942Z	2	2	11	1949	66	-1	1
NS14942Z	3	1	11	1983	32	-1	11
NS14945C	1	1	1	1991	25	-1	23
NS14945C	2	2	1	1964	52	-1	23
NS14951S	1	1	2	1962	53	-1	1
NS14951S	2	2	4	1959	56	-1	1
NS14951S	3	2	6	1993	22	-1	8
NS14983D	1	2	6	1961	54	-1	1
NS14983D	2	1	3	1959	56	-1	1
NS14988J	1	2	9	1993	21	-1	8
NS14988J	2	2	4	1999	16	-1	8
NS14988J	3	2	5	1963	52	-1	1
NS14988J	4	1	1	1962	53	-1	1
NS14988J	5	2	-9	-9	-1	67	14
NS14988J	6	1	-9	-9	-1	75	14
NS14991W	1	1	12	1957	58	-1	1
NS14991W	2	2	1	1962	54	-1	1
NS14991W	3	1	12	1992	23	-1	8
NS14995A	1	2	-9	-9	-1	24	17
NS14997C	1	2	1	1953	63	-1	1
NS14998D	1	1	-9	-9	-1	30	17
NS14998D	2	2	10	1989	26	-1	17
NS15002X	1	2	-9	-9	-1	26	17
NS15003Y	1	2	-9	-9	-1	51	1
NS15003Y	2	1	-9	-9	-1	53	1
NS15019Z	1	2	1	1955	61	-1	16
NS15023M	1	2	4	1954	61	-1	1
NS15026Q	1	1	-9	-9	-1	23	8
NS15026Q	2	2	-9	-9	-1	20	8
NS15026Q	3	2	-9	-9	-1	54	1
NS15036K	1	1	6	1950	66	-1	1
NS15036K	2	2	5	1955	61	-1	1
NS15042A	1	1	-9	-9	-1	56	1
NS15046E	1	1	-9	-9	-1	25	17
NS15046E	2	2	-9	-9	-1	18	17
NS15046E	3	1	-9	-9	-1	23	17
NS15046E	4	1	-9	-9	-1	23	17
NS15057A	1	2	3	1965	50	-1	1
NS15057A	2	1	-9	-9	-1	61	4
NS15062P	1	2	-9	-9	-1	57	1
NS15062P	2	1	11	1946	69	-1	1
NS15066T	1	2	-9	-9	-1	-9	8
NS15066T	2	2	-9	-9	-1	-9	8
NS15066T	3	2	-9	-9	-1	-9	8
NS15066T	4	2	-9	-9	-1	-9	8
NS15066T	5	1	-9	-9	-1	-9	1
NS15068W	1	2	-9	-9	-1	43	15
NS15068W	2	2	-9	-9	-1	25	15
NS15068W	3	1	-9	-9	-1	43	23
NS15075M	1	2	12	1950	65	-1	1
NS15075M	2	1	6	1974	41	-1	8
NS15075M	3	2	1	1982	34	-1	13
NS15075M	4	1	11	2003	12	-1	15
NS15075M	5	1	9	2007	8	-1	15
NS15075M	6	2	3	2008	7	-1	15
NS15082D	1	2	-9	-9	-1	59	1
NS15096C	1	1	3	1963	52	-1	1
NS15098E	1	2	9	1966	48	-1	1
NS15098E	2	1	3	1964	51	-1	1
NS15098E	3	2	2	1996	19	-1	8
NS15098E	4	2	3	2005	10	-1	8
NS15099F	1	2	2	1961	54	-1	15
NS15099F	2	1	11	1983	31	-1	15
NS15102Z	1	2	8	1959	55	-1	1
NS15108F	1	1	12	1957	58	-1	1
NS15108F	2	2	3	1959	56	-1	1
NS15108F	3	1	3	1991	24	-1	8
NS15110R	1	1	-9	-9	-1	62	1
NS15110R	2	2	-9	-9	-1	52	1
NS15112T	1	2	1	1960	56	-1	1
NS15112T	2	1	10	1960	55	-1	1
NS15115X	1	2	-9	-9	-1	-9	1
NS15115X	2	1	-9	-9	-1	-9	1
NS15115X	3	1	-9	-9	-1	-9	8
NS15116Y	1	1	10	1958	57	-1	1
NS15116Y	2	2	12	1958	57	-1	1
NS15123P	1	1	4	1957	59	-1	1
NS15123P	2	2	4	1957	59	-1	1
NS15123P	3	1	10	1991	24	-1	8
NS15127T	1	2	5	1990	25	-1	8
NS15127T	2	1	2	1956	59	-1	1
NS15127T	3	2	10	1956	59	-1	1
NS15134K	1	1	4	1963	53	-1	1
NS15134K	2	2	6	1963	52	-1	1
NS15134K	3	1	9	1993	22	-1	8
NS15134K	4	1	3	1999	17	-1	8
NS15140A	1	1	11	1962	53	-1	1
NS15140A	2	1	4	1967	49	-1	1
NS15140A	3	2	5	1986	29	-1	8
NS15140A	4	2	5	1990	25	-1	8
NS15140A	5	1	7	1994	21	-1	8
NS15140A	6	2	9	2002	13	-1	8
NS15140A	7	1	9	2014	1	-1	15
NS15140A	8	2	8	1993	22	-1	8
NS15144E	1	1	-9	-9	-1	60	1
NS15144E	2	2	-9	-9	-1	52	1
NS15144E	3	1	-9	-9	-1	32	8
NS15144E	4	1	-9	-9	-1	27	8
NS15144E	5	1	-9	-9	-1	24	8
NS15149K	1	1	-9	-9	-1	32	6
NS15152X	1	1	-9	-9	-1	-8	23
NS15169Z	1	2	-9	-9	-1	-9	1
NS15169Z	2	2	-9	-9	-1	-9	8
NS15169Z	3	1	-9	-9	-1	-9	23
NS15177R	1	2	1	1962	54	-1	1
NS15182F	1	1	11	2010	4	-1	6
NS15187L	1	1	10	1968	47	-1	1
NS15187L	2	2	5	1970	45	-1	1
NS15187L	3	2	8	1992	23	-1	8
NS15187L	4	2	9	1995	20	-1	8
NS15187L	5	1	9	2006	9	-1	8
NS15192A	1	1	-9	-9	-1	-8	17
NS15192A	2	2	-9	-9	-1	25	17
NS15192A	3	1	-9	-9	-1	33	17
NS15192A	4	2	-9	-9	-1	22	17
NS15192A	5	2	-9	-9	-1	50	17
NS15197F	1	2	-9	-9	-1	-8	1
NS15197F	2	1	10	1995	20	-1	9
NS15197F	3	2	4	1998	17	-1	9
NS15201A	1	1	2	1990	26	-1	19
NS15207G	1	2	-9	-9	-1	-9	8
NS15207G	2	2	-9	-9	-1	-9	8
NS15207G	3	2	-9	-9	-1	-9	8
NS15207G	4	2	-9	-9	-1	-9	1
NS15209J	1	1	-9	-9	-1	55	5
NS15209J	2	2	-9	-9	-1	53	5
NS15209J	3	1	-9	-9	-1	16	13
NS15217B	1	1	5	1956	59	-1	1
NS15217B	2	2	6	1964	51	-1	1
NS15217B	3	1	5	1998	17	-1	8
NS15218C	1	1	-9	-9	-1	24	8
NS15223R	1	1	9	1960	55	-1	1
NS15223R	2	2	5	1968	47	-1	1
NS15223R	3	2	7	1996	19	-1	8
NS15229Y	1	2	-9	-9	-1	-8	17
NS15229Y	2	2	-9	-9	-1	-8	17
NS15239S	1	2	5	1957	58	-1	1
NS15239S	2	1	3	1950	65	-1	1
NS15239S	3	2	7	1986	29	-1	8
NS15239S	4	2	7	2009	6	-1	15
NS15239S	5	2	7	2014	1	-1	15
NS15239S	6	1	9	1990	25	-1	23
NS15241D	1	1	3	1993	22	-1	8
NS15243F	1	1	5	1961	54	-1	1
NS15243F	2	2	9	1971	44	-1	1
NS15243F	3	2	12	1993	21	-1	8
NS15243F	4	2	10	1996	19	-1	8
NS15243F	5	2	10	1997	18	-1	8
NS15243F	6	1	5	1999	16	-1	8
NS15243F	7	1	8	2000	15	-1	8
NS15243F	8	2	9	2005	10	-1	8
NS15244G	1	1	4	1993	22	-1	8
NS15244G	2	2	-9	-9	-1	50	1
NS15244G	3	1	-9	-9	-1	50	1
NS15254B	1	2	12	1957	58	-1	1
NS15254B	2	1	-9	-9	-1	35	9
NS15254B	3	1	-9	-9	-1	22	8
NS15257E	1	2	-9	-9	-1	-8	1
NS15257E	2	1	-9	-9	-1	-8	1
NS15263V	1	1	12	1955	59	-1	1
NS15263V	2	2	12	1961	53	-1	1
NS15263V	3	1	11	1992	22	-1	8
NS15263V	4	1	2	1995	20	-1	8
NS15266Y	1	2	2	1961	54	-1	1
NS15266Y	2	1	5	1953	62	-1	1
NS15268A	1	1	3	1936	79	-1	1
NS15268A	2	2	11	1955	60	-1	1
NS15268A	3	2	11	1992	23	-1	8
NS15274Q	1	2	12	1956	59	-1	1
NS15274Q	2	1	10	1954	61	-1	1
NS15274Q	3	1	12	1980	35	-1	8
NS15276S	1	1	-9	-9	-1	49	1
NS15276S	2	2	-9	-9	-1	45	1
NS15276S	3	1	-9	-9	-1	24	8
NS15276S	4	2	-9	-9	-1	24	13
NS15276S	5	2	-9	-9	-1	25	23
NS15276S	6	1	-9	-9	-1	-8	23
NS15278V	1	2	10	1966	49	-1	1
NS15281G	1	2	5	1960	55	-1	1
NS15281G	2	1	2	1961	54	-1	1
NS15285L	1	2	11	1987	28	-1	17
NS15285L	2	2	-9	-9	-1	22	17
NS15285L	3	2	5	1990	25	-1	17
NS15289Q	1	1	-9	-9	-1	24	17
NS15289Q	2	1	-9	-9	-1	30	17
NS15289Q	3	1	-9	-9	-1	25	17
NS15298J	1	1	2	1957	58	-1	1
NS15298J	2	2	1	1957	58	-1	1
NS15298J	3	2	3	1999	16	-1	8
NS15301C	1	2	-9	-9	-1	31	17
NS15307J	1	2	5	1996	20	-1	8
NS15307J	2	1	3	1965	51	-1	1
NS15311X	1	2	-9	-9	-1	24	8
NS15318E	1	2	1	1963	53	-1	1
NS15320Q	1	1	4	1992	23	-1	8
NS15324V	1	2	-9	-9	-1	-8	5
NS15338T	1	1	-9	-9	-1	-8	1
NS15338T	2	2	-9	-9	-1	-8	1
NS15338T	3	1	2	1998	18	-1	8
NS15339V	1	2	7	1948	67	-1	1
NS15339V	2	2	4	1926	89	-1	14
NS15352B	1	2	5	1966	49	-1	1
NS15352B	2	1	1	1989	27	-1	13
NS15352B	3	1	1	1986	30	-1	13
NS15354D	1	1	4	1965	51	-1	1
NS15354D	2	2	10	1963	52	-1	1
NS15354D	3	1	2	1985	31	-1	8
NS15354D	4	1	10	1995	20	-1	8
NS15360T	1	2	12	1961	54	-1	1
NS15360T	2	1	8	1960	55	-1	1
NS15361V	1	1	-9	-9	-1	35	17
NS15361V	2	1	-9	-9	-1	35	17
NS15361V	3	2	-9	-9	-1	36	17
NS15361V	4	2	-9	-9	-1	41	17
NS15370N	1	1	-9	-9	-1	-9	8
NS15378X	1	2	5	1966	49	-1	1
NS15378X	2	1	12	1992	23	-1	8
NS15379Y	1	2	5	2008	7	-1	8
NS15379Y	2	2	2	1972	43	-1	1
NS15379Y	3	1	5	2009	6	-1	8
NS15379Y	4	1	8	1995	20	-1	8
NS15389S	1	2	6	1987	28	-1	17
NS15389S	2	2	11	1989	26	-1	17
NS15389S	3	2	6	1989	26	-1	17
NS15390C	1	1	9	1988	27	-1	8
NS15390C	2	2	-9	-9	-1	24	13
NS15390C	3	1	-9	-9	-1	66	1
NS15390C	4	2	-9	-9	-1	60	1
NS15405J	1	2	-9	-9	-1	-8	1
NS15405J	2	1	-9	-9	-1	-8	1
NS15409N	1	1	-9	-9	-1	-8	17
NS15412A	1	1	-9	-9	-1	27	17
NS15412A	2	2	-9	-9	-1	22	17
NS15412A	3	1	-9	-9	-1	22	17
NS15412A	4	2	-9	-9	-1	22	17
NS15413B	1	1	11	1974	41	-1	15
NS15428B	1	2	8	1965	50	-1	1
NS15436T	1	2	4	1994	21	-1	8
NS15436T	2	2	9	1959	56	-1	1
NS15436T	3	1	12	1955	59	-1	1
NS15440G	1	1	-9	-9	-1	-9	1
NS15440G	2	2	-9	-9	-1	-9	8
NS15447P	1	1	6	1991	24	-1	8
NS15447P	2	2	12	1963	52	-1	1
NS15452D	1	1	-9	-9	-1	57	1
NS15452D	2	2	-9	-9	-1	55	1
NS15453E	1	2	7	1968	47	-1	1
NS15453E	2	1	2	1968	47	-1	1
NS15453E	3	1	7	1987	28	-1	8
NS15453E	4	1	3	1990	25	-1	8
NS15453E	5	2	5	1990	25	-1	13
NS15457J	1	2	-9	-9	-1	60	1
NS15464A	1	2	-9	-9	-1	-9	1
NS15465B	1	1	1	1992	24	-1	8
NS15465B	2	1	9	1990	25	-1	8
NS15465B	3	1	5	1987	28	-1	8
NS15465B	4	2	-9	-9	-1	-9	8
NS15465B	5	2	-9	-9	-1	-9	8
NS15465B	6	2	-9	-9	-1	-9	1
NS15466C	1	2	-9	-9	-1	-9	1
NS15466C	2	1	-9	-9	-1	-9	8
NS15471R	1	2	2	1968	47	-1	1
NS15472S	1	1	6	1968	47	-1	1
NS15472S	2	2	3	1968	47	-1	1
NS15472S	3	2	11	1993	22	-1	8
NS15477Y	1	2	3	1957	58	-1	1
NS15477Y	2	1	1	1959	57	-1	1
NS15488T	1	2	10	1965	50	-1	1
NS15488T	2	1	2	1959	57	-1	1
NS15491F	1	2	1	1971	45	-1	1
NS15494J	1	2	1	1964	52	-1	1
NS15494J	2	1	6	1965	51	-1	1
NS15496L	1	2	-9	-9	-1	22	17
NS15496L	2	1	-9	-9	-1	28	17
NS15497M	1	1	9	1962	53	-1	1
NS15497M	2	2	4	1963	53	-1	1
NS15497M	3	1	1	1992	24	-1	8
NS15497M	4	2	8	1998	17	-1	8
NS15507N	1	1	-9	-9	-1	30	19
