NSID	W4JHAct	W4ActivityIteration	W4JHStY	W4JHStM	W4JHStMDK
NS15238R	7	2	2006	7	-91
NS15247K	2	1	2006	7	-91
NS15251Y	1	1	2006	9	-91
NS15254B	1	1	2006	8	-91
NS15258F	2	1	2006	7	-91
NS15265X	1	1	2006	9	-91
NS15268A	4	1	2007	5	-91
NS15268A	1	2	2006	9	-91
NS15271M	4	1	2006	9	-91
NS15279W	2	1	2006	9	-91
NS15280F	7	1	2006	4	-91
NS15293D	9	1	2007	1	-91
NS15293D	1	2	2006	9	-91
NS15295F	8	1	2007	6	-91
NS15295F	1	2	2006	-1	1
NS15300B	2	1	2006	9	-91
NS15307J	1	1	2006	9	-91
NS15322S	1	1	2006	9	-91
NS15323T	2	1	2006	11	-91
NS15323T	1	2	2006	9	-91
NS15325W	1	1	2006	9	-91
NS15335Q	7	1	2006	10	-91
NS15335Q	5	2	2006	9	-91
NS15337S	8	1	2006	9	-91
NS15363X	7	1	2006	9	-91
NS15369D	1	1	2006	9	-91
NS15378X	7	1	2006	7	-91
NS15383L	2	1	2007	3	-91
NS15383L	1	2	2006	9	-91
NS15384M	2	1	2006	9	-91
NS15395H	1	1	2006	9	-91
NS15400D	1	1	2006	9	-91
NS15416E	8	1	2006	9	-91
NS15454F	1	1	2006	9	-91
NS15470Q	5	1	2006	7	-91
NS15471R	1	1	-1	-91	1
NS15509Q	1	1	2006	9	-91
NS15519K	5	1	2006	8	-91
NS15545P	10	1	2006	2	-91
NS15565D	7	1	2006	2	-91
NS15566E	1	1	2006	9	-91
NS15568G	7	1	2007	-1	1
NS15569H	1	1	2006	9	-91
NS15584R	5	1	2006	9	-91
NS15585S	1	1	2006	9	-91
NS15619M	1	1	2006	9	-91
NS15621Y	1	1	2006	9	-91
NS15649W	1	1	2006	9	-91
NS15652H	7	1	2006	8	-91
NS15653J	1	1	2006	9	-91
NS15662C	7	1	2006	9	-91
NS15666G	1	1	2006	9	-91
NS15667H	1	1	2006	9	-91
NS15669K	1	1	-1	-91	1
NS15679E	10	1	2006	10	-91
NS15679E	9	2	2006	6	-91
NS15680P	5	1	2006	8	-91
NS15693M	5	1	2006	11	-91
NS15693M	7	2	2006	8	-91
NS15696Q	7	1	2007	3	-91
NS15696Q	1	2	2006	9	-91
NS15701L	9	1	2006	6	-91
NS15710E	1	1	2006	9	-91
NS15742Q	1	1	2006	9	-91
NS15753L	8	1	2006	6	-91
NS15766J	1	1	2006	9	-91
NS15772Z	7	1	2007	-1	1
NS15776D	1	1	2007	1	-91
NS15776D	1	2	2006	9	-91
NS15778F	5	1	2006	7	-91
NS15780R	5	1	2006	10	-91
NS15780R	4	2	2006	1	-91
NS15792N	2	1	2006	7	-91
NS15795R	2	1	2006	7	-91
NS15800M	2	1	2006	5	-91
NS15802P	7	1	2006	1	-91
NS15817P	1	1	2006	9	-91
NS15824F	9	1	2007	6	-91
NS15824F	1	2	2006	9	-91
NS15829L	1	1	2006	9	-91
NS15836C	1	1	2006	9	-91
NS15848Z	1	1	-1	-91	1
NS15849A	2	1	2007	4	-91
NS15849A	1	2	2006	9	-91
NS15854P	1	1	2007	1	-91
NS15854P	9	2	2006	5	-91
NS15856R	1	1	2006	9	-91
NS15866L	7	1	2007	3	-91
NS15866L	5	2	2006	7	-91
NS15880T	1	1	2006	9	-91
NS15891P	1	1	2006	9	-91
NS15915P	1	1	2006	9	-91
NS15919T	1	1	2006	9	-91
NS15922F	1	1	2006	9	-91
NS15938G	1	1	2006	9	-91
NS15952P	1	1	2006	10	-91
NS15952P	7	2	2006	1	-91
NS15955S	1	1	2006	9	-91
NS15962J	2	1	2006	9	-91
NS15963K	8	1	2007	6	-91
NS15963K	1	2	2006	1	-91
NS15965M	2	1	2007	4	-91
NS15965M	5	2	2006	9	-91
NS15966N	1	1	2007	2	-91
NS15966N	7	2	2006	9	-91
NS15974F	1	1	2006	9	-91
NS15983Z	1	1	2006	1	-91
NS15991R	9	1	2006	12	-91
NS15991R	1	2	2006	9	-91
NS16024J	4	1	2006	5	-91
NS16025K	1	1	2006	7	-91
NS16030Z	5	1	2006	9	-91
NS16037G	1	1	2006	6	-91
NS16040T	7	1	2007	5	-91
NS16047B	1	1	2006	9	-91
NS16063L	1	1	2006	9	-91
NS16080X	8	1	2006	6	-91
NS16095X	1	1	2006	9	-91
NS16098A	5	1	2006	8	-91
NS16099B	7	1	2006	9	-91
NS16105Y	1	1	2006	9	-91
NS16111N	7	1	2006	6	-91
NS16121H	1	1	2006	9	-91
NS16134F	1	1	2006	9	-91
NS16149F	5	1	2007	1	-91
NS16149F	1	2	2006	9	-91
NS16164P	1	1	2006	9	-91
NS16176L	1	1	2006	9	-91
NS16184D	4	1	2006	7	-91
NS16201W	1	1	2006	9	-91
NS16205A	2	1	2006	10	-91
NS16205A	5	2	2006	8	-91
NS16208D	1	1	2006	9	-91
NS16223M	10	1	2007	6	-91
NS16223M	1	2	2006	9	-91
NS16228S	9	1	2006	-1	1
NS16233G	1	1	2006	9	-91
NS16237L	1	1	2006	9	-91
NS16260M	1	1	2006	9	-91
NS16266T	1	1	2006	9	-91
NS16283E	2	1	2006	5	-91
NS16291X	1	1	2006	9	-91
NS16319B	7	1	2006	9	-91
NS16333J	1	1	2006	9	-91
NS16344E	5	1	2006	10	-91
NS16344E	1	2	2006	6	-91
NS16345F	1	1	2006	9	-91
NS16350V	1	1	2006	9	-91
NS16351W	5	1	2006	11	-91
NS16351W	1	2	2006	9	-91
NS16363S	1	1	2006	9	-91
NS16374N	1	1	2006	9	-91
NS16381E	7	1	2006	2	-91
NS16390Y	1	1	-1	-91	1
NS16392A	7	1	2006	9	-91
NS16406F	2	1	2006	10	-91
NS16406F	7	2	2006	7	-91
NS16416A	9	1	2006	7	-91
NS16432K	5	1	2007	3	-91
NS16432K	1	2	2006	9	-91
NS16442E	9	1	2006	6	-91
NS16467Z	1	1	2006	9	-91
NS16484K	1	1	2006	9	-91
NS16489Q	5	1	2006	6	-91
NS16503E	1	1	2006	11	-91
NS16503E	5	2	2006	9	-91
NS16507J	1	1	2006	9	-91
NS16517D	8	1	2006	9	-91
NS16518E	1	1	2006	9	-91
NS16520Q	4	1	2006	1	-91
NS16530K	7	1	2007	1	-91
NS16530K	1	2	2006	9	-91
NS16533N	8	1	2006	7	-91
NS16536R	1	1	2006	9	-91
NS16540E	9	1	2006	10	-91
NS16540E	1	2	2006	9	-91
NS16547M	2	1	2006	12	-91
NS16547M	4	2	2006	9	-91
NS16555E	1	1	2006	9	-91
NS16572Q	5	1	2007	4	-91
NS16572Q	1	2	2006	9	-91
NS16593F	1	1	2006	9	-91
NS16599M	4	1	2006	10	-91
NS16632P	1	1	2006	9	-91
NS16636T	1	1	2006	9	-91
NS16670Q	1	1	2006	9	-91
NS16708P	1	1	-1	-91	1
NS16726B	4	1	2007	1	-91
NS16726B	10	2	2006	5	-91
NS16731Q	4	1	2006	9	-91
NS16735V	5	1	2006	12	-91
NS16735V	7	2	2006	10	-91
NS16735V	9	3	2006	7	-91
NS16738Y	1	1	2006	7	-91
NS16748S	1	1	2006	9	-91
NS16750D	2	1	2006	12	-91
NS16750D	1	2	-1	-91	1
NS16757L	2	1	2007	5	-91
NS16757L	4	2	2006	9	-91
NS16764C	5	1	2007	4	-91
NS16764C	7	2	2007	1	-91
NS16764C	7	3	2006	10	-91
NS16764C	9	4	2006	7	-91
NS16765D	1	1	2006	8	-91
NS16768G	1	1	2006	9	-91
NS16774X	4	1	2007	1	-91
NS16774X	5	2	2006	9	-91
NS16779C	9	1	2006	12	-91
NS16779C	1	2	2006	11	-91
NS16779C	9	3	2006	6	-91
NS16780M	7	1	2006	9	-91
NS16781N	4	1	2006	12	-91
NS16781N	8	2	2006	11	-91
NS16781N	9	3	2006	6	-91
NS16783Q	1	1	2006	9	-91
NS16784R	1	1	2006	9	-91
NS16785S	5	1	2006	6	-91
NS16803L	1	1	2006	2	-91
NS16811D	7	1	2006	12	-91
NS16811D	5	2	2006	7	-91
NS16827E	5	1	2006	9	-91
NS16836Y	5	1	2006	9	-91
NS16839B	1	1	2006	9	-91
NS16845R	7	1	2006	7	-91
NS16846S	5	1	2006	9	-91
NS16854K	2	1	2006	7	-91
NS16862C	2	1	2007	3	-91
NS16862C	5	2	2007	1	-91
NS16862C	1	3	2006	9	-91
NS16863D	4	1	2006	11	-91
NS16863D	5	2	2006	5	-91
NS16865F	1	1	2006	9	-91
NS16871W	4	1	2006	9	-91
NS16882R	8	1	2006	9	-91
NS16900K	1	1	2006	9	-91
NS16906R	7	1	2006	8	-91
NS16913H	1	1	2006	9	-91
NS16923C	1	1	2006	9	-91
NS16925E	1	1	2006	9	-91
NS16941P	1	1	2006	9	-91
NS16942Q	1	1	2006	9	-91
NS16952K	1	1	2006	9	-91
NS16972Z	9	1	2007	3	-91
NS16972Z	1	2	2006	9	-91
NS16980R	2	1	2006	7	-91
NS16989B	1	1	2006	9	-91
NS16990L	8	1	2006	7	-91
NS17003P	2	1	2006	8	-91
NS17015L	4	1	2007	4	-91
NS17015L	5	2	2007	2	-91
NS17015L	1	3	2006	8	-91
NS17034Z	1	1	2006	9	-91
NS17056Q	1	1	2006	9	-91
NS17063G	5	1	2007	1	-91
NS17063G	1	2	2006	9	-91
NS17064H	5	1	2006	6	-91
NS17074C	1	1	2006	9	-91
NS17075D	4	1	2007	2	-91
NS17075D	5	2	2006	7	-91
NS17079H	5	1	2007	1	-91
NS17079H	1	2	2006	9	-91
NS17087A	5	1	2007	2	-91
NS17087A	7	2	2006	12	-91
NS17087A	9	3	2006	5	-91
NS17096T	2	1	2007	1	-91
NS17096T	7	2	2006	7	-91
NS17106V	3	1	2006	8	-91
NS17107W	1	1	-1	-91	1
NS17115N	2	1	2006	9	-91
NS17128L	1	1	2006	9	-91
NS17135C	2	1	2006	10	-91
NS17135C	5	2	2006	7	-91
NS17154Q	1	1	2006	9	-91
NS17181W	1	1	2006	9	-91
NS17189E	5	1	2006	7	-91
NS17190P	5	1	2006	12	-91
NS17190P	1	2	2006	9	-91
NS17194T	1	1	2006	9	-91
NS17196W	1	1	2006	9	-91
NS17199Z	1	1	2006	9	-91
NS17200Q	1	1	2006	9	-91
NS17203T	5	1	2007	2	-91
NS17203T	1	2	2006	9	-91
NS17208Z	1	1	2006	10	-91
NS17208Z	8	2	2006	6	-91
NS17212M	5	1	2006	6	-91
NS17215Q	7	1	2006	1	-91
NS17226L	10	1	2006	12	-91
NS17226L	9	2	2006	9	-91
NS17227M	4	1	2006	6	-91
NS17237G	1	1	2006	9	-91
NS17238H	1	1	2006	9	-91
NS17247B	5	1	2006	7	-91
NS17263L	1	1	2006	9	-91
NS17264M	4	1	2006	5	-91
NS17269S	1	1	2006	9	-91
NS17276J	1	1	2006	9	-91
NS17287E	1	1	2006	9	-91
NS17290R	7	1	2006	10	-91
NS17290R	1	2	2006	9	-91
NS17291S	8	1	2006	7	-91
NS17302V	7	1	2006	10	-91
NS17302V	8	2	2006	7	-91
NS17311N	2	1	2006	8	-91
NS17327P	1	1	2006	9	-91
NS17331C	2	1	2006	8	-91
NS17336H	1	1	2006	9	-91
NS17345B	1	1	-1	-91	1
NS17346C	1	1	2006	9	-91
NS17348E	1	1	2006	9	-91
NS17357Y	1	1	2006	9	-91
NS17390T	10	1	2007	3	-91
NS17390T	2	2	2006	10	-91
NS17390T	1	3	2006	9	-91
NS17391V	5	1	2007	4	-91
NS17391V	1	2	2006	9	-91
NS17408D	1	1	2006	9	-91
NS17413S	10	1	2006	9	-91
NS17420J	1	1	2006	9	-91
NS17436K	7	1	2006	7	-91
NS17442A	1	1	2006	9	-91
NS17449H	10	1	2006	9	-91
NS17483E	7	1	2007	4	-91
NS17483E	7	2	2006	9	-91
NS17485G	5	1	2007	2	-91
NS17485G	9	2	2006	10	-91
NS17485G	1	3	2006	9	-91
NS17497D	2	1	2006	6	-91
NS17505C	2	1	2006	9	-91
NS17521M	7	1	2007	2	-91
NS17521M	1	2	2006	9	-91
NS17548J	7	1	2006	9	-91
NS17560P	1	1	2006	9	-91
NS17576Q	1	1	2006	10	-91
NS17576Q	1	2	2006	9	-91
NS17580D	1	1	2006	9	-91
NS17583G	9	1	2006	11	-91
NS17583G	1	2	2006	9	-91
NS17588M	4	1	2007	3	-91
NS17588M	5	2	2006	1	-91
NS17598G	1	1	2006	9	-91
NS17609J	1	1	2006	9	-91
NS17675R	1	1	2006	9	-91
NS17680F	2	1	2006	7	-91
NS17683J	1	1	2006	9	-91
NS17687N	1	1	2007	7	-91
NS17687N	-92	2	-91	-91	-91
NS17706H	5	1	2006	8	-91
NS17710W	2	1	2007	3	-91
NS17710W	5	2	-1	-91	1
NS17725W	1	1	2006	9	-91
NS17743H	1	1	2007	6	-91
NS17743H	1	2	2006	9	-91
NS17772Q	5	1	2006	11	-91
NS17772Q	5	2	2006	7	-91
NS17776V	1	1	2006	9	-91
NS17782K	2	1	2006	4	-91
NS17784M	9	1	2006	6	-91
NS17786P	7	1	2007	7	-91
NS17786P	8	2	2006	6	-91
NS17788R	7	1	2006	1	-91
NS17792E	1	1	2006	9	-91
NS17793F	7	1	2006	10	-91
NS17793F	1	2	2006	5	-91
NS17794G	1	1	2006	9	-91
NS17796J	4	1	2006	10	-91
NS17796J	1	2	-1	-91	1
NS17799M	5	1	2006	7	-91
NS17802F	1	1	2006	9	-91
NS17803G	1	1	-1	-91	1
NS17806K	5	1	2007	5	-91
NS17806K	4	2	2006	9	-91
NS17815D	1	1	2006	9	-91
NS17830M	2	1	2007	1	-91
NS17830M	1	2	2006	9	-91
NS17832P	1	1	2006	9	-91
NS17844L	2	1	2006	9	-91
NS17874V	1	1	2006	9	-91
NS17878Z	1	1	2006	9	-91
NS17884P	1	1	2006	9	-91
NS17907N	1	1	2006	1	-91
NS17909Q	5	1	2007	1	-91
NS17909Q	1	2	2006	11	-91
NS17909Q	1	3	2006	9	-91
NS17920V	1	1	2006	9	-91
NS17926B	1	1	2006	9	-91
NS17927C	1	1	-1	-91	1
NS17930P	1	1	2006	9	-91
NS17931Q	5	1	-1	-91	1
NS17975Y	7	1	2006	11	-91
NS17975Y	5	2	2006	7	-91
NS17977A	7	1	2006	11	-91
NS17977A	5	2	-1	-91	1
NS17983Q	5	1	2007	1	-91
NS17983Q	7	2	2006	6	-91
NS17985S	5	1	2007	5	-91
NS17985S	1	2	2006	1	-91
NS18007P	7	1	2006	6	-91
NS18019L	1	1	2006	9	-91
NS18036X	1	1	2006	9	-91
NS18037Y	10	1	2006	-1	1
NS18039A	1	1	2007	9	-91
NS18039A	1	2	2006	7	-91
NS18045Q	4	1	2006	9	-91
NS18067G	1	1	2006	9	-91
NS18081P	7	1	2006	9	-91
NS18101K	7	1	2007	2	-91
NS18101K	8	2	2007	1	-91
NS18101K	1	3	2006	9	-91
NS18112F	7	1	2007	6	-91
NS18112F	5	2	2007	2	-91
NS18112F	2	3	2006	8	-91
NS18116K	5	1	2006	11	-91
NS18116K	2	2	2006	9	-91
NS18122A	1	1	2006	9	-91
NS18153K	5	1	2007	1	-91
NS18153K	7	2	2006	8	-91
NS18169L	2	1	2006	8	-91
NS18177D	1	1	2006	9	-91
NS18199V	1	1	2006	9	-91
NS18214K	4	1	2006	7	-91
NS18224E	2	1	2006	9	-91
NS18242R	7	1	2007	4	-91
NS18242R	1	2	2006	9	-91
NS18249Z	8	1	2007	1	-91
NS18274C	5	1	2006	8	-91
NS18275D	1	1	2006	9	-91
NS18287A	1	1	-1	-91	1
NS18291N	1	1	2006	9	-91
NS18305T	8	1	2006	9	-91
NS18312K	1	1	2006	9	-91
NS18315N	2	1	2007	3	-91
NS18315N	1	2	2006	9	-91
NS18318R	4	1	2006	9	-91
NS18323F	5	1	2007	1	-91
NS18323F	7	2	2006	12	-91
NS18323F	9	3	2006	8	-91
NS18325H	8	1	2006	11	-91
NS18325H	1	2	2006	9	-91
NS18328L	1	1	2006	9	-91
NS18331Y	2	1	2007	1	-91
NS18331Y	1	2	2006	9	-91
NS18338F	1	1	2006	9	-91
NS18342T	2	1	2006	10	-91
NS18342T	5	2	-1	-91	1
NS18344W	1	1	2006	9	-91
NS18361G	7	1	2007	4	-91
NS18361G	1	2	2006	9	-91
NS18370A	1	1	2006	9	-91
NS18387C	1	1	2006	4	-91
NS18394T	1	1	2006	9	-91
NS18425K	8	1	2006	6	-91
NS18442W	2	1	2006	8	-91
NS18452Q	4	1	2006	7	-91
NS18455T	1	1	2006	9	-91
NS18457W	1	1	2006	9	-91
NS18464M	4	1	2006	9	-91
NS18471D	1	1	2006	9	-91
NS18473F	9	1	2006	6	-91
NS18474G	2	1	2007	4	-91
NS18474G	1	2	2006	9	-91
NS18479M	2	1	2006	10	-91
NS18479M	2	2	2006	5	-91
NS18480X	1	1	2006	9	-91
NS18490R	1	1	2006	9	-91
NS18496Y	3	1	2006	9	-91
NS18510M	1	1	2006	9	-91
NS18513Q	10	1	2006	6	-91
NS18523K	5	1	2006	9	-91
NS18533E	7	1	2007	6	-91
NS18533E	1	2	2006	9	-91
NS18553T	1	1	2006	9	-91
NS18562M	7	1	2006	12	-91
NS18562M	3	2	2006	9	-91
NS18563N	1	1	2006	9	-91
NS18576L	1	1	2006	9	-91
NS18622L	9	1	2006	6	-91
NS18625P	7	1	2007	2	-91
NS18625P	1	2	2006	9	-91
NS18636K	2	1	2006	7	-91
NS18639N	1	1	2006	9	-91
NS18647F	9	1	2006	9	-91
NS18683E	2	1	2006	7	-91
NS18685G	2	1	2006	7	-91
NS18691X	2	1	2006	9	-91
NS18700X	1	1	2006	9	-91
NS18765V	5	1	2007	2	-91
NS18765V	1	2	2006	9	-91
NS18808H	1	1	2006	9	-91
NS18822Q	1	1	2006	9	-91
NS18826V	1	1	2006	9	-91
NS18830H	1	1	2006	7	-91
NS18842E	1	1	2006	9	-91
NS18846J	3	1	2006	10	-91
NS18846J	1	2	2006	8	-91
NS18848L	10	1	2007	5	-91
NS18848L	5	2	2007	5	-91
NS18848L	5	3	2006	-1	1
NS18861S	4	1	2007	3	-91
NS18861S	5	2	2006	12	-91
NS18861S	2	3	2006	9	-91
NS18885L	7	1	2006	5	-91
NS18902D	3	1	2006	9	-91
NS18910W	7	1	2006	10	-91
NS18910W	5	2	2006	9	-91
NS18920Q	1	1	2006	9	-91
NS18936R	1	1	2006	9	-91
NS18943H	5	1	2007	1	-91
NS18943H	1	2	2006	9	-91
NS18949P	1	1	2006	9	-91
NS18966A	1	1	2006	9	-91
NS18983L	2	1	2006	6	-91
NS18992E	4	1	2007	7	-91
NS18992E	1	2	2006	9	-91
NS18993F	2	1	2007	3	-91
NS18993F	1	2	2006	7	-91
NS19017E	1	1	2006	9	-91
NS19020R	1	1	2006	9	-91
NS19021S	1	1	2006	9	-91
NS19029B	1	1	2006	9	-91
NS19033P	1	1	2006	9	-91
NS19038V	1	1	2006	9	-91
NS19042H	10	1	2006	9	-91
NS19066B	5	1	2006	12	-91
NS19066B	1	2	2006	9	-91
NS19094H	7	1	2006	9	-91
NS19102G	1	1	2006	9	-91
NS19129D	1	1	2006	9	-91
NS19132Q	9	1	2006	9	-91
NS19136V	1	1	2006	9	-91
NS19148R	1	1	2006	9	-91
NS19157K	1	1	2006	9	-91
NS19160X	8	1	2006	8	-91
NS19165C	4	1	2006	11	-91
NS19165C	5	2	2006	9	-91
NS19176Y	1	1	2006	9	-91
NS19182N	1	1	2006	9	-91
NS19191G	1	1	2006	9	-91
NS19194K	5	1	2006	7	-91
NS19196M	2	1	2006	-1	1
NS19201H	4	1	2007	7	-91
NS19201H	5	2	2007	3	-91
NS19201H	4	3	2006	7	-91
NS19226C	2	1	2006	11	-91
NS19226C	5	2	2006	7	-91
NS19244P	1	1	2007	9	-91
NS19244P	1	2	-1	-91	2
NS19244P	1	3	-1	-91	1
NS19258N	8	1	-1	-91	2
NS19268H	10	1	2006	8	-91
NS19274Y	5	1	2007	6	-91
NS19274Y	1	2	2006	9	-91
NS19304N	1	1	2006	9	-91
NS19309T	5	1	2007	3	-91
NS19309T	7	2	2007	9	-91
NS19309T	-92	4	-91	-91	-91
NS19320Y	5	1	2007	7	-91
NS19320Y	1	2	2007	1	-91
NS19320Y	8	3	2006	7	-91
NS19330S	1	1	2006	9	-91
NS19334X	1	1	2006	9	-91
NS19339C	4	1	2006	9	-91
NS19341N	10	1	2007	1	-91
NS19341N	10	2	2006	1	-91
NS19346T	2	1	2006	12	-91
NS19346T	2	2	2006	9	-91
NS19352J	1	1	2006	9	-91
NS19368K	1	1	2006	9	-91
NS19370W	1	1	2007	1	-91
NS19370W	5	2	2006	7	-91
NS19376C	5	1	2006	4	-91
NS19382S	3	1	2007	7	-91
NS19382S	3	2	2007	7	-91
NS19382S	3	3	2006	11	-91
NS19382S	1	4	2006	5	-91
NS19392M	5	1	2006	10	-91
NS19392M	1	2	-1	-91	1
NS19405R	1	1	2006	9	-91
NS19407T	1	1	2006	9	-91
NS19422C	2	1	2006	9	-91
NS19425F	1	1	2006	9	-91
NS19442R	1	1	2006	10	-91
NS19442R	1	2	2006	10	-91
NS19442R	1	3	2006	10	-91
NS19442R	1	4	-1	-91	1
NS19450J	1	1	2006	9	-91
NS19453M	7	1	2006	9	-91
NS19472A	1	1	2006	9	-91
NS19474C	2	1	2006	11	-91
NS19474C	1	2	2006	9	-91
NS19479H	4	1	2007	6	-91
NS19479H	5	2	2007	1	-91
NS19479H	2	3	2006	11	-91
NS19479H	1	4	2006	9	-91
NS19489C	4	1	2006	7	-91
NS19492P	1	1	2006	9	-91
NS19493Q	1	1	2006	9	-91
NS19505T	5	1	2006	9	-91
NS19536D	5	1	2006	9	-91
NS19542T	1	1	2006	9	-91
NS19548A	7	1	2006	8	-91
NS19553P	7	1	2006	1	-91
NS19562H	4	1	2006	7	-91
NS19566M	10	1	2006	11	-91
NS19566M	5	2	2006	9	-91
NS19570A	1	1	2006	9	-91
NS19575F	5	1	2006	11	-91
NS19575F	1	2	2006	9	-91
NS19597X	1	1	2006	9	-91
NS19599Z	1	1	-1	-91	1
NS19603T	1	1	2006	9	-91
NS19611L	1	1	2006	9	-91
NS19621F	9	1	2006	7	-91
NS19645Z	1	1	2006	9	-91
NS19659Y	5	1	2007	7	-91
NS19659Y	7	2	2006	9	-91
NS19661J	7	1	2006	12	-91
NS19661J	7	2	2006	11	-91
NS19661J	2	3	2006	9	-91
NS19666P	5	1	2006	9	-91
NS19675H	5	1	2006	7	-91
NS19689G	4	1	2006	9	-91
NS19695X	5	1	2006	7	-91
NS19700S	8	1	2006	6	-91
NS19701T	1	1	2006	9	-91
NS19709C	7	1	2007	5	-91
NS19709C	1	2	2006	-1	1
NS19724L	5	1	2006	7	-91
NS19728Q	1	1	2006	9	-91
NS19732D	5	1	2006	7	-91
NS19737J	1	1	2006	9	-91
NS19745B	1	1	2006	9	-91
NS19749F	7	1	2006	11	-91
NS19749F	1	2	2006	9	-91
NS19752S	1	1	2006	8	-91
NS19782B	5	1	2007	3	-91
NS19782B	10	2	2006	9	-91
NS19801W	7	1	2006	11	-91
NS19801W	5	2	2006	9	-91
NS19808D	7	1	2006	11	-91
NS19808D	1	2	2006	1	-91
NS19813S	1	1	2006	9	-91
NS19818Y	1	1	2006	7	-91
NS19819Z	1	1	2006	9	-91
NS19823M	1	1	2006	9	-91
NS19831E	1	2	2006	1	-91
NS19840Y	2	1	-1	-91	1
NS19857A	5	1	2006	6	-91
NS19864R	1	1	2007	4	-91
NS19864R	-92	2	-91	-91	-91
NS19866T	8	1	2006	10	-91
NS19866T	8	2	2006	10	-91
NS19866T	-92	3	-91	-91	-91
NS19869X	1	1	2006	-1	1
NS19874L	2	1	2007	5	-91
NS19874L	1	2	2006	9	-91
NS19885G	1	1	2006	9	-91
NS19891X	4	1	2006	8	-91
NS19896C	5	1	2006	7	-91
NS19907E	1	1	-1	-91	1
NS19916Y	5	1	2007	4	-91
NS19916Y	1	2	2006	9	-91
NS19920L	5	1	2006	11	-91
NS19920L	9	2	-1	-91	1
NS19925R	5	1	2006	12	-91
NS19925R	1	2	2006	9	-91
NS19931G	1	1	2006	9	-91
NS19944E	8	1	2007	1	-91
NS19944E	9	2	2006	7	-91
NS19948J	1	1	2006	9	-91
NS19958D	1	1	2006	9	-91
NS19965V	1	1	2006	9	-91
NS19977R	4	1	2006	6	-91
NS19978S	2	1	2006	9	-91
NS19987L	8	1	2006	9	-91
NS19989N	3	1	2006	10	-91
NS19989N	1	2	2006	9	-91
NS20001C	7	1	2006	8	-91
NS20006H	5	1	2006	5	-91
NS20027Y	1	1	2006	6	-91
NS20035Q	9	1	2006	4	-91
NS20037S	1	1	2006	9	-91
NS20038T	1	1	2006	6	-91
NS20064Y	4	1	2006	9	-91
NS20066A	1	1	2006	9	-91
NS20067B	1	1	2006	9	-91
NS20068C	5	1	2006	7	-91
NS20071P	1	1	2006	9	-91
NS20083L	1	1	2006	9	-91
NS20085N	1	1	2006	7	-91
NS20089S	9	1	2006	6	-91
NS20097K	7	1	2007	3	-91
NS20097K	5	2	-1	-91	2
NS20097K	9	3	-1	-91	-1
NS20122V	9	1	2006	12	-91
NS20122V	2	2	-1	-91	-1
NS20126Z	2	1	2007	4	-91
NS20126Z	10	2	2006	11	-91
NS20126Z	10	3	2006	8	-91
NS20149R	1	1	2006	9	-91
NS20150B	1	1	2006	9	-91
NS20158K	1	1	2006	9	-91
NS20164A	7	1	2006	10	-91
NS20164A	1	2	-1	-91	1
NS20174V	1	1	2006	9	-91
NS20185Q	1	1	2006	9	-91
NS20187S	5	1	2006	9	-91
NS20227C	10	1	2007	6	-91
NS20227C	1	2	2006	9	-91
NS20235V	1	1	2006	9	-91
NS20256K	1	1	2006	9	-91
NS20278B	1	1	2006	9	-91
NS20297P	5	1	-1	-91	2
NS20297P	5	2	2006	6	-91
NS20306P	1	1	-1	-91	1
NS20309S	5	1	2006	7	-91
NS20312E	1	1	2006	7	-91
NS20316J	2	1	2006	7	-91
NS20326D	2	1	2006	11	-91
NS20326D	1	2	2006	9	-91
NS20337Z	10	1	2006	7	-91
NS20340L	1	1	2006	9	-91
NS20341M	1	1	2006	9	-91
NS20356M	2	1	2007	6	-91
NS20356M	2	2	2007	2	-91
NS20356M	2	3	2006	8	-91
NS20360A	7	1	2007	1	-91
NS20360A	1	2	2006	9	-91
NS20370V	2	1	2006	5	-91
NS20373Y	1	1	2006	4	-91
NS20384T	1	1	2006	9	-91
NS20407S	1	1	2006	1	-91
NS20408T	1	1	2006	9	-91
NS20416L	1	1	2006	9	-91
NS20418N	1	1	2006	9	-91
NS20422B	1	1	2006	9	-91
NS20424D	1	1	2006	7	-91
NS20432W	2	1	2007	7	-91
NS20432W	1	2	2006	9	-91
NS20440N	3	1	2006	9	-91
NS20444S	4	1	2007	1	-91
NS20444S	2	2	2006	10	-91
NS20444S	1	3	2006	9	-91
NS20447W	5	1	2006	10	-91
NS20447W	2	2	2006	7	-91
NS20449Y	4	1	2006	9	-91
NS20453L	5	1	2006	6	-91
NS20459S	5	1	2006	7	-91
NS20463F	3	1	2006	9	-91
NS20464G	7	1	2007	7	-91
NS20464G	1	2	2006	9	-91
NS20468L	7	1	2007	4	-91
NS20468L	5	2	2006	9	-91
NS20500M	9	1	2006	10	-91
NS20500M	1	2	2006	9	-91
NS20548Z	2	1	2006	7	-91
NS20549A	1	1	2006	9	-91
NS20555Q	10	1	2007	3	-91
NS20555Q	1	2	2006	9	-91
NS20578H	1	1	2006	9	-91
NS20595T	1	1	2007	3	-91
NS20595T	5	2	2006	6	-91
NS20598X	1	1	2006	9	-91
NS20599Y	7	1	2006	9	-91
NS20603S	5	1	2006	12	-91
NS20603S	7	2	2006	9	-91
NS20620D	5	1	2007	1	-91
NS20620D	1	2	2006	9	-91
NS20635D	5	1	2007	5	-91
