NSID	W4JHAct	W4ActivityIteration	W4JHStY	W4JHStM	W4JHStMDK
NS11103S	1	1	2006	1	-91
NS11108Y	5	1	2006	7	-91
NS11109Z	8	1	2006	7	-91
NS11153Q	1	1	2006	9	-91
NS11157V	1	1	2006	9	-91
NS11189F	1	1	2006	9	-91
NS11209B	1	1	2006	9	-91
NS11218V	1	1	2006	9	-91
NS11222H	5	1	2007	1	-91
NS11222H	2	2	2006	11	-91
NS11222H	5	3	2006	7	-91
NS11226M	1	1	2006	9	-91
NS11227N	5	1	2006	10	-91
NS11227N	1	2	2006	8	-91
NS11237H	1	1	2006	7	-91
NS11250P	10	1	2007	3	-91
NS11250P	4	2	2006	9	-91
NS11256W	5	1	2006	5	-91
NS11259Z	5	1	2006	9	-91
NS11273G	7	1	2006	4	-91
NS11279N	1	1	2006	9	-91
NS11284C	1	1	2006	9	-91
NS11297A	1	1	-1	-91	1
NS11298B	2	1	2007	1	-91
NS11298B	1	2	2006	9	-91
NS11305Z	8	1	2006	10	-91
NS11305Z	8	2	2006	7	-91
NS11318X	5	1	2007	2	-91
NS11318X	1	2	2006	9	-91
NS11325N	10	1	2006	9	-91
NS11327Q	1	1	2006	9	-91
NS11332E	5	1	2006	11	-91
NS11332E	1	2	2006	9	-91
NS11348F	1	1	2006	9	-91
NS11358A	5	1	2006	7	-91
NS11365R	5	1	2006	6	-91
NS11369W	1	1	2006	9	-91
NS11372H	1	1	2007	2	-91
NS11372H	1	2	2007	2	-91
NS11372H	1	3	2006	2	-91
NS11373J	10	1	-1	-91	1
NS11414V	9	1	2006	9	-91
NS11425Q	2	1	2006	8	-91
NS11440Z	1	1	2006	9	-91
NS11470H	9	1	2006	6	-91
NS11475N	1	1	-1	-91	-1
NS11485H	1	1	2006	9	-91
NS11496D	7	1	2006	12	-91
NS11496D	9	2	2006	11	-91
NS11496D	1	3	2006	9	-91
NS11501Z	9	1	2007	2	-91
NS11501Z	4	2	2006	8	-91
NS11507F	1	1	2006	9	-91
NS11508G	1	1	2006	9	-91
NS11544F	7	1	2006	12	-91
NS11544F	1	2	2006	9	-91
NS11555B	5	1	2006	7	-91
NS11573N	5	1	2006	7	-91
NS11607H	1	1	2006	9	-91
NS11630J	1	1	2007	9	-91
NS11630J	1	2	2006	6	-91
NS11632L	9	1	2007	1	-91
NS11632L	10	2	2006	9	-91
NS11637R	9	1	2006	7	-91
NS11640D	7	1	2007	6	-91
NS11640D	8	2	2007	3	-91
NS11640D	1	3	2006	9	-91
NS11664X	1	1	2006	6	-91
NS11667A	1	1	2007	7	-91
NS11667A	8	2	2007	7	-91
NS11667A	-92	3	-91	-91	-91
NS11670M	5	1	2006	7	-91
NS11684L	5	1	2006	7	-91
NS11691C	1	1	2007	1	-91
NS11691C	1	2	2006	9	-91
NS11693E	1	1	2006	9	-91
NS11700C	6	1	2006	7	-91
NS11704G	1	1	2006	9	-91
NS11708L	2	1	2006	7	-91
NS11709M	5	1	2006	7	-91
NS11716D	4	1	2006	2	-91
NS11734Q	1	1	2006	9	-91
NS11742H	1	1	2006	9	-91
NS11751B	7	1	2006	10	-91
NS11751B	5	2	2006	7	-91
NS11758J	7	1	2006	9	-91
NS11765A	10	1	2007	1	-91
NS11765A	1	2	2006	9	-91
NS11773S	4	1	2006	9	-91
NS11782L	10	1	2006	9	-91
NS11791E	1	1	2006	9	-91
NS11792F	1	1	2006	9	-91
NS11797L	4	1	2007	2	-91
NS11797L	2	2	2006	12	-91
NS11797L	5	3	2006	8	-91
NS11798M	9	1	2006	7	-91
NS11800E	1	1	2006	9	-91
NS11810Z	10	1	-1	-91	1
NS11818H	5	1	2006	-1	2
NS11818H	7	2	2006	4	-91
NS11820T	4	1	2006	11	-91
NS11820T	8	2	2006	5	-91
NS11841J	5	1	-1	-91	1
NS11852E	1	1	2006	9	-91
NS11858L	5	1	2006	6	-91
NS11874W	5	1	2006	12	-91
NS11874W	2	2	2006	12	-91
NS11874W	5	3	2006	12	-91
NS11874W	5	4	-1	-91	1
NS11891G	5	1	2006	11	-91
NS11891G	1	2	2006	9	-91
NS11893J	1	1	2006	9	-91
NS11906N	1	1	2006	9	-91
NS11912D	1	1	2006	9	-91
NS11942M	1	1	2006	9	-91
NS11951F	1	1	2007	5	-91
NS11951F	1	2	2007	5	-91
NS11951F	1	3	-1	-91	1
NS11989Y	1	1	2006	1	-91
NS12022Z	1	1	2006	9	-91
NS12028F	1	1	2007	1	-91
NS12028F	2	2	2006	10	-91
NS12028F	5	3	2006	7	-91
NS12035X	1	1	2006	9	-91
NS12043P	9	1	2007	1	-91
NS12043P	4	2	2006	7	-91
NS12060A	1	1	2006	9	-91
NS12061B	7	1	2006	6	-91
NS12065F	9	1	2006	5	-91
NS12072X	5	1	2006	7	-91
NS12078D	2	1	2007	1	-91
NS12078D	4	2	2006	7	-91
NS12086W	4	1	2006	8	-91
NS12096Q	8	1	2006	10	-91
NS12096Q	2	2	2006	8	-91
NS12097R	2	1	2006	10	-91
NS12097R	1	2	2006	1	-91
NS12103N	1	1	2006	9	-91
NS12111F	1	1	2006	9	-91
NS12114J	2	1	2006	11	-91
NS12114J	3	2	2006	9	-91
NS12119P	9	1	2006	9	-91
NS12131V	2	1	2006	7	-91
NS12141P	1	1	2006	9	-91
NS12143R	2	1	2007	6	-91
NS12143R	1	2	2006	9	-91
NS12147W	9	1	2006	7	-91
NS12149Y	3	1	2006	10	-91
NS12149Y	7	2	2006	9	-91
NS12179G	7	1	2006	9	-91
NS12183V	8	1	2006	-1	1
NS12185X	2	1	2006	8	-91
NS12199W	3	1	2007	1	-91
NS12199W	1	2	2006	1	-91
NS12212J	4	1	2006	10	-91
NS12212J	8	2	2006	7	-91
NS12220B	8	1	2007	3	-91
NS12220B	1	2	2006	9	-91
NS12233Z	8	1	2007	8	-91
NS12233Z	5	2	2006	7	-91
NS12248Z	1	1	2006	11	-91
NS12248Z	1	2	2006	1	-91
NS12250K	8	1	2006	6	-91
NS12252M	1	1	2006	9	-91
NS12270Z	1	1	2006	10	-91
NS12270Z	1	2	2006	9	-91
NS12271A	9	1	2006	6	-91
NS12272B	5	1	2006	6	-91
NS12277G	9	1	2006	5	-91
NS12286A	1	1	2006	9	-91
NS12287B	1	1	2006	9	-91
NS12293R	5	1	2006	7	-91
NS12304T	10	1	2006	9	-91
NS12315P	1	1	2006	10	-91
NS12315P	1	2	2006	1	-91
NS12323G	1	1	2007	4	-91
NS12323G	1	2	2007	4	-91
NS12323G	1	3	-1	-91	1
NS12336E	1	1	2006	9	-91
NS12342V	5	1	2006	6	-91
NS12355S	6	1	2006	9	-91
NS12360G	5	1	2007	1	-91
NS12360G	1	2	2006	9	-91
NS12361H	2	1	2007	2	-91
NS12361H	1	2	2006	12	-91
NS12361H	5	3	2006	2	-91
NS12369R	1	1	-1	-91	1
NS12370B	1	1	2006	9	-91
NS12373E	2	1	2006	10	-91
NS12373E	1	2	-1	-91	1
NS12376H	6	1	2006	9	-91
NS12379L	1	1	2006	9	-91
NS12383Z	7	1	2006	8	-91
NS12386C	1	1	2006	9	-91
NS12412N	2	1	2006	6	-91
NS12436G	2	1	2006	8	-91
NS12437H	2	1	2006	6	-91
NS12440V	1	1	2006	9	-91
NS12444Z	8	1	2006	6	-91
NS12450P	4	1	2007	1	-91
NS12450P	1	2	2006	9	-91
NS12461K	1	1	2006	9	-91
NS12469T	2	1	2006	12	-91
NS12469T	1	2	2006	9	-91
NS12478M	5	1	2007	1	-91
NS12478M	1	2	2006	9	-91
NS12521J	7	1	2007	4	-91
NS12521J	1	2	2006	9	-91
NS12524M	10	1	2006	9	-91
NS12541Y	1	1	2006	9	-91
NS12547E	4	1	2006	6	-91
NS12552T	1	1	2006	9	-91
NS12566S	7	1	2006	7	-91
NS12568V	1	1	2006	9	-91
NS12572H	1	1	2006	9	-91
NS12575L	5	1	2007	3	-91
NS12575L	1	2	2006	9	-91
NS12576M	1	1	2006	9	-91
NS12599E	1	1	2006	9	-91
NS12600W	1	1	-1	-91	1
NS12607D	7	1	2006	7	-91
NS12623N	1	1	2006	9	-91
NS12630E	1	1	2006	9	-91
NS12643C	1	1	2006	9	-91
NS12647G	1	1	2006	9	-91
NS12666V	2	1	2006	7	-91
NS12672K	4	1	2007	6	-91
NS12672K	5	2	2006	7	-91
NS12678R	7	1	2006	9	-91
NS12709H	1	1	2006	9	-91
NS12719C	1	1	2006	9	-91
NS12725S	10	1	2006	9	-91
NS12727V	1	1	2006	9	-91
NS12731H	1	1	2006	9	-91
NS12734L	5	1	2006	7	-91
NS12735M	5	1	2006	7	-91
NS12737P	4	1	2006	10	-91
NS12737P	5	2	2006	5	-91
NS12741C	1	1	2006	9	-91
NS12749L	5	1	2006	7	-91
NS12764V	1	1	2006	9	-91
NS12765W	5	1	-1	-91	1
NS12788N	1	1	2006	9	-91
NS12791A	1	1	2007	9	-91
NS12791A	1	2	2006	1	-91
NS12793C	7	1	2006	7	-91
NS12795E	5	1	2007	3	-91
NS12795E	1	2	2006	9	-91
NS12796F	1	1	2006	9	-91
NS12811W	5	1	2007	7	-91
NS12811W	1	2	2007	3	-91
NS12811W	5	3	2006	12	-91
NS12811W	1	4	2006	10	-91
NS12811W	5	5	2006	7	-91
NS12828Y	1	1	2006	9	-91
NS12837R	1	1	2006	9	-91
NS12852A	1	1	2006	9	-91
NS12856E	1	1	2006	9	-91
NS12864X	1	1	2006	9	-91
NS12867A	1	1	2006	9	-91
NS12876T	1	1	2006	1	-91
NS12877V	6	1	2006	7	-91
NS12902E	2	1	2006	10	-91
NS12902E	5	2	2006	6	-91
NS12909M	1	1	2006	9	-91
NS12917E	1	1	2006	9	-91
NS12956G	2	1	2006	10	-91
NS12956G	1	2	-1	-91	1
NS12970P	9	1	2006	8	-91
NS12986Q	1	1	2006	-1	1
NS13003G	2	1	2006	8	-91
NS13020S	7	1	2007	1	-91
NS13020S	2	2	2006	11	-91
NS13020S	1	3	2006	9	-91
NS13021T	1	1	2006	9	-91
NS13026Z	1	1	2006	9	-91
NS13039X	2	1	2006	10	-91
NS13039X	4	2	2006	6	-91
NS13045M	7	1	2006	12	-91
NS13045M	7	2	2006	9	-91
NS13046N	2	1	2006	7	-91
NS13047P	7	1	2006	10	-91
NS13047P	5	2	2006	6	-91
NS13064A	4	1	2007	6	-91
NS13064A	6	2	2006	7	-91
NS13065B	1	1	2006	9	-91
NS13073T	1	1	2006	9	-91
NS13075W	2	1	2006	9	-91
NS13089V	1	1	-1	-91	1
NS13117H	2	1	2007	6	-91
NS13117H	5	2	2007	4	-91
NS13117H	2	3	2007	3	-91
NS13117H	5	4	2006	11	-91
NS13117H	1	5	2006	9	-91
NS13131Q	1	1	2006	9	-91
NS13135V	1	1	2006	10	-91
NS13135V	1	2	-1	-91	1
NS13145P	1	1	2007	5	-91
NS13145P	1	2	2007	5	-91
NS13145P	9	3	2007	4	-91
NS13145P	1	4	2006	1	-91
NS13154H	1	1	2006	9	-91
NS13167F	10	1	2006	7	-91
NS13189X	5	1	2006	7	-91
NS13197P	2	1	2006	6	-91
NS13206P	2	1	2007	5	-91
NS13206P	1	2	2006	10	-91
NS13206P	1	3	-1	-91	1
NS13212E	5	1	2006	9	-91
NS13216J	2	1	2007	6	-91
NS13216J	1	2	2006	9	-91
NS13218L	1	1	-1	-91	1
NS13225C	1	1	2006	9	-91
NS13230R	5	1	2006	3	-91
NS13258P	2	1	2007	5	-91
NS13258P	5	2	2007	2	-91
NS13258P	2	3	2006	10	-91
NS13258P	2	4	2006	8	-91
NS13262C	5	1	2006	7	-91
NS13276B	1	1	2006	9	-91
NS13277C	8	1	2006	7	-91
NS13279E	8	1	2006	8	-91
NS13280P	2	1	2007	2	-91
NS13280P	2	2	2006	1	-91
NS13282R	2	1	2007	1	-91
NS13282R	1	2	2006	9	-91
NS13297R	1	1	2006	9	-91
NS13319P	7	1	2006	12	-91
NS13319P	9	2	2006	7	-91
NS13324D	5	1	2007	1	-91
NS13324D	7	2	2006	6	-91
NS13375C	1	1	2006	9	-91
NS13381S	1	1	2006	9	-91
NS13385X	5	1	2006	6	-91
NS13386Y	7	1	2006	10	-91
NS13386Y	1	2	2006	9	-91
NS13404R	1	1	2006	9	-91
NS13409X	1	1	2006	9	-91
NS13415M	1	1	2006	9	-91
NS13433Z	1	1	2006	9	-91
NS13436C	5	1	2007	2	-91
NS13436C	2	2	2006	11	-91
NS13436C	2	3	2006	7	-91
NS13438E	1	1	2006	9	-91
NS13448Z	1	1	2006	9	-91
NS13461F	4	1	2007	1	-91
NS13461F	1	2	2006	9	-91
NS13471A	5	1	2006	7	-91
NS13495T	10	1	2006	9	-91
NS13500P	4	1	2007	6	-91
NS13500P	4	2	2006	8	-91
NS13521E	2	1	2007	6	-91
NS13521E	1	2	2007	1	-91
NS13521E	5	3	-1	-91	1
NS13524H	5	1	2007	5	-91
NS13524H	2	2	2006	6	-91
NS13527L	2	1	2006	11	-91
NS13527L	7	2	2006	1	-91
NS13530Y	1	1	2006	6	-91
NS13531Z	1	1	2006	9	-91
NS13539H	1	1	2006	8	-91
NS13569R	1	1	2006	2	-91
NS13596X	7	1	2007	4	-91
NS13596X	1	2	2006	9	-91
NS13600R	5	1	2006	5	-91
NS13624K	7	1	2006	6	-91
NS13632C	1	1	2006	9	-91
NS13658Y	5	1	2006	7	-91
NS13682A	1	1	2006	9	-91
NS13696Z	2	1	2006	9	-91
NS13705Z	1	1	2006	9	-91
NS13710N	8	1	2006	7	-91
NS13715T	1	1	2006	9	-91
NS13720H	1	1	2006	9	-91
NS13725N	1	1	2006	9	-91
NS13731D	5	1	2006	12	-91
NS13731D	1	2	2006	9	-91
NS13749G	1	1	2006	9	-91
NS13756Y	1	1	2006	9	-91
NS13758A	9	1	2007	7	-91
NS13758A	1	2	2006	9	-91
NS13767T	1	1	2006	9	-91
NS13782C	5	1	2006	5	-91
NS13785F	7	1	2006	9	-91
NS13786G	2	1	2006	9	-91
NS13791W	8	1	2007	2	-91
NS13791W	7	2	2006	11	-91
NS13791W	9	3	2006	6	-91
NS13808E	9	1	2006	9	-91
NS13810Q	1	1	2006	9	-91
NS13812S	1	1	2006	10	-91
NS13812S	1	2	2006	10	-91
NS13812S	1	3	2006	10	-91
NS13812S	-92	4	-91	-91	-91
NS13815W	1	1	2006	9	-91
NS13818Z	1	1	2006	9	-91
