NSID	W7JHAct	W7ActivityPeriod	W7JHWrk	W7JHEdu1	W7JHEdu2	W7JHTrain	W7JHOth1	W7JHOth2	W7JHOth3	W7JHOth4	W7TIterationActivity	W7JHStill	W7OnJobTP	W7OffJobTP_1	W7OffJobTP_2	W7OffJobTP_3	W7OffJobTP_4	W7ActStpY	W7ActStpM	W7FinCour	W7DisNotEd	W7DisOthEdu	W7IfNotEd_1	W7IfNotEd_2	W7IfNotEd_3	W7IfNotEd_4	W7IfNotEd_5	W7IfNotEd_6	W7IfNotEd_7	W7IfNotEd_8	W7IfNotEd_9	W7IfNotEd_10	W7IfNotEd_11	W7IfNotEd_12	W7IfNotEd_13	W7IfNotEd_14	W7IfNotEd_15	W7IfNotEd_16	W7IfNotEd_17	W7IfNotEd_18	W7IfNotEd_19	W7FinHE	W7DisFinHE	W7DisothHE	W7IfNotHE_1	W7IfNotHE_2	W7IfNotHE_3	W7IfNotHE_4	W7IfNotHE_5	W7IfNotHE_6	W7IfNotHE_7	W7IfNotHE_8	W7IfNotHE_9	W7IfNotHE_10	W7IfNotHE_11	W7IfNotHE_12	W7IfNotHE_13	W7IfNotHE_14	W7IfNotHE_15	W7JHStop	W7DisJhStop	W7Disothstop	W7JHLeav_1	W7JHLeav_2	W7JHLeav_3	W7JHLeav_4	W7JHChoose_1	W7JHChoose_2	W7JHChoose_3	W7JHChoose_4	W7JHChoose_5	W7FinApp	W7DisFinApp	W7DisOthApp
NS10039K	2	3	-91	2	1	-91	-91	-91	-91	-91	2	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10042X	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	1	-91	-91	-91	-91	-91	-91	2	7	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10042X	5	2	-91	-91	-91	-91	1	-91	-91	-91	6	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10045A	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	1	9	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10045A	3	2	-91	-91	-91	3	-91	-91	-91	-91	4	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10048D	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	1	6	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10048D	1	2	5	-91	-91	-91	-91	-91	-91	-91	10	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10055V	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	1	6	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10055V	2	2	-91	1	-91	-91	-91	-91	-91	-91	1	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10078M	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	3	-91	-91	-91	-91	-91	-91	1	11	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	-91	-91	-91	-91	-91	-91	1	2	2	1	2	-91	-91	-91
NS10078M	5	2	-91	-91	-91	-91	2	2	1	-91	7	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10086E	2	1	-91	1	-91	-91	-91	-91	-91	-91	1	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10089H	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	1	6	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10089H	1	2	2	-91	-91	-91	-91	-91	-91	-91	3	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10091T	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	5	-91	-91	-91	-91	-91	-91	2	5	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	-91	-91
NS10091T	5	2	-91	-91	-91	-91	2	1	-91	-91	8	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10092V	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	3	-91	-91	-91	-91	-91	-91	2	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	1	2	2	2	-91	-91	-91	-91	-91	-91	-91	-91
NS10092V	5	2	-91	-91	-91	-91	2	1	-91	-91	8	2	-91	-91	-91	-91	-91	2	4	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10092V	1	3	1	-91	-91	-91	-91	-91	-91	-91	3	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10093W	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	5	-91	-91	-91	-91	-91	-91	2	6	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	-91	-91
NS10093W	1	2	1	-91	-91	-91	-91	-91	-91	-91	3	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10100T	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	3	-91	-91	-91	-91	-91	-91	1	9	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	-91	-91	-91	-91	-91	-91	2	2	1	2	2	-91	-91	-91
NS10100T	2	2	-91	1	-91	-91	-91	-91	-91	-91	1	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10101V	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	8	-91	-91	-91	-91	-91	-91	1	4	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10101V	5	2	-91	-91	-91	-91	2	2	1	-91	7	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10105Z	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	8	-91	-91	-91	-91	-91	-91	1	12	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10105Z	1	2	1	-91	-91	-91	-91	-91	-91	-91	3	2	2	2	2	2	2	2	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	1	2	2	2	-91	-91	-91	-91	-91	-91	-91	-91
NS10105Z	5	3	-91	-91	-91	-91	1	-91	-91	-91	6	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10114S	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	3	-91	-91	-91	-91	-91	-91	2	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	-91	-91	-91	-91	-91	-91	1	1	2	2	2	-91	-91	-91
NS10114S	1	2	1	-91	-91	-91	-91	-91	-91	-91	3	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
