NSID	W8HISTID	W8HIST	W8WORKHRSP	W8STUDYHRSP	W8USUALP	W8SICKHRSP	W8HISTSTPM	W8HISTSTPY	W8DACTIVITYP
NS10105Z	3	6	1	-1	-1	-1	9	2010	12
NS10105Z	4	4	-1	-1	-1	-1	4	2010	5
NS10115T	1	1	1	-1	-1	-1	1	2012	1
NS10115T	2	2	1	-1	-1	-1	1	2011	3
NS10115T	3	6	1	-1	-1	-1	9	2006	12
NS10118X	1	1	2	-1	-1	-1	9	2013	2
NS10118X	2	1	2	-1	-1	-1	5	2010	2
NS10118X	3	4	-1	-1	-1	-1	4	2010	5
NS10118X	4	4	-1	-1	-1	-1	6	2009	5
NS10118X	5	1	2	-1	-1	-1	3	2009	2
NS10118X	6	3	2	-1	-1	-1	6	2008	11
NS10118X	7	1	1	-1	-1	-1	10	2007	1
NS10118X	8	1	1	-1	-1	-1	1	2007	1
NS10118X	9	1	1	-1	-1	-1	10	2006	1
NS10118X	10	4	-1	-1	-1	-1	9	2006	5
NS10120H	1	1	2	-1	-1	-1	10	2012	2
NS10120H	2	1	2	-1	-1	-1	6	2012	2
NS10120H	3	1	2	-1	-1	-1	1	2009	2
NS10121J	1	1	2	-1	-1	-1	10	2009	2
NS10128R	1	1	1	-1	-1	-1	2	2015	1
NS10128R	2	1	1	-1	-1	-1	3	2011	1
NS10128R	3	5	-1	2	4	-1	3	2010	7
NS10131D	1	1	1	-1	-1	-1	7	2015	1
NS10131D	2	1	2	-1	-1	-1	2	2015	2
NS10131D	3	4	-1	-1	-1	-1	10	2014	5
NS10131D	4	1	1	-1	-1	-1	6	2013	1
NS10131D	5	5	-1	1	3	-1	9	2011	6
NS10131D	6	5	-1	1	2	-1	9	2009	6
NS10134G	1	1	1	-1	-1	-1	12	2015	1
NS10134G	2	1	1	-1	-1	-1	4	2015	1
NS10134G	3	4	-1	-1	-1	-1	10	2014	5
NS10134G	4	5	-1	1	3	-1	10	2013	6
NS10134G	5	1	1	-1	-1	-1	2	2013	1
