NSID	W8HISTID	W8HIST	W8WORKHRSP	W8STUDYHRSP	W8USUALP	W8SICKHRSP	W8HISTSTPM	W8HISTSTPY	W8DACTIVITYP
NS11391W	3	4	-1	-1	-1	-1	3	2014	5
NS11391W	4	4	-1	-1	-1	-1	1	2014	5
NS11391W	5	4	-1	-1	-1	-1	9	2013	5
NS11391W	6	1	1	-1	-1	-1	9	2012	1
NS11391W	7	4	-1	-1	-1	-1	9	2011	5
NS11391W	8	5	-1	1	3	-1	9	2008	6
NS11393Y	1	1	1	-1	-1	-1	3	2015	1
NS11393Y	2	5	-1	2	3	-1	9	2014	7
NS11393Y	3	1	1	-1	-1	-1	2	2014	1
NS11393Y	4	1	1	-1	-1	-1	8	2012	1
NS11393Y	5	5	-1	1	3	-1	9	2008	6
NS11394Z	1	1	1	-1	-1	-1	1	2014	1
NS11394Z	2	1	1	-1	-1	-1	10	2013	1
NS11394Z	3	10	-1	-1	-1	-1	2	2013	14
NS11394Z	4	1	1	-1	-1	-1	5	2012	1
NS11394Z	5	5	-1	1	3	-1	10	2008	6
NS11395A	1	1	1	-1	-1	-1	5	2014	1
NS11395A	2	1	1	-1	-1	-1	2	2010	1
NS11399E	1	1	1	-1	-1	-1	2	2014	1
NS11399E	2	1	1	-1	-1	-1	10	2011	1
NS11399E	3	5	-1	1	3	-1	10	2008	6
NS11401X	1	1	1	-1	-1	-1	9	2014	1
NS11401X	2	5	-1	2	3	-1	9	2012	7
NS11401X	3	5	-1	1	3	-1	9	2009	6
NS11409F	1	10	-1	-1	-1	-1	12	2014	14
NS11409F	2	1	1	-1	-1	-1	1	2013	1
NS11409F	3	5	-1	1	3	-1	9	2010	6
NS11409F	4	5	-1	1	2	-1	9	2008	6
NS11410Q	1	1	1	-1	-1	-1	9	2009	1
NS11413T	1	5	-1	1	3	-1	9	2008	6
NS11418Z	1	5	-1	1	3	-1	9	2008	6
NS11420K	1	1	1	-1	-1	-1	9	2013	1
NS11420K	2	10	-1	-1	-1	-1	7	2013	14
NS11420K	3	5	-1	1	3	-1	9	2012	6
NS11421L	1	1	1	-1	-1	-1	11	2013	1
NS11421L	2	1	1	-1	-1	-1	5	2013	1
NS11421L	3	1	1	-1	-1	-1	9	2012	1
NS11421L	4	5	-1	1	3	-1	9	2008	6
NS11424P	1	1	1	-1	-1	-1	1	2013	1
NS11424P	2	1	2	-1	-1	-1	2	2012	2
NS11424P	3	5	-1	1	3	-1	9	2009	6
NS11427S	1	1	1	-1	-1	-1	10	2012	1
NS11427S	2	1	1	-1	-1	-1	4	2010	1
NS11427S	3	1	1	-1	-1	-1	2	2010	1
NS11427S	4	6	2	-1	-1	-1	2	2009	12
NS11428T	1	1	1	-1	-1	-1	5	2015	1
NS11428T	2	1	1	-1	-1	-1	5	2014	1
NS11428T	3	3	1	-1	-1	-1	6	2011	11
NS11428T	4	5	-1	1	3	-1	10	2008	6
NS11436L	1	5	-1	1	3	-1	9	2009	6
NS11437M	1	1	1	-1	-1	-1	4	2010	1
NS11439P	1	1	1	-1	-1	-1	6	2011	1
NS11439P	2	5	-1	1	3	-1	1	2008	6
NS11439P	3	5	-1	1	2	-1	9	2006	6
NS11441A	1	1	2	-1	-1	-1	7	2011	2
NS11441A	2	5	-1	1	3	-1	9	2008	6
NS11443C	1	1	1	-1	-1	-1	1	2015	1
NS11443C	2	1	2	-1	-1	-1	10	2013	2
NS11443C	3	1	1	-1	-1	-1	8	2010	1
NS11443C	4	10	-1	-1	-1	-1	12	2009	14
NS11444D	1	1	1	-1	-1	-1	6	2014	1
NS11444D	2	4	-1	-1	-1	-1	10	2013	5
NS11444D	3	1	1	-1	-1	-1	7	2013	1
NS11444D	4	5	-1	1	3	-1	9	2010	6
NS11444D	5	4	-1	-1	-1	-1	12	2009	5
NS11451V	1	1	1	-1	-1	-1	8	2013	1
NS11451V	2	5	-1	1	3	-1	6	2010	6
NS11451V	3	5	-1	1	2	-1	6	2007	6
NS11452W	1	5	-1	1	3	-1	9	2008	6
NS11452W	2	5	-1	1	2	-1	9	2006	6
NS11455Z	1	1	1	-1	-1	-1	-8	-8	1
NS11457B	1	1	2	-1	-1	-1	4	2013	2
NS11457B	2	1	1	-1	-1	-1	10	2007	1
NS11458C	1	1	1	-1	-1	-1	3	2011	1
NS11458C	2	1	1	-1	-1	-1	-8	2008	1
NS11458C	3	1	1	-1	-1	-1	8	2006	1
NS11459D	1	1	1	-1	-1	-1	9	2006	1
NS11460N	1	1	1	-1	-1	-1	10	2009	1
NS11460N	2	1	1	-1	-1	-1	1	2009	1
NS11460N	3	6	1	-1	-1	-1	10	2006	12
NS11460N	4	5	-1	1	2	-1	10	2006	6
NS11460N	5	5	-1	1	1	-1	9	2006	6
NS11465T	1	1	1	-1	-1	-1	11	2015	1
NS11465T	2	1	1	-1	-1	-1	9	2014	1
NS11465T	3	1	1	-1	-1	-1	8	2009	1
NS11465T	4	1	2	-1	-1	-1	10	2007	2
NS11466V	1	10	-1	-1	-1	-1	6	1990	14
NS11470H	1	1	1	-1	-1	-1	6	2013	1
NS11470H	2	1	1	-1	-1	-1	1	2010	1
NS11472K	1	1	1	-1	-1	-1	9	2012	1
NS11472K	2	5	-1	1	3	-1	9	2009	6
NS11473L	1	4	-1	-1	-1	-1	6	2015	5
NS11473L	2	2	1	-1	-1	-1	9	2007	3
NS11473L	3	5	-1	2	4	-1	2	2006	7
NS11474M	1	1	1	-1	-1	-1	7	2014	1
NS11474M	2	10	-1	-1	-1	-1	1	2013	14
NS11474M	3	1	1	-1	-1	-1	6	2012	1
NS11474M	4	1	1	-1	-1	-1	6	2011	1
NS11474M	5	5	-1	1	3	-1	9	2008	6
NS11474M	6	5	-1	1	2	-1	9	2006	6
NS11476P	1	1	1	-1	-1	-1	5	2011	1
NS11476P	2	1	1	-1	-1	-1	9	2007	1
NS11477Q	1	4	-1	-1	-1	-1	7	2014	5
NS11477Q	2	1	1	-1	-1	-1	7	2013	1
NS11477Q	3	1	2	-1	-1	-1	7	2012	2
NS11477Q	4	5	-1	1	3	-1	9	2009	6
NS11478R	1	1	1	-1	-1	-1	9	2011	1
NS11478R	2	5	-1	1	2	-1	9	2009	6
NS11478R	3	5	-1	1	1	-1	9	1995	6
NS11480C	1	1	2	-1	-1	-1	9	2010	2
NS11480C	2	4	-1	-1	-1	-1	4	2010	5
NS11481D	1	5	-1	1	3	-1	9	2009	6
NS11482E	1	8	-1	-1	-1	2	10	2008	10
NS11485H	1	1	1	-1	-1	-1	9	2015	1
NS11485H	2	1	2	-1	-1	-1	7	2014	2
NS11485H	3	1	1	-1	-1	-1	7	2012	1
NS11485H	4	4	-1	-1	-1	-1	6	2010	5
NS11487K	1	1	1	-1	-1	-1	9	2013	1
NS11487K	2	5	-1	1	3	-1	9	2009	6
NS11488L	1	8	-1	-1	-1	1	10	2012	9
NS11488L	2	1	1	-1	-1	-1	9	2012	1
NS11488L	3	1	1	-1	-1	-1	9	2011	1
NS11488L	4	5	-1	1	3	-1	9	2008	6
NS11489M	1	1	1	-1	-1	-1	5	2014	1
NS11489M	2	1	2	-1	-1	-1	3	2014	2
NS11489M	3	1	1	-1	-1	-1	12	2013	1
NS11489M	4	1	1	-1	-1	-1	1	2013	1
NS11489M	5	1	2	-1	-1	-1	11	2012	2
NS11489M	6	1	1	-1	-1	-1	12	2008	1
NS11495C	1	1	2	-1	-1	-1	9	2009	2
NS11497E	1	1	1	-1	-1	-1	11	2011	1
NS11497E	2	1	2	-1	-1	-1	-8	2010	2
NS11497E	3	-8	-1	-1	-1	-1	-8	-8	-8
NS11500Y	1	1	1	-1	-1	-1	2	2009	1
NS11501Z	1	1	1	-1	-1	-1	2	2015	1
NS11501Z	2	1	1	-1	-1	-1	1	2014	1
NS11501Z	3	5	-1	1	3	-1	9	2011	6
NS11501Z	4	5	-1	1	2	-1	9	2009	6
NS11503B	1	1	1	-1	-1	-1	8	2006	1
NS11507F	1	1	2	-1	-1	-1	6	2009	2
NS11508G	1	10	-1	-1	-1	-1	7	2011	14
NS11508G	2	10	-1	-1	-1	-1	1	2006	14
NS11509H	1	1	2	-1	-1	-1	6	2010	2
NS11511T	1	1	1	-1	-1	-1	11	2012	1
NS11511T	2	1	1	-1	-1	-1	1	2011	1
NS11511T	3	1	1	-1	-1	-1	9	2010	1
NS11511T	4	5	-1	1	2	-1	9	2006	6
NS11513W	1	1	1	-1	-1	-1	9	2014	1
NS11513W	2	7	-1	-1	-1	-1	6	2014	8
NS11513W	3	3	1	-1	-1	-1	5	2014	11
NS11513W	4	5	-1	2	2	-1	9	2013	7
NS11513W	5	5	-1	1	3	-1	9	2010	6
NS11513W	6	5	-1	1	2	-1	9	2009	6
NS11514X	1	1	1	-1	-1	-1	3	2010	1
NS11516Z	1	5	-1	1	3	-1	9	2007	6
NS11520M	1	1	1	-1	-1	-1	6	2013	1
NS11520M	2	1	2	-1	-1	-1	4	2013	2
NS11520M	3	4	-1	-1	-1	-1	1	2013	5
NS11520M	4	1	1	-1	-1	-1	8	2008	1
NS11522P	1	10	-1	-1	-1	-1	2	2014	14
NS11522P	2	1	1	-1	-1	-1	2	2014	1
NS11522P	3	10	-1	-1	-1	-1	12	2013	14
NS11522P	4	1	1	-1	-1	-1	9	2013	1
NS11522P	5	1	1	-1	-1	-1	6	2013	1
NS11522P	6	10	-1	-1	-1	-1	3	2013	14
NS11522P	7	1	1	-1	-1	-1	10	2012	1
NS11522P	8	10	-1	-1	-1	-1	9	2012	14
NS11522P	9	1	1	-1	-1	-1	1	2012	1
NS11522P	10	4	-1	-1	-1	-1	6	2011	5
NS11522P	11	5	-1	1	3	-1	9	2008	6
NS11525S	1	1	1	-1	-1	-1	10	2011	1
NS11525S	2	5	-1	1	3	-1	10	2008	6
NS11529X	1	1	1	-1	-1	-1	10	2014	1
NS11529X	2	1	1	-1	-1	-1	8	2013	1
NS11529X	3	1	-8	-1	-1	-1	-8	2012	-8
NS11529X	4	10	-1	-1	-1	-1	-8	-8	14
NS11533K	1	1	1	-1	-1	-1	11	2010	1
NS11533K	2	1	2	-1	-1	-1	6	2004	2
NS11535M	1	4	-1	-1	-1	-1	12	2014	5
NS11535M	2	1	1	-1	-1	-1	12	2013	1
NS11535M	3	1	1	-1	-1	-1	7	2012	1
NS11535M	4	5	-1	1	3	-1	9	2008	6
NS11535M	5	5	-1	1	1	-1	9	2003	6
NS11537P	1	1	1	-1	-1	-1	11	2011	1
NS11537P	2	1	1	-1	-1	-1	1	2009	1
NS11539R	1	1	1	-1	-1	-1	2	2015	1
NS11539R	2	1	1	-1	-1	-1	10	2014	1
NS11539R	3	8	-1	-1	-1	1	5	2014	9
NS11539R	4	1	1	-1	-1	-1	4	2014	1
NS11539R	5	1	1	-1	-1	-1	7	2012	1
NS11539R	6	5	-1	1	3	-1	9	2009	6
NS11541C	1	4	-1	-1	-1	-1	6	2010	5
NS11542D	1	1	2	-1	-1	-1	7	2011	2
NS11542D	2	4	-1	-1	-1	-1	8	2009	5
NS11549L	1	1	1	-1	-1	-1	6	2014	1
NS11549L	2	1	1	-1	-1	-1	1	2014	1
NS11549L	3	1	1	-1	-1	-1	7	2012	1
NS11549L	4	4	-1	-1	-1	-1	9	2011	5
NS11549L	5	5	-1	1	3	-1	9	2008	6
NS11550W	1	1	1	-1	-1	-1	1	2009	1
NS11552Y	1	1	1	-1	-1	-1	7	2014	1
NS11552Y	2	1	1	-1	-1	-1	7	2013	1
NS11552Y	3	5	-1	1	3	-1	9	2009	6
NS11558E	1	1	1	-1	-1	-1	11	2012	1
NS11558E	2	1	1	-1	-1	-1	1	2012	1
NS11558E	3	1	1	-1	-1	-1	6	2011	1
NS11558E	4	1	1	-1	-1	-1	6	2010	1
NS11560Q	1	1	1	-1	-1	-1	9	2009	1
NS11561R	1	1	1	-1	-1	-1	4	2014	1
NS11561R	2	1	1	-1	-1	-1	7	2013	1
NS11561R	3	1	1	-1	-1	-1	12	2012	1
NS11561R	4	5	-1	1	3	-1	8	2009	6
NS11561R	5	1	2	-1	-1	-1	9	2008	2
NS11563T	1	1	1	-1	-1	-1	6	2012	1
NS11563T	2	5	-1	1	3	-1	9	2009	6
NS11563T	3	1	2	-1	-1	-1	9	2008	2
NS11563T	4	5	-1	1	1	-1	9	2003	6
NS11564V	1	1	1	-1	-1	-1	10	2014	1
NS11564V	2	1	1	-1	-1	-1	6	2014	1
NS11564V	3	5	-1	1	3	-1	9	2012	6
NS11564V	4	1	1	-1	-1	-1	2	2012	1
NS11564V	5	5	-1	1	3	-1	9	2010	6
NS11564V	6	5	-1	1	2	-1	9	2008	6
NS11566X	1	1	1	-1	-1	-1	4	2010	1
NS11568Z	1	4	-1	-1	-1	-1	4	2014	5
NS11568Z	2	1	1	-1	-1	-1	8	2013	1
NS11568Z	3	1	1	-1	-1	-1	7	2011	1
NS11568Z	4	5	-1	1	3	-1	9	2008	6
NS11570K	1	1	1	-1	-1	-1	10	2006	1
NS11572M	1	1	1	-1	-1	-1	9	2007	1
NS11579V	1	1	1	-1	-1	-1	4	2011	1
NS11579V	2	1	1	-1	-1	-1	7	2010	1
NS11579V	3	1	2	-1	-1	-1	4	2008	2
NS11580E	1	5	-1	1	3	-1	9	2008	6
NS11581F	1	1	2	-1	-1	-1	6	2010	2
NS11583H	1	1	1	-1	-1	-1	9	2008	1
NS11583H	2	1	1	-1	-1	-1	8	2008	1
NS11583H	3	1	2	-1	-1	-1	6	2006	2
NS11587M	1	4	-1	-1	-1	-1	7	2006	5
NS11589P	1	1	1	-1	-1	-1	2	2014	1
NS11589P	2	1	1	-1	-1	-1	2	2013	1
NS11589P	3	4	-1	-1	-1	-1	8	2012	5
NS11589P	4	1	2	-1	-1	-1	1	2012	2
NS11589P	5	10	-1	-1	-1	-1	1	2012	14
NS11589P	6	10	-1	-1	-1	-1	12	2011	14
NS11589P	7	10	-1	-1	-1	-1	11	2011	14
NS11589P	8	5	-1	1	1	-1	1	2000	6
NS11590Z	1	1	1	-1	-1	-1	1	2008	1
NS11591A	1	5	-1	1	3	-1	9	2009	6
NS11592B	1	1	1	-1	-1	-1	3	2014	1
NS11592B	2	1	1	-1	-1	-1	9	2011	1
NS11592B	3	5	-1	1	3	-1	9	2008	6
NS11594D	1	5	-1	1	3	-1	9	2008	6
NS11596F	1	1	1	-1	-1	-1	3	2015	1
NS11596F	2	1	1	-1	-1	-1	11	2013	1
NS11596F	3	1	1	-1	-1	-1	11	2013	1
NS11596F	4	1	1	-1	-1	-1	8	2013	1
NS11596F	5	1	2	-1	-1	-1	8	2006	2
NS11597G	1	5	-1	1	2	-1	9	2006	6
NS11598H	1	1	2	-1	-1	-1	6	2014	2
NS11598H	2	10	-1	-1	-1	-1	8	2013	14
NS11598H	3	1	1	-1	-1	-1	9	2009	1
NS11598H	4	1	2	-1	-1	-1	8	2007	2
NS11601B	1	5	-1	1	3	-1	9	2009	6
NS11602C	1	1	2	-1	-1	-1	2	2014	2
NS11602C	2	10	-1	-1	-1	-1	9	2005	14
NS11603D	1	1	1	-1	-1	-1	5	2012	1
NS11603D	2	1	1	-1	-1	-1	9	2011	1
NS11603D	3	5	-1	1	3	-1	9	2008	6
NS11607H	1	1	1	-1	-1	-1	3	2014	1
NS11607H	2	1	2	-1	-1	-1	8	2013	2
NS11607H	3	1	2	-1	-1	-1	5	2008	2
NS11608J	1	1	1	-1	-1	-1	1	2016	1
NS11608J	2	4	-1	-1	-1	-1	12	2015	5
NS11608J	3	1	1	-1	-1	-1	2	2014	1
NS11608J	4	4	-1	-1	-1	-1	6	2013	5
NS11608J	5	5	-1	1	3	-1	9	2009	6
NS11611W	1	5	-1	1	2	-1	9	2006	6
NS11611W	3	-8	-1	-1	-1	-1	-8	-8	-8
NS11613Y	1	1	1	-1	-1	-1	10	2010	1
NS11613Y	2	1	2	-1	-1	-1	9	2009	2
NS11618D	1	1	1	-1	-1	-1	9	2014	1
NS11618D	2	5	-1	1	3	-1	9	2011	6
NS11618D	3	5	-1	1	2	-1	9	2009	6
NS11619E	1	1	1	-1	-1	-1	3	2009	1
NS11619E	2	1	1	-1	-1	-1	7	2008	1
NS11619E	3	5	-1	1	2	-1	9	2006	6
NS11621Q	1	5	-1	1	3	-1	9	2009	6
NS11627X	1	4	-1	-1	-1	-1	2	2013	5
NS11627X	2	1	2	-1	-1	-1	6	2011	2
NS11627X	3	5	-1	1	2	-1	9	2006	6
NS11628Y	1	1	1	-1	-1	-1	12	2011	1
NS11628Y	2	1	1	-1	-1	-1	12	2011	1
NS11628Y	3	1	1	-1	-1	-1	12	2011	1
NS11628Y	4	-8	-1	-1	-1	-1	-8	-8	-8
NS11630J	1	1	2	-1	-1	-1	10	2008	2
NS11631K	1	3	2	-1	-1	-1	7	2012	11
NS11631K	2	10	-1	-1	-1	-1	1	2012	14
NS11631K	3	1	2	-1	-1	-1	11	2011	2
NS11631K	4	10	-1	-1	-1	-1	7	2011	14
NS11631K	5	5	-1	1	3	-1	9	2008	6
NS11631K	6	5	-1	1	2	-1	9	2006	6
NS11635P	1	1	1	-1	-1	-1	6	2015	1
NS11635P	2	1	2	-1	-1	-1	6	2010	2
NS11636Q	1	1	1	-1	-1	-1	5	2010	1
NS11639T	1	5	-1	1	3	-1	9	2008	6
NS11641E	1	5	-1	1	3	-1	9	2010	6
NS11641E	2	1	1	-1	-1	-1	1	2008	1
NS11642F	1	1	1	-1	-1	-1	6	2014	1
NS11642F	2	5	-1	1	3	-1	9	2009	6
NS11643G	1	5	-1	1	3	-1	9	2008	6
NS11644H	1	1	1	-1	-1	-1	7	2014	1
NS11644H	2	1	2	-1	-1	-1	10	2011	2
NS11644H	3	8	-1	-1	-1	2	9	2010	10
NS11644H	4	1	1	-1	-1	-1	8	2010	1
NS11644H	5	1	2	-1	-1	-1	9	2007	2
NS11650Y	1	1	1	-1	-1	-1	11	2013	1
NS11650Y	2	1	1	-1	-1	-1	2	2011	1
NS11650Y	3	10	-1	-1	-1	-1	-8	-8	14
NS11651Z	1	10	-1	-1	-1	-1	12	2012	14
NS11651Z	2	1	1	-1	-1	-1	7	2006	1
NS11652A	1	1	1	-1	-1	-1	8	2012	1
NS11652A	2	1	2	-1	-1	-1	5	2011	2
NS11652A	3	5	-1	1	3	-1	9	2008	6
NS11653B	1	5	-1	1	3	-1	9	2008	6
NS11654C	1	1	1	-1	-1	-1	10	2010	1
NS11654C	2	1	1	-1	-1	-1	-8	2008	1
NS11657F	1	1	2	-1	-1	-1	9	2013	2
NS11657F	2	5	-1	1	2	-1	9	2012	6
NS11657F	3	1	2	-1	-1	-1	9	2011	2
NS11657F	4	5	-1	1	3	-1	9	2008	6
NS11659H	1	1	1	-1	-1	-1	5	2006	1
NS11661T	1	1	1	-1	-1	-1	8	2013	1
NS11661T	2	1	2	-1	-1	-1	11	2012	2
NS11661T	3	3	1	-1	-1	-1	10	2012	11
NS11661T	4	1	2	-1	-1	-1	9	2012	2
NS11661T	5	1	1	-1	-1	-1	7	2012	1
NS11661T	6	5	-1	1	3	-1	10	2009	6
NS11667A	1	1	2	-1	-1	-1	6	2008	2
NS11671N	1	4	-1	-1	-1	-1	5	2010	5
NS11673Q	1	1	1	-1	-1	-1	1	2016	1
NS11673Q	2	1	1	-1	-1	-1	9	2014	1
NS11673Q	3	5	-1	1	3	-1	9	2013	6
NS11673Q	4	5	-1	1	3	-1	9	2009	6
NS11673Q	5	5	-1	1	2	-1	9	2008	6
NS11673Q	6	5	-1	1	1	-1	8	2001	6
NS11676T	1	6	1	-1	-1	-1	8	2015	12
NS11676T	2	1	2	-1	-1	-1	10	2013	2
NS11676T	3	5	-1	1	3	-1	9	2010	6
NS11676T	4	5	-1	1	1	-1	9	1994	6
NS11678W	1	1	2	-1	-1	-1	5	2015	2
NS11678W	2	1	2	-1	-1	-1	12	2014	2
NS11678W	3	4	-1	-1	-1	-1	9	2012	5
NS11678W	4	4	-1	-1	-1	-1	8	2009	5
NS11678W	5	1	1	-1	-1	-1	7	2005	1
NS11679X	1	1	2	-1	-1	-1	9	2010	2
NS11679X	2	5	-1	1	3	-1	9	2010	6
NS11679X	3	5	-1	2	2	-1	1	2009	7
NS11681H	1	1	1	-1	-1	-1	8	2008	1
NS11682J	1	1	2	-1	-1	-1	10	2014	2
NS11682J	2	5	-1	1	2	-1	-8	-8	6
NS11685M	1	1	2	-1	-1	-1	2	2010	2
NS11688Q	1	4	-1	-1	-1	-1	2	2014	5
NS11688Q	2	1	1	-1	-1	-1	2	2014	1
NS11688Q	3	1	1	-1	-1	-1	6	2013	1
NS11688Q	4	4	-1	-1	-1	-1	2	2013	5
NS11688Q	5	3	1	-1	-1	-1	1	2013	11
NS11688Q	6	4	-1	-1	-1	-1	7	2011	5
NS11688Q	7	5	-1	1	3	-1	9	2008	6
NS11690B	1	5	-1	1	3	-1	9	2008	6
NS11692D	1	2	1	-1	-1	-1	5	2014	3
NS11692D	2	1	1	-1	-1	-1	4	2012	1
NS11692D	3	1	2	-1	-1	-1	-8	2006	2
NS11695G	1	1	1	-1	-1	-1	4	2007	1
NS11696H	1	5	-1	1	3	-1	9	2012	6
NS11696H	2	5	-1	1	2	-1	9	2011	6
NS11696H	3	2	1	-1	-1	-1	7	2010	3
NS11696H	4	1	1	-1	-1	-1	1	2009	1
NS11703F	1	1	2	-1	-1	-1	8	2012	2
NS11703F	2	1	2	-1	-1	-1	5	2012	2
NS11703F	3	5	-1	1	3	-1	9	2009	6
NS11704G	1	5	-1	1	3	-1	10	2008	6
NS11706J	1	1	1	-1	-1	-1	7	2011	1
NS11706J	2	5	-1	1	3	-1	9	2008	6
NS11710X	1	1	1	-1	-1	-1	9	2011	1
NS11710X	2	1	1	-1	-1	-1	11	2009	1
NS11714B	1	1	2	-1	-1	-1	6	2014	2
NS11714B	2	5	-1	1	3	-1	9	2010	6
NS11714B	3	5	-1	1	2	-1	9	2008	6
NS11714B	4	5	-1	1	1	-1	9	2001	6
NS11717E	1	9	-1	-1	-1	-1	8	2014	13
NS11717E	2	5	-1	1	2	-1	9	2013	6
NS11717E	3	9	-1	-1	-1	-1	5	2012	13
NS11717E	4	4	-1	-1	-1	-1	9	2011	5
NS11717E	5	1	1	-1	-1	-1	1	2010	1
NS11717E	6	4	-1	-1	-1	-1	11	2009	5
NS11717E	7	1	1	-1	-1	-1	11	2008	1
NS11717E	8	4	-1	-1	-1	-1	8	2007	5
NS11717E	9	5	-1	1	2	-1	9	2006	6
NS11719G	1	1	1	-1	-1	-1	4	2014	1
NS11719G	2	1	2	-1	-1	-1	9	2013	2
NS11719G	3	4	-1	-1	-1	-1	9	2011	5
NS11719G	4	5	-1	1	2	-1	9	2007	6
NS11722T	1	1	1	-1	-1	-1	9	2013	1
NS11722T	2	1	2	-1	-1	-1	5	2008	2
NS11724W	1	1	1	-1	-1	-1	8	2012	1
NS11724W	2	1	1	-1	-1	-1	7	2010	1
NS11724W	3	1	2	-1	-1	-1	7	2008	2
NS11724W	4	5	-1	1	2	-1	9	2006	6
NS11731M	1	1	2	-1	-1	-1	12	2014	2
NS11731M	2	1	2	-1	-1	-1	6	2014	2
NS11731M	3	9	-1	-1	-1	-1	9	2012	13
NS11731M	4	5	-1	1	2	-1	6	2011	6
NS11731M	5	5	-1	1	1	-1	9	1995	6
NS11732N	1	5	-1	1	3	-1	10	2008	6
NS11734Q	1	1	1	-1	-1	-1	6	2011	1
NS11734Q	2	1	1	-1	-1	-1	8	2009	1
NS11736S	1	4	-1	-1	-1	-1	6	2014	5
NS11736S	2	1	1	-1	-1	-1	3	2014	1
NS11736S	3	4	-1	-1	-1	-1	5	2013	5
NS11736S	4	1	1	-1	-1	-1	5	2012	1
NS11736S	5	4	-1	-1	-1	-1	6	2011	5
NS11736S	6	5	-1	1	3	-1	9	2008	6
NS11737T	1	1	1	-1	-1	-1	10	2015	1
NS11737T	2	4	-1	-1	-1	-1	7	2015	5
NS11737T	3	1	2	-1	-1	-1	6	2015	2
NS11737T	4	4	-1	-1	-1	-1	4	2015	5
NS11737T	5	1	2	-1	-1	-1	10	2014	2
NS11737T	6	5	-1	1	3	-1	9	2011	6
NS11737T	7	4	-1	-1	-1	-1	4	2010	5
NS11737T	8	5	-1	1	3	-1	9	2009	6
NS11737T	9	10	-1	-1	-1	-1	7	2008	14
NS11738V	1	1	2	-1	-1	-1	5	2012	2
NS11738V	2	4	-1	-1	-1	-1	6	2006	5
NS11741G	1	6	1	-1	-1	-1	9	2006	12
NS11743J	1	1	1	-1	-1	-1	8	2015	1
NS11743J	2	4	-1	-1	-1	-1	1	2015	5
NS11743J	3	4	-1	-1	-1	-1	7	2014	5
NS11743J	4	1	1	-1	-1	-1	3	2014	1
NS11743J	5	5	-1	1	3	-1	9	2009	6
NS11745L	1	5	-1	1	3	-1	7	2010	6
NS11745L	2	5	-1	1	2	-1	7	2008	6
NS11746M	1	1	1	-1	-1	-1	8	2013	1
NS11746M	2	1	1	-1	-1	-1	6	2013	1
NS11746M	3	4	-1	-1	-1	-1	2	2013	5
NS11746M	4	8	-1	-1	-1	1	2	2013	9
NS11746M	5	1	1	-1	-1	-1	9	2012	1
NS11746M	6	3	1	-1	-1	-1	3	2012	11
NS11746M	7	1	1	-1	-1	-1	10	2011	1
NS11746M	8	4	-1	-1	-1	-1	7	2011	5
NS11746M	9	5	-1	1	3	-1	9	2008	6
NS11762X	1	5	-1	1	3	-1	9	2008	6
NS11765A	1	1	1	-1	-1	-1	7	2015	1
NS11765A	2	1	1	-1	-1	-1	5	2015	1
NS11765A	3	1	1	-1	-1	-1	3	2015	1
NS11765A	4	1	1	-1	-1	-1	10	2014	1
NS11765A	5	1	1	-1	-1	-1	8	2014	1
NS11765A	6	-8	-1	-1	-1	-1	-8	-8	-8
NS11767C	1	10	-1	-1	-1	-1	7	2015	14
NS11767C	2	1	1	-1	-1	-1	7	2008	1
NS11770P	1	1	2	-1	-1	-1	6	2014	2
NS11770P	2	1	1	-1	-1	-1	12	2013	1
NS11770P	3	5	-1	1	3	-1	9	2010	6
NS11770P	4	1	1	-1	-1	-1	9	2008	1
NS11771Q	1	1	1	-1	-1	-1	11	2008	1
NS11772R	1	1	1	-1	-1	-1	2	2015	1
NS11772R	2	1	1	-1	-1	-1	3	2014	1
NS11772R	3	4	-1	-1	-1	-1	8	2013	5
NS11772R	4	1	2	-1	-1	-1	10	2012	2
NS11772R	5	5	-1	1	3	-1	9	2008	6
NS11775V	1	5	-1	1	3	-1	9	2009	6
NS11778Y	1	5	-1	1	3	-1	9	2008	6
NS11780J	1	1	2	-1	-1	-1	6	2006	2
NS11783M	1	1	2	-1	-1	-1	8	2013	2
NS11783M	2	4	-1	-1	-1	-1	6	2013	5
NS11783M	3	1	2	-1	-1	-1	8	2012	2
NS11783M	4	1	2	-1	-1	-1	9	2010	2
NS11783M	5	1	2	-1	-1	-1	9	2008	2
NS11783M	6	4	-1	-1	-1	-1	6	2007	5
NS11783M	7	5	-1	1	2	-1	9	2006	6
NS11784N	1	5	-1	1	3	-1	9	2014	6
NS11784N	2	1	1	-1	-1	-1	9	2011	1
NS11784N	3	10	-1	-1	-1	-1	1	2011	14
NS11784N	4	5	-1	1	3	-1	9	2008	6
NS11784N	5	5	-1	1	2	-1	9	2006	6
NS11785P	1	1	1	-1	-1	-1	4	2011	1
NS11785P	2	1	1	-1	-1	-1	2	2009	1
NS11786Q	1	5	-1	1	3	-1	9	2011	6
NS11786Q	2	3	1	-1	-1	-1	7	2010	11
NS11786Q	3	5	-1	2	2	-1	10	2009	7
NS11787R	1	1	1	-1	-1	-1	11	2012	1
NS11787R	2	1	1	-1	-1	-1	9	2011	1
NS11787R	3	5	-1	1	3	-1	9	2008	6
NS11793G	1	5	-1	1	3	-1	9	2014	6
NS11793G	2	1	1	-1	-1	-1	9	2012	1
