NSID	ActNum	Activity	Start_Y	Start_M	Sweep	IntFlag	IntMonth	IntYear
NS10033D	2	1	2011	9	8	1	9	2016
NS10033D	3	2	2009	9	8	1	9	2016
NS10033D	4	2	-7	-7	7	1	6	2010
NS10033D	5	2	2008	9	6	1	9	2009
NS10033D	6	2	-5	-1	5	1	7	2008
NS10033D	7	2	2006	-2	4	1	6	2007
NS10034E	1	2	2006	-2	4	1	7	2007
NS10035F	1	3	2006	-8	5	1	6	2008
NS10035F	2	2	2006	-2	4	1	7	2007
NS10036G	1	1	2013	4	8	1	11	2015
NS10036G	2	3	2009	4	8	1	11	2015
NS10036G	3	3	-8	-8	7	1	6	2010
NS10036G	4	2	-8	-8	7	1	6	2010
NS10036G	5	2	2008	9	6	1	5	2009
NS10036G	6	2	-5	-1	5	1	9	2008
NS10036G	7	2	2006	-2	4	1	7	2007
NS10038J	1	1	2011	8	8	1	1	2016
NS10038J	2	1	2010	6	8	1	1	2016
NS10038J	3	5	-7	-7	7	1	6	2010
NS10038J	4	5	2008	9	6	1	6	2009
NS10038J	5	1	2007	1	6	1	6	2009
NS10038J	6	5	2006	9	5	1	7	2008
NS10038J	7	5	2006	-2	4	1	8	2007
NS10039K	1	1	2015	1	8	1	5	2016
NS10039K	2	1	2015	1	8	1	5	2016
NS10039K	3	1	2012	7	8	1	5	2016
NS10039K	4	1	2010	9	8	1	5	2016
NS10039K	5	2	2008	9	8	1	5	2016
NS10039K	6	2	-8	-8	7	1	5	2010
NS10039K	7	6	-8	-8	7	1	5	2010
NS10039K	8	2	-8	-8	7	1	5	2010
NS10039K	9	2	2008	9	6	1	5	2009
NS10039K	10	6	2008	12	6	1	5	2009
NS10039K	11	5	-1	-1	6	1	5	2009
NS10039K	12	3	2008	6	5	1	7	2008
NS10039K	13	1	2007	12	5	1	7	2008
NS10039K	14	1	-8	-8	5	1	7	2008
NS10039K	15	3	2007	6	4	1	7	2007
NS10039K	16	2	2006	9	4	1	7	2007
NS10040V	1	1	2015	9	8	1	1	2016
NS10040V	2	1	1997	7	8	1	1	2016
NS10040V	3	3	2007	9	6	1	8	2009
NS10040V	4	3	2006	8	5	1	8	2008
NS10040V	5	3	2006	10	4	1	6	2007
NS10040V	6	6	2006	6	4	1	6	2007
NS10041W	1	1	2013	9	8	1	5	2016
NS10041W	2	1	2012	9	8	1	5	2016
NS10041W	3	1	2010	6	8	1	5	2016
NS10041W	4	1	-7	-7	7	1	7	2010
NS10041W	5	1	2009	5	6	1	6	2009
NS10041W	6	6	2008	8	6	1	6	2009
NS10041W	7	2	-6	-1	6	1	6	2009
NS10041W	8	2	-5	-1	5	1	6	2008
NS10041W	9	2	2006	-2	4	1	7	2007
NS10042X	1	1	2012	3	8	1	5	2016
NS10042X	2	3	2010	8	8	1	5	2016
NS10042X	3	6	-8	-8	7	1	8	2010
NS10042X	4	2	-8	-8	7	1	8	2010
NS10042X	5	2	2008	9	6	1	5	2009
NS10042X	6	2	2006	9	5	1	6	2008
NS10042X	7	2	2006	-2	4	1	9	2007
NS10043Y	1	3	2007	6	4	1	9	2007
NS10043Y	2	1	2007	6	4	1	9	2007
NS10043Y	3	3	2007	1	4	1	9	2007
NS10043Y	4	2	2006	9	4	1	9	2007
NS10044Z	1	1	2013	3	8	1	1	2016
NS10044Z	2	1	2013	1	8	1	1	2016
NS10044Z	3	2	2011	10	8	1	1	2016
NS10044Z	4	2	2008	9	8	1	1	2016
NS10044Z	5	2	-7	-7	7	1	5	2010
NS10044Z	6	2	2008	9	6	1	5	2009
NS10044Z	7	2	-5	-1	5	1	6	2008
NS10044Z	8	2	2006	-2	4	1	7	2007
NS10045A	1	4	2013	1	8	1	2	2016
NS10045A	2	5	2009	9	8	1	2	2016
NS10045A	3	5	-8	-8	7	1	6	2010
NS10045A	4	2	-8	-8	7	1	6	2010
NS10045A	5	2	-6	-1	6	1	6	2009
NS10045A	6	2	2006	9	5	1	6	2008
NS10045A	7	5	2006	-2	4	1	8	2007
NS10047C	1	1	2015	9	8	1	2	2016
NS10047C	2	1	2011	9	8	1	2	2016
NS10047C	3	2	2008	9	8	1	2	2016
NS10047C	4	2	-7	-7	7	1	5	2010
NS10047C	5	2	2008	9	6	1	7	2009
NS10047C	6	2	2006	9	5	1	6	2008
NS10047C	7	2	2006	-2	4	1	7	2007
NS10048D	1	6	-8	-8	7	1	5	2010
NS10048D	2	2	-8	-8	7	1	5	2010
NS10048D	3	2	-6	-1	6	1	5	2009
NS10048D	4	2	2006	9	5	1	6	2008
NS10048D	5	2	2006	-2	4	1	8	2007
NS10050P	1	2	-7	-7	7	1	6	2010
NS10050P	2	2	2008	9	6	1	6	2009
