NSID	W1mainres	W1secores	W1histres	W2mainres	W2secores	W2histres	W1motherID	W1fatherID	W2motherID	W2fatherID	W1sampborHS	W1sampbo2HS	W2sampborHS	W2sampbo2HS	W1nurschHS	W1numsch	W1inyrmov	W2numsch	W2inyrmov	W1curparyHS	W1eversepHS	W1expart2HS	W1expart1HS	W1livesepHS	W2curparyHS	W2eversepHS	W2expart2HS	W2expart1HS	W2livesepHS	W1everspf	W1WhenSpf	W1yearsspf	W1Partners	W2everspf	W2WhenSpf	W2yearsspf	W2Partners	SpfBth	mbirthag	birthwb	BirthWa1	BirthWa2	bwtkg	birthw2	birthw3	wksearly	wtcheck	Femps5	Memps5	MRetwrk	MRetptft	W1duruntotMP	W1duruntot5MP	W1duruntot10MP	W1duruntotSP	W1duruntot5SP	W1duruntot10SP	W1duruntotmum	W1duruntot5mum	W1duruntot10mum	W1duruntotdad	W1duruntot5dad	W1duruntot10dad	W2duruntotMP	W2duruntot5MP	W2duruntot10MP	W2duruntotSP	W2duruntot5SP	W2duruntot10SP	W2duruntotmum	W2duruntot5mum	W2duruntot10mum	W2duruntotdad	W2duruntot5dad	W2duruntot10dad
NS23533L	2	3	2	2	3	2	3	2	3	2	2	1	-91	-91	1	2	0	2	0	6	2	1	-91	1	7	2	2	-91	1	-94	8	-94	1	1	8	0	1	0	-91	-91	-91	-91	-91	-91	-91	0	-91	1	-98	-98	-98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS24676Q	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	3	1	3	1	20	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	3	-91	2	12	1.25	2	9	9	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS21482P	2	3	3	3	2	3	3	2	3	2	2	1	-91	-91	2	3	1	3	1	-91	-91	-91	-91	2	-91	-997	-91	-91	2	-93	-93	-93	-93	-93	-93	-93	-93	-93	2	3.5	-91	-91	3.5	-1	-91	0	0	8	10	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS25978V	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	3	0	3	0	19	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	3	-91	8	6	3.8	1	-91	0	0	1	10	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS15856R	2	-98	2	2	-98	2	2	-98	2	-98	2	1	-91	-91	1	3	0	3	0	-91	-91	-91	2	2	-91	-91	-91	2	2	1	0	14	0	1	0	14	0	1	2	-91	6	6	2.89	1	-91	0	0	-98	3	0	1	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98
NS23018R	3	2	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	3	0	3	0	15	2	2	-91	2	-91	2	-91	-91	2	1	0	0	1	1	0	0	1	1	2	-91	8	1	3.66	3	1	0	0	1	10	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS21572X	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	2	0	2	0	20	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	4	-91	8	2	3.69	2	2	2	0	1	10	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS21185L	4	-98	4	4	-98	4	4	-98	4	-98	1	-91	-91	-91	-1	4	1	4	1	-91	-91	-91	-91	1	-91	-91	-91	-91	2	-93	-93	-93	-93	-93	-93	-93	-93	-93	-91	-91	-91	-91	-91	-91	-91	0	-91	-98	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98
NS13972M	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	2	0	2	0	20	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	4	-91	7	-91	3.18	2	1	1	0	1	10	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS20913T	2	3	3	3	2	3	3	2	3	2	2	1	-91	-91	1	3	0	3	0	-91	-91	-91	-91	2	-91	2	-91	-91	2	-93	-93	-93	-93	-93	-93	-93	-93	-93	4	-91	5	5	2.41	1	-91	0	0	11	-94	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-99	-99	-99	0	0	0	-99	-99	-99
NS14531V	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	2	0	2	0	19	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	3	-91	7	2	3.23	1	-91	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS22005Y	2	-98	2	2	-98	2	2	-98	2	-98	1	-91	-91	-91	1	2	0	2	0	-91	-91	-91	2	2	-91	-91	-91	2	2	1	0	14	0	1	0	14	0	1	5	-91	7	8	3.4	1	-91	0	0	-98	1	0	1	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98
NS21112W	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	3	0	3	0	19	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	3	-91	7	12	3.52	1	-91	0	0	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS16745P	2	-98	2	-992	-992	-992	2	-98	-992	-992	2	2	-992	-992	2	2	0	2	0	-91	-91	-91	2	2	-992	-992	-992	-992	-992	1	0	13	0	-992	-992	-992	-992	1	3	-91	7	2	3.23	1	-91	0	0	-98	2	4	2	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992
NS25351K	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	2	0	2	0	20	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	3	-91	7	6	3.35	1	-91	0	0	1	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS24235C	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	3	0	3	0	20	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	4	-91	7	5	3.32	2	2	2	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS16648Q	2	3	2	3	2	2	2	3	2	3	1	-91	-91	-91	1	3	0	3	0	10	2	2	-91	2	-91	2	-91	-91	2	1	0	5	1	1	0	5	1	1	5	-91	4	3	1.9	2	12	12	0	-98	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS19283R	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	2	0	2	0	20	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	5	-91	7	8	3.4	1	-91	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS10140X	2	-98	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	3	0	3	0	3	2	1	-91	2	-91	2	-91	-91	2	-94	0	-94	3	-94	0	-94	3	1	4	-91	6	2	2.78	1	-91	0	0	-98	1	0	1	0	0	0	-98	-98	-98	0	0	0	-94	-94	-94	0	0	0	-94	-94	-94	0	0	0	-94	-94	-94
NS14296L	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	3	1	3	1	17	1	2	-91	1	-91	2	-91	-91	2	1	-91	0	-91	1	-91	0	-91	0	2	-91	7	2	3.23	2	1	1	0	9	10	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS17932R	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	2	0	3	0	18	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	4	-91	6	14	3.12	2	2	2	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS24111G	-999	-999	-999	2	3	2	-999	-999	2	3	1	-91	-91	-91	1	2	0	2	0	-91	-91	-91	-997	2	-91	-91	-91	-92	1	-94	-94	-94	-94	-94	-94	-94	-94	-94	-91	-91	7	0	3.18	2	1	1	0	-98	2	0	1	0	0	0	0	0	0	-999	-999	-999	-999	-999	-999	0	0	0	-94	-94	-94	0	0	0	-94	-94	-94
NS13683B	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	3	0	3	0	20	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	4	-91	7	9	3.43	1	-91	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS15760C	2	-98	2	-992	-992	-992	2	-98	-992	-992	1	-91	-992	-992	1	-99	-99	-99	-99	-91	-91	-91	-91	-92	-992	-992	-992	-992	-992	-93	-93	-93	-93	-992	-992	-992	-992	-93	3	-91	-91	-91	-91	2	-1	-1	-91	-98	-94	-91	0	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992
NS19170R	2	-98	2	2	-98	2	2	-98	2	-98	1	-91	-91	-91	1	2	0	2	0	-91	-91	-91	2	2	-91	-91	-91	2	2	1	0	14	0	1	0	14	0	1	4	-91	8	10	3.91	1	-91	0	0	-98	2	0	2	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98
NS14332R	2	-98	2	2	-98	2	2	-98	2	-98	1	-91	-91	-91	1	2	0	2	0	-91	-91	-91	1	2	-91	-91	-91	2	2	1	10	4	0	1	10	5	0	0	3	-91	9	3	4.17	3	2	0	0	-98	10	1	2	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98
NS21616L	2	3	2	2	3	2	2	3	2	3	2	1	-91	-91	2	3	0	3	0	-92	2	2	-91	2	-91	2	-91	-91	2	-94	-94	-94	-94	-94	-94	-94	-94	-94	2	-91	6	0	2.72	3	2	0	0	1	10	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-99	-99	-99	0	0	0	-99	-99	-99
NS24668Y	4	3	3	3	4	3	3	4	3	4	1	-91	-91	-91	1	3	1	3	1	20	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	4	-91	6	4	2.83	1	-91	0	0	1	10	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS12451Q	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	2	3	0	3	0	20	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	3	-91	8	13	4	1	-91	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS21318G	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	2	0	2	0	11	2	2	-91	2	-91	2	-91	-91	2	1	0	5	1	1	0	5	1	1	3	-91	5	0	2.27	2	2	2	0	1	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS16591D	2	3	2	-992	-992	-992	2	3	-992	-992	1	-91	-992	-992	2	2	0	2	0	19	2	2	-91	2	-992	-992	-992	-992	-992	0	-91	0	-91	-992	-992	-992	-992	0	3	-91	7	2	3.23	2	2	2	0	1	-94	6	2	0	0	0	0	0	0	0	0	0	0	0	0	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992
NS16391Z	2	3	3	2	3	3	3	2	3	2	1	-91	-91	-91	2	3	0	3	0	-91	-91	-91	-997	-1	2	1	2	-91	2	-94	-94	-94	-94	0	-91	0	-91	-94	1	-91	7	14	3.57	1	-91	0	0	8	10	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS21844X	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	3	0	3	0	20	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	4	-91	7	3	3.26	2	2	2	0	1	10	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS21757S	2	3	3	2	3	3	3	2	3	2	1	-91	-91	-91	1	2	0	2	0	18	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	3	-91	6	12	3.06	1	-91	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS19771F	2	-98	2	2	-98	2	2	-98	2	-98	1	-91	-91	-91	1	2	0	2	0	-91	-91	-91	2	2	-91	-91	-91	2	2	1	0	14	0	1	0	14	0	1	3	-91	-1	-91	-1	1	-91	0	-91	-98	10	-91	0	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98
NS15815M	2	3	2	3	-98	-997	2	3	2	3	1	-91	-91	-91	1	2	0	2	0	16	2	2	-91	2	-91	-91	-91	1	2	0	-91	0	-91	1	14	1	0	0	2	-91	5	8	2.49	2	3	3	0	1	10	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-98	-98	-98	-94	-94	-94	0	0	0
NS10318B	2	-98	2	2	-98	2	-98	-98	-98	-98	1	-91	-91	-91	2	2	0	2	0	-91	-91	-91	-91	2	-91	-91	-91	-91	2	-93	-93	-93	-93	-93	-93	-93	-93	-93	-91	-91	-91	-91	-91	-91	-91	0	-91	-98	-98	-98	-98	0	0	0	-98	-98	-98	-98	-98	-98	-98	-98	-98	0	0	0	-98	-98	-98	-98	-98	-98	-98	-98	-98
NS22311V	2	-98	2	-992	-992	-992	2	-98	-992	-992	1	-91	-992	-992	1	2	0	2	0	-91	-91	-91	-91	2	-992	-992	-992	-992	-992	-93	-93	-93	-93	-992	-992	-992	-992	-93	4	-91	7	10	3.46	3	1	0	0	-98	10	-91	0	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992
NS10110N	2	3	3	2	3	3	2	3	2	3	1	-91	-91	-91	2	4	1	4	1	12	2	2	-91	2	-91	2	-91	-91	2	-94	0	-94	1	-94	0	-94	1	1	-91	-91	-91	-91	-91	-91	-91	0	-91	-94	-98	-98	-98	0	0	0	-94	-94	-94	0	0	0	-94	-94	-94	0	0	0	-94	-94	-94	0	0	0	-94	-94	-94
NS13150D	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	2	0	2	0	20	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	4	-91	8	0	3.63	1	-91	0	0	1	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS18866Y	2	3	2	2	3	2	3	2	3	2	1	-91	-91	-91	1	2	0	2	0	9	2	2	-91	1	18	2	2	-91	2	-94	0	-94	1	-94	0	-94	1	1	-91	-91	-91	-91	-91	-91	-91	0	-91	1	-98	-98	-98	0	0	0	-99	-99	-99	-99	-99	-99	0	0	0	0	0	0	-99	-99	-99	-99	-99	-99	0	0	0
NS13695Y	2	-98	2	-992	-992	-992	2	-98	-992	-992	1	-91	-992	-992	1	3	0	3	0	-91	-91	-91	2	2	-992	-992	-992	-992	-992	1	0	14	0	-992	-992	-992	-992	1	4	-91	6	1	2.75	1	-91	0	0	-98	10	10	1	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992
NS24481A	2	-98	2	2	3	2	-98	-98	-98	-98	2	1	-91	-91	2	2	0	2	0	-91	-91	-91	-91	-997	-91	-91	-91	-91	1	-93	-93	-93	-93	-93	-93	-93	-93	-93	-91	-91	-91	-91	-91	-91	-91	0	-91	-98	-98	-98	-98	0	0	0	-98	-98	-98	-98	-98	-98	-98	-98	-98	0	0	0	-94	-94	-94	-98	-98	-98	-98	-98	-98
NS25356Q	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	2	2	0	2	0	17	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	5	-91	7	6	3.35	3	1	0	0	1	3	0	1	0	0	0	-94	-94	-94	0	0	0	-94	-94	-94	0	0	0	-94	-94	-94	0	0	0	-94	-94	-94
NS24945M	2	3	3	3	2	3	3	2	3	2	1	-91	-91	-91	1	2	0	2	0	19	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	2	-91	6	-1	2.72	1	-91	0	0	1	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS12126F	2	3	3	3	2	3	3	2	3	2	1	-91	-91	-91	1	3	0	3	0	20	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	4	-91	5	13	2.64	1	-91	0	0	2	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS15865K	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	3	0	3	0	20	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	3	-91	7	13	3.54	1	-91	0	0	1	2	-94	-94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS19142K	2	-98	2	2	-98	2	2	-98	2	-98	2	1	-91	-91	1	3	0	3	0	-91	-91	-91	2	2	-91	-91	-91	2	2	1	0	14	0	1	0	14	0	1	4	-91	7	7	3.37	1	-91	0	0	-98	10	2	1	-94	-94	-94	-98	-98	-98	-94	-94	-94	-98	-98	-98	-94	-94	-94	-98	-98	-98	-94	-94	-94	-98	-98	-98
NS11100P	2	3	3	3	2	3	3	2	3	2	1	-91	-91	-91	1	4	0	4	0	16	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	3	-91	5	5	2.41	1	-91	0	0	3	10	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS19576G	2	3	3	3	2	3	3	2	3	2	1	-91	-91	-91	1	3	0	3	0	16	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	5	-91	7	7	3.37	2	1	1	0	1	10	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS16982T	2	3	2	-992	-992	-992	2	3	-992	-992	1	-91	-992	-992	1	3	0	3	0	19	2	2	-91	2	-992	-992	-992	-992	-992	0	-91	0	-91	-992	-992	-992	-992	0	2	-91	9	1	4.11	3	2	0	0	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992
NS17615Z	2	-98	2	2	-98	2	-98	2	-98	2	1	-91	-91	-91	1	3	0	3	0	-91	-91	-91	1	2	-91	-91	-91	1	2	1	6	8	0	1	6	-94	1	0	-91	-91	-91	-91	-91	-91	-91	0	-91	1	-98	-98	-98	0	0	0	-98	-98	-98	-98	-98	-98	0	0	0	0	0	0	-98	-98	-98	-98	-98	-98	0	0	0
NS22049F	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	2	0	2	0	-92	2	-92	-91	2	-91	2	-91	-91	2	-94	-94	-94	-94	-94	-94	-94	-94	-94	2	-91	-1	-1	-1	1	-91	0	-91	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS11748P	2	-98	2	-992	-992	-992	2	-98	-992	-992	1	-91	-992	-992	1	3	2	3	2	-91	-91	-91	1	2	-992	-992	-992	-992	-992	-94	0	-94	1	-992	-992	-992	-992	1	5	-91	8	3	3.71	3	2	0	0	-98	1	0	1	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992
NS25984K	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	2	0	2	0	20	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	4	-91	6	14	3.12	1	-91	0	0	1	10	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS25876Q	2	-98	2	2	-98	2	2	-98	2	-98	1	-91	-91	-91	1	2	0	2	0	-91	-91	-91	1	2	-91	-91	-91	2	2	-94	7	-94	0	1	7	9	0	0	2	-91	8	9	3.88	3	1	0	0	-98	6	5	1	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98
NS14594Q	2	3	3	-992	-992	-992	3	2	-992	-992	1	-91	-992	-992	1	2	0	2	0	16	2	2	-91	2	-992	-992	-992	-992	-992	0	-91	0	-91	-992	-992	-992	-992	0	2	-91	4	8	2.04	2	4	4	0	5	10	-91	0	106	0	57	0	0	0	0	0	0	106	0	57	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992
NS16348J	3	2	2	2	3	2	2	3	2	3	2	1	-91	-91	1	2	2	2	2	20	1	2	-91	2	-91	2	-91	-91	2	1	-91	0	-91	1	-91	0	-91	0	3	3.5	-91	-91	3.5	1	-91	0	0	1	10	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS15434R	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	2	0	2	0	20	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	2	-91	7	0	3.18	1	-91	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS24079F	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	3	0	3	0	-91	-91	-91	-91	-1	-91	-997	-91	-91	2	-93	-93	-93	-93	-93	-93	-93	-93	-93	2	-91	5	0	2.27	2	6	6	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS18918E	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	2	0	2	0	16	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	2	-91	7	8	3.4	1	-91	0	0	3	10	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS17106V	2	4	2	2	4	2	2	4	2	4	1	-91	-91	-91	1	3	0	3	0	20	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	3	-91	8	4	3.74	3	3	0	0	1	2	0	2	0	0	0	18	5	18	0	0	0	18	5	18	0	0	0	18	0	18	0	0	0	18	0	18
NS24593Z	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	2	0	2	0	20	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	3	-91	7	4	3.29	2	2	2	0	3	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS14736E	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	2	0	2	0	17	1	2	-91	2	-91	2	-91	-91	2	1	-91	0	-91	1	-91	0	-91	0	3	-91	9	6	4.25	1	-91	0	0	1	10	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-99	-99	-99	0	0	0	-99	-99	-99
NS19361C	2	3	2	-992	-992	-992	2	3	-992	-992	1	-91	-992	-992	1	3	0	3	0	20	2	2	-91	2	-992	-992	-992	-992	-992	0	-91	0	-91	-992	-992	-992	-992	0	4	-91	7	1	3.2	1	-91	0	0	1	10	5	1	0	0	0	0	0	0	0	0	0	0	0	0	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992
NS11469Y	2	-98	2	-992	-992	-992	2	-98	-992	-992	1	-91	-992	-992	1	2	0	2	0	-91	-91	-91	1	2	-992	-992	-992	-992	-992	0	0	0	2	-992	-992	-992	-992	1	4	-91	7	13	3.54	2	7	7	0	-98	1	3	1	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992
NS14441M	2	-98	2	2	-98	2	2	-98	2	-98	1	-91	-91	-91	1	2	0	2	0	-91	-91	-91	2	2	-91	-91	-91	2	2	1	0	14	0	1	0	14	0	1	5	-91	7	3	3.26	1	-91	0	0	-98	1	0	1	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98
NS22299H	2	3	3	2	3	3	3	2	3	2	2	1	-91	-91	1	2	0	2	0	-91	-91	-91	-91	2	-91	-997	-91	-91	2	-93	-93	-93	-93	-93	-93	-93	-93	-93	4	-91	6	15	3.15	1	-91	0	0	1	10	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS15524Z	2	-98	2	2	-98	2	2	-98	2	-98	1	-91	-91	-91	2	3	0	3	0	-91	-91	-91	2	2	-91	-91	-91	2	2	1	0	14	0	1	0	14	0	1	5	-91	7	12	3.52	1	-91	0	0	-98	2	2	2	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98
NS24515V	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	2	0	2	0	6	1	2	-91	2	-91	1	2	-91	2	1	0	9	1	1	0	9	1	1	1	-91	7	14	3.57	3	2	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS15861F	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	2	0	2	0	20	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	4	-91	7	3	3.26	2	2	2	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS20483V	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	2	0	2	0	8	2	1	-91	2	-91	2	-91	-91	2	1	0	2	2	1	0	2	2	1	1	-91	7	6	3.35	3	2	0	0	-98	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS13922P	2	3	2	-992	-992	-992	2	3	-992	-992	1	-91	-992	-992	2	3	2	3	2	20	2	2	-91	2	-992	-992	-992	-992	-992	0	-91	0	-91	-992	-992	-992	-992	0	4	-91	7	0	3.18	3	1	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992
