NSID	W1mainres	W1secores	W1histres	W2mainres	W2secores	W2histres	W1motherID	W1fatherID	W2motherID	W2fatherID	W1sampborHS	W1sampbo2HS	W2sampborHS	W2sampbo2HS	W1nurschHS	W1numsch	W1inyrmov	W2numsch	W2inyrmov	W1curparyHS	W1eversepHS	W1expart2HS	W1expart1HS	W1livesepHS	W2curparyHS	W2eversepHS	W2expart2HS	W2expart1HS	W2livesepHS	W1everspf	W1WhenSpf	W1yearsspf	W1Partners	W2everspf	W2WhenSpf	W2yearsspf	W2Partners	SpfBth	mbirthag	birthwb	BirthWa1	BirthWa2	bwtkg	birthw2	birthw3	wksearly	wtcheck	Femps5	Memps5	MRetwrk	MRetptft	W1duruntotMP	W1duruntot5MP	W1duruntot10MP	W1duruntotSP	W1duruntot5SP	W1duruntot10SP	W1duruntotmum	W1duruntot5mum	W1duruntot10mum	W1duruntotdad	W1duruntot5dad	W1duruntot10dad	W2duruntotMP	W2duruntot5MP	W2duruntot10MP	W2duruntotSP	W2duruntot5SP	W2duruntot10SP	W2duruntotmum	W2duruntot5mum	W2duruntot10mum	W2duruntotdad	W2duruntot5dad	W2duruntot10dad
NS19633C	2	-98	2	-992	-992	-992	2	-98	-992	-992	1	-91	-992	-992	2	2	0	2	0	-91	-91	-91	1	2	-992	-992	-992	-992	-992	-94	1	-94	2	-992	-992	-992	-992	0	2	-91	9	9	4.34	3	2	0	0	-98	10	7	2	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992
NS24965B	3	-98	3	3	-98	3	3	-98	3	-98	1	-91	-91	-91	1	2	0	2	0	-91	-91	-91	1	2	-91	-91	-91	2	2	1	13	0	0	1	13	1	0	0	3	-91	5	7	2.47	3	2	0	0	-98	-91	-94	-94	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98
NS25713S	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	2	2	0	3	0	17	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	5	-91	6	13	3.09	1	-91	0	0	3	10	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS15588W	2	-98	2	2	-98	2	-98	-98	-98	-98	1	-91	-91	-91	1	3	0	3	0	-91	-91	-91	-91	2	-91	-91	-91	-91	2	-93	-93	-93	-93	-93	-93	-93	-93	-93	-91	-91	-91	-91	-91	-91	-91	0	-91	-98	-98	-98	-98	0	0	0	-98	-98	-98	-98	-98	-98	-98	-98	-98	0	0	0	-98	-98	-98	-98	-98	-98	-98	-98	-98
NS26066Z	2	-98	2	2	-98	2	2	-98	2	-98	1	-91	-91	-91	2	2	0	2	0	-91	-91	-91	2	2	-91	-91	-91	2	2	1	0	14	0	1	0	14	0	1	4	-91	9	1	4.11	3	2	0	0	-98	10	10	1	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98
NS23696J	2	-98	2	-992	-992	-992	2	-98	-992	-992	1	-91	-992	-992	1	3	0	3	0	-91	-91	-91	1	2	-992	-992	-992	-992	-992	1	0	3	1	-992	-992	-992	-992	1	1	-91	6	13	3.09	1	-91	0	0	-98	4	3	2	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992
NS16585N	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	2	0	2	0	15	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	5	-91	8	-91	3.63	1	-91	0	0	-98	10	12	2	0	0	0	-99	-99	-99	0	0	0	-99	-99	-99	0	0	0	-99	-99	-99	0	0	0	-99	-99	-99
NS12252M	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	3	0	3	0	6	2	2	-91	2	-91	2	-91	-91	2	1	0	9	1	1	0	9	1	1	2	-91	6	12	3.06	1	-91	0	0	-98	10	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS13073T	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	4	1	4	1	5	2	1	-91	2	-91	2	-91	-91	2	1	7	3	1	1	7	3	1	0	4	-91	7	10	3.46	3	2	0	0	-98	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS10643L	2	-98	2	5	-98	5	-98	-98	-98	5	1	-91	-91	-91	1	2	0	2	0	-91	-91	-91	-91	1	-91	-91	-91	2	2	-93	-93	-93	-93	-93	-93	-93	-93	-93	-91	-91	-91	-91	-91	-91	-91	0	-91	-98	-98	-98	-98	0	0	0	-98	-98	-98	-98	-98	-98	-98	-98	-98	-94	-94	-94	-98	-98	-98	-98	-98	-98	-94	-94	-94
