NSID	SAMPPSU	SAMPSTRATUM	DESIGNWEIGHT	MAINBOOST	W1OUTCOME	W1FINWT	W2OUTCOME	W2FINWT	W3OUTCOME	W3FINWT	W2TOW3NRWT	W4OUTCOME	W4WEIGHT_MAIN_BOOST	W4WEIGHT_MAIN	W5OUTCOME	W5FINWT_CROSS	W6OUTCOME	W6FINWT_CROSS	W6LSYPEWT	W6LSYPEW4WT	W7OUTCOME	W7_LSYPE_WT	W7FINWT	W7_LSYPE_WT_SKIPONLY	W8OUTCOME	W8FINWT	W9OUTCOME	W9FINWT	DATA_AVAILABILITY
NS14695T	12025	120	1.366287179763	1	1	1.3	1	1.19	1	1.13	.95	1	1.1639	1.1266	1	1.14	1	1.07	1.07	-1	1	1.24495	1.24452	-1	1	.99	1	.91	1
NS14696V	13506	135	.280712770552	1	1	.29	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	.29	2	-1	1
NS14697W	13709	137	.910858119842	1	1	1.25	1	1.28	1	1.47	1.15	1	1.4237	1.4057	1	1.34	1	1.35	1.35	-1	1	1.27837	1.27792	-1	2	-1	1	1.17	1
NS14698X	12509	125	1.366287179763	1	1	1.35	1	1.34	1	1.89	1.41	1	2.3482	2.2771	1	2.73	1	2.84	2.84	-1	1	2.58443	2.58353	-1	1	2.51	1	2.99	1
NS14699Y	12501	125	1.366287179763	1	1	1.46	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	1
NS14700P	11046	110	.365572593787	1	1	.43	1	.47	1	.63	1.34	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	1
NS14701Q	11745	117	1.366287179763	1	1	1.27	1	1.22	1	1.22	.99	1	1.1322	1.1035	1	1.06	1	1	1	-1	1	.9261	.92578	-1	1	.72	1	.68	1
NS14702R	11422	114	1.366287179763	1	1	1.21	1	1.16	1	1.11	.95	1	1.0656	1.0323	1	1.33	1	1.61	1.61	-1	1	1.52078	1.52025	-1	1	1.88	1	1.73	1
NS14703S	12317	123	.370173169348	1	1	.36	1	.36	1	.35	.97	1	.4119	.3983	1	.4	1	.39	.39	-1	3	-1	-1	-1	6	-1	1	.3	1
NS14704T	11906	119	.370173169348	1	1	.32	1	.31	1	.31	.98	1	.2983	.2894	1	.28	1	.27	.27	-1	3	-1	-1	-1	1	.49	1	.48	1
NS14705V	11421	114	1.366287179763	1	1	1.28	1	1.48	1	1.43	.97	1	1.474	1.4279	1	1.6	3	-1	-1	-1	-1	-1	-1	-1	1	2.11	1	2.64	1
NS14706W	11405	114	1.366287179763	1	1	1.21	1	1.14	1	1.09	.95	1	1.0721	1.0385	1	1.03	1	1	1	-1	1	.91272	.9124	-1	1	.97	1	.92	1
NS14707X	12819	128	.151981943324	1	1	.19	1	.26	1	.28	1.05	1	.2775	.2717	1	.28	1	.3	.3	-1	1	.30626	.30616	-1	2	-1	1	.26	1
NS14708Y	12013	120	1.366287179763	1	1	1.3	1	1.2	1	1.15	.96	1	1.1913	1.1531	1	1.16	3	-1	-1	-1	-1	-1	-1	-1	5	-1	2	-1	1
NS14709Z	12804	128	.197368420484	1	1	.27	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	5	-1	1
NS14710J	10406	104	1.366287179763	1	1	1.14	1	1.04	1	.98	.94	1	1.0763	1.0425	1	1.07	1	1.07	1.07	-1	1	1.02507	1.02471	-1	1	1.52	1	1.46	1
NS14711K	11420	114	1.366287179763	1	1	1.21	1	1.13	1	1.09	.97	1	1.0337	1.0013	1	.99	1	.94	.94	-1	1	.92528	.92496	-1	2	-1	1	.82	1
NS14712L	12036	120	1.366287179763	1	1	1.3	1	1.2	1	1.15	.96	1	1.1907	1.1525	1	1.16	1	1.1	1.1	-1	1	1.08965	1.08927	-1	1	.95	1	.89	1
NS14713M	11802	118	.370173169348	1	1	.32	1	.3	1	.29	.96	1	.2532	.2456	1	.24	1	.23	.23	-1	1	.20874	.20866	-1	2	-1	1	.24	1
NS14714N	12911	129	.197368486216	1	1	.27	1	.31	1	.34	1.1	1	.2659	.3397	1	.27	1	.28	.28	-1	1	.28197	.28187	-1	1	.39	3	-1	1
NS14715P	12527	125	.296052729324	1	1	.28	1	.26	1	.29	1.11	1	.2615	.2634	1	.26	3	-1	-1	-1	-1	-1	-1	-1	6	-1	1	.21	1
NS14716Q	10805	108	1.366287179763	1	1	1.31	1	1.32	1	1.3	.98	1	1.3339	1.2923	1	1.24	1	1.16	1.16	-1	1	1.09158	1.0912	-1	1	.96	1	.86	1
NS14717R	12824	128	.151981917338	1	1	.2	1	.21	1	.21	1.01	1	.1601	.2047	1	.16	1	.16	.16	-1	1	.17488	.17482	-1	1	.23	2	-1	1
NS14718S	656	48	-1	2	-1	-1	-1	-1	-1	-1	-1	1	.2679	0	3	-1	5	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	1
NS14719T	11016	110	1.366287179763	1	1	1.64	1	1.63	1	1.66	1.01	1	1.7465	1.7244	1	1.65	1	1.59	1.59	-1	2	-1	-1	-1	2	-1	6	-1	1
NS14720D	12004	120	1.366287179763	1	1	1.3	1	1.19	1	1.14	.96	1	1.2248	1.1855	1	1.28	1	1.2	1.2	-1	1	1.22102	1.22059	-1	5	-1	1	1.16	1
NS14721E	11311	113	1.366287179763	1	1	1.39	1	1.39	1	1.64	1.17	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	2	-1	1
NS14722F	12320	123	1.366287179763	1	1	1.3	1	1.2	1	1.18	.98	1	1.2012	1.1639	1	1.14	1	1.15	1.15	-1	1	1.29391	1.29346	-1	1	1.28	1	1.25	1
NS14723G	11044	110	1.366287179763	1	1	1.48	1	1.4	1	1.41	1.01	1	1.3496	1.3332	1	1.26	1	1.22	1.22	-1	1	1.28873	1.28828	-1	6	-1	5	-1	1
NS14724H	11433	114	1.366287179763	1	1	1.28	1	1.3	1	1.31	1	1	1.264	1.2245	1	1.21	1	1.22	1.22	-1	1	1.1554	1.155	-1	1	1.27	1	1.37	1
NS14725J	11410	114	.370173169348	1	1	.32	1	.34	1	.33	.97	1	.3301	.3189	1	.33	1	.4	.4	-1	1	.46285	.46269	-1	6	-1	1	.5	1
NS14726K	12541	125	1.366287179763	1	1	1.24	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	1	1.18	1
NS14727L	12315	123	.370173169348	1	1	.33	1	.34	1	.34	1	1	.3386	.3265	1	.32	1	.3	.3	-1	1	.2725	.27241	-1	1	.23	3	-1	1
NS14728M	10428	104	1.366287179763	1	1	1.21	1	1.15	1	1.11	.97	1	1.2809	1.2407	1	1.3	3	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	1
NS14729N	10421	104	1.366287179763	1	1	1.3	1	1.37	1	1.31	.96	1	1.3698	1.32	1	1.37	3	-1	-1	-1	-1	-1	-1	-1	6	-1	3	-1	1
NS14730Y	11034	110	1.366287179763	1	1	1.6	1	1.72	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1.9	1	2.41	1
NS14731Z	13803	138	.151981943324	1	1	.16	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	.21	1	.25	1
NS14732A	10846	108	1.366287179763	1	1	1.27	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	2	-1	1
NS14733B	10904	109	.294685360398	1	1	.35	1	.54	1	.77	1.43	1	.7457	.9536	1	.81	2	-1	-1	-1	-1	-1	-1	-1	6	-1	2	-1	1
NS14734C	13505	135	.151981943324	1	1	.16	1	.15	1	.15	.95	1	.2402	.2309	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	2	-1	1
NS14735D	13105	131	.196456906932	1	1	.33	1	.46	1	.47	1.01	1	.5012	.5043	3	-1	3	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	1
NS14736E	10202	102	1.078313965451	1	1	2.06	1	2.36	1	2.37	1	1	1.79	1.8272	1	1.89	1	1.83	1.83	-1	1	1.74174	1.74113	-1	4	-1	1	1.55	1
NS14737F	12523	125	1.366287179763	1	1	1.24	1	1.76	1	1.68	.95	1	1.7048	1.6539	1	1.64	1	1.91	1.91	-1	1	1.9571	1.95642	-1	1	2.24	1	2.22	1
NS14738G	11428	114	1.366287179763	1	1	1.25	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	1	.93	1
NS14739H	13515	135	.910858119842	1	1	.99	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	5	-1	1
NS14740S	12540	125	1.366287179763	1	1	1.24	1	1.14	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	6	-1	1
NS14741T	11046	110	.296052729324	1	1	.38	1	.39	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	5	-1	1
NS14742V	11602	116	1.366287179763	1	1	1.21	1	1.13	1	1.08	.95	1	1.0217	.9897	1	.98	1	1.01	1.01	-1	1	.94616	.94583	-1	1	.84	5	-1	1
NS14743W	11319	113	1.366287179763	1	1	1.21	1	1.12	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	2	-1	1
NS14744X	12812	128	.196456906932	1	1	.3	1	.35	1	.38	1.1	1	.3786	.4844	1	.41	1	.42	.42	-1	3	-1	-1	-1	6	-1	1	.26	1
NS14745Y	12003	120	1.366287179763	1	1	1.18	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	5	-1	1
NS14746Z	11728	117	.421069155828	1	1	.38	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	1	.43	1
NS14747A	12808	128	.243715062525	1	1	.32	1	.33	1	.36	1.09	1	.3639	.3595	1	.34	1	.34	.34	-1	1	.35915	.35903	-1	5	-1	5	-1	1
NS14748B	10401	104	1.366287179763	1	1	1.21	1	1.16	1	1.19	1.02	1	1.4471	1.4017	1	1.87	1	2.27	2.27	-1	1	2.58443	2.58353	-1	1	3.5	1	3.62	1
NS14749C	11719	117	1.366287179763	1	1	1.31	1	1.29	1	1.44	1.11	1	1.408	1.3717	1	1.47	1	1.71	1.71	-1	1	1.98959	1.9889	-1	1	1.89	1	2.11	1
NS14750M	13122	131	.280712770552	1	1	.26	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	.26	1	.27	1
NS14751N	13101	131	.910858119842	1	1	.91	1	.86	1	.83	.96	1	.8003	.7749	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
NS14752P	11013	110	.294685360398	1	1	.4	1	.41	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	5	-1	1
NS14753Q	12341	123	1.366287179763	1	1	1.4	1	1.37	1	1.38	1.01	1	1.6455	1.5944	5	-1	5	-1	-1	-1	-1	-1	-1	-1	6	-1	2	-1	1
NS14754R	12521	125	.421069155828	1	1	.4	1	.38	1	.37	.97	1	.4036	.3904	1	.44	1	.44	.44	-1	1	.46622	.46606	-1	2	-1	2	-1	1
NS14755S	11205	112	1.366287179763	1	1	1.52	1	1.43	1	1.4	.97	1	1.3142	1.2976	1	1.24	1	1.15	1.15	-1	1	1.0601	1.05973	-1	1	.77	1	.72	1
NS14756T	11717	117	1.366287179763	1	1	1.23	1	1.15	1	1.13	.97	1	1.0436	1.0167	1	.99	1	.96	.96	-1	1	.96607	.96573	-1	5	-1	5	-1	1
NS14757V	11802	118	1.366287179763	1	1	1.23	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	1
NS14758W	10851	108	1.366287179763	1	1	1.23	1	1.14	1	1.1	.96	1	1.1131	1.0783	1	1.03	1	.95	.95	-1	1	.87373	.87343	-1	1	.57	1	.51	1
NS14759X	12816	128	.910858119842	1	1	1.26	1	1.37	1	1.42	1.03	1	1.3768	1.3595	1	1.4	1	1.66	1.66	-1	2	-1	-1	-1	1	1.56	1	1.57	1
NS14760G	12514	125	.365572593787	1	1	.41	1	.43	1	.51	1.17	1	.6134	.6182	1	.8	5	-1	-1	-1	-1	-1	-1	-1	5	-1	6	-1	1
NS14761H	13410	134	.196456906932	1	1	.43	1	.58	1	.79	1.35	1	.9662	1.2131	1	1.37	2	-1	-1	-1	-1	-1	-1	-1	2	-1	5	-1	1
NS14762J	13710	137	.280712770552	1	1	.3	1	.3	1	.3	1.02	1	.2993	.2948	1	.29	1	.27	.27	-1	1	.27061	.27051	-1	5	-1	2	-1	1
NS14763K	12816	128	.196456906932	1	1	.3	1	.34	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	1	.27	1
NS14764L	12341	123	1.366287179763	1	1	1.34	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	6	-1	1
NS14765M	11728	117	.421069155828	1	1	.41	1	.4	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	5	-1	1
NS14766N	12546	125	1.366287179763	1	1	1.24	1	1.12	1	1.07	.95	1	1.0638	1.032	1	1.02	1	.95	.95	-1	1	.87886	.87855	-1	1	.68	1	.63	1
NS14767P	12540	125	1.366287179763	1	1	1.27	1	1.17	1	1.12	.95	1	1.1354	1.101	1	1.17	1	1.37	1.37	-1	1	1.50072	1.50019	-1	1	1.53	1	1.34	1
NS14768Q	12825	128	.196456906932	1	1	.33	1	.48	5	-1	-1	1	.0386	.0494	5	-1	5	-1	-1	-1	-1	-1	-1	-1	1	.05	5	-1	1
NS14769R	12351	123	1.366287179763	1	1	1.3	1	1.2	1	1.21	1.01	1	1.2091	1.1716	1	1.15	1	1.15	1.15	-1	1	1.18514	1.18473	-1	3	-1	2	-1	1
NS14770B	11044	110	1.366287179763	1	1	1.65	1	1.69	1	1.68	.99	1	1.6181	1.5976	1	1.63	1	1.93	1.93	-1	2	-1	-1	-1	1	2.36	1	2.78	1
NS14771C	11312	113	1.366287179763	1	1	1.18	1	1.24	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	1
NS14772D	11406	114	1.366287179763	1	1	1.18	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1.34	1	1.71	1
NS14773E	11424	114	1.366287179763	1	1	1.25	1	1.18	1	1.14	.97	1	1.1169	1.0814	1	1.08	1	1.02	1.02	-1	1	.98499	.98465	-1	6	-1	1	1.09	1
NS14774F	11307	113	1.366287179763	1	1	1.25	1	1.15	1	1.18	1.02	1	1.3282	1.288	1	1.38	1	1.44	1.44	-1	1	1.58358	1.58302	-1	5	-1	5	-1	1
NS14775G	11803	118	1.366287179763	1	1	1.2	1	1.09	1	1.04	.95	1	.9633	.9389	1	.9	1	1.05	1.05	-1	1	1.11763	1.11724	-1	1	1.76	2	-1	1
NS14776H	10905	109	.296052729324	1	1	.36	1	.36	1	.36	1.01	1	.2796	.3573	1	.28	1	.26	.26	-1	1	.25993	.25984	-1	1	.26	1	.26	1
NS14777J	12319	123	1.366287179763	1	1	1.27	1	1.19	1	1.19	1	1	1.2038	1.167	3	-1	2	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	1
NS14778K	13403	134	.280712770552	1	1	.3	1	.32	1	.34	1.05	1	.4517	.4367	1	.44	1	.53	.53	-1	1	.57122	.57102	-1	5	-1	5	-1	1
NS14779L	11304	113	1.366287179763	1	1	1.25	1	1.2	1	1.18	.98	1	1.3268	1.2866	1	1.35	5	-1	-1	-1	-1	-1	-1	-1	1	2.26	1	2.23	1
NS14780W	12519	125	1.366287179763	1	1	1.35	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	2	-1	1
NS14781X	12355	123	1.366287179763	1	1	1.4	1	1.39	1	1.37	.98	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1.34	1	1.24	1
NS14782Y	11307	113	1.366287179763	1	1	1.25	1	1.21	1	1.73	1.43	1	2.3757	2.3027	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	1	1.05	1
NS14783Z	11715	117	1.366287179763	1	1	1.31	1	1.24	1	1.28	1.03	1	1.3351	1.3007	1	1.26	1	1.26	1.26	-1	1	1.18892	1.1885	-1	1	1.18	1	1.17	1
NS14784A	11901	119	.365572593787	1	1	.38	1	.35	1	.34	.96	1	.3162	.3081	1	.3	1	.28	.28	-1	1	.29973	.29963	-1	1	.26	1	.26	1
NS14785B	12328	123	.370173169348	1	1	.32	1	.3	1	.3	.98	1	.3009	.2903	1	.28	1	.28	.28	-1	1	.26311	.26302	-1	1	.3	1	.33	1
NS14786C	11812	118	1.366287179763	1	1	1.27	1	1.22	1	1.18	.96	1	1.2446	1.2131	1	1.52	1	1.84	1.84	-1	1	2.25281	2.25203	-1	1	3.21	2	-1	1
NS14787D	11701	117	.365572593787	1	1	.38	1	.36	1	.36	1.02	1	.3046	.3083	1	.3	1	.28	.28	-1	1	.2596	.25951	-1	5	-1	1	.24	1
NS14788E	12819	128	.151981943324	1	1	.16	1	.16	1	.16	.99	1	.1658	.1623	3	-1	3	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	1
NS14789F	10311	103	1.119202413876	1	1	2.1	1	2.05	1	2.17	1.05	1	1.9456	1.8751	1	2.03	1	2.02	2.02	-1	1	1.91225	1.91158	-1	1	1.33	1	1.19	1
NS14790Q	11436	114	1.366287179763	1	1	1.32	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	1
NS14791R	12316	123	1.366287179763	1	1	1.4	1	1.39	1	1.51	1.08	1	1.56	1.5116	1	1.63	1	1.7	1.7	-1	1	1.81509	1.81446	-1	2	-1	-1	-1	1
NS14792S	11452	114	1.366287179763	1	1	1.21	1	1.14	1	1.07	.94	1	1.009	.9775	1	.97	1	.92	.92	-1	1	.86193	.86163	-1	-1	-1	3	-1	1
NS14793T	10203	102	1.280283882789	1	1	2.04	1	2.12	1	2.12	1	1	1.7975	1.7323	1	2.16	1	2.25	2.25	-1	1	2.58443	2.58353	-1	1	2.32	2	-1	1
NS14794V	12510	125	.365572593787	1	1	.36	1	.33	1	.31	.94	1	.2714	.2734	1	.27	1	.26	.26	-1	1	.30635	.30624	-1	1	.33	1	.37	1
NS14795W	10409	104	1.366287179763	1	1	1.17	1	1.1	1	1.08	.97	1	1.2065	1.1681	1	1.21	1	1.26	1.26	-1	1	1.22884	1.22841	-1	1	1.09	1	1.06	1
NS14796X	11040	110	.365572593787	1	1	.46	1	.49	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
NS14797Y	10827	108	1.366287179763	1	1	1.19	1	1.14	1	1.13	.99	1	1.1604	1.1247	1	1.06	5	-1	-1	-1	-1	-1	-1	-1	1	.99	1	1.05	1
NS14798Z	10904	109	1.366287179763	1	1	1.52	1	1.45	1	1.48	1.01	1	1.3979	1.3803	1	1.32	1	1.25	1.25	-1	1	1.18102	1.18061	-1	1	1.09	1	1.09	1
NS14799A	10311	103	1.119202413876	1	1	1.98	1	2.05	1	2.01	.98	1	1.6901	1.6296	1	1.75	1	1.66	1.66	-1	1	1.55508	1.55454	-1	1	1.83	1	1.72	1
NS14800R	11046	110	1.366287179763	1	1	1.29	1	1.39	1	1.39	1	1	1.3169	1.3008	1	1.23	1	1.14	1.14	-1	1	1.06804	1.06767	-1	1	.95	1	.94	1
NS14801S	12809	128	.243715062525	1	1	.29	1	.29	1	.3	1.04	1	.2631	.2699	1	.26	1	.26	.26	-1	1	.26995	.26986	-1	1	.44	1	.46	1
NS14802T	11752	117	1.366287179763	1	1	1.2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1.1	1	1.13	1
NS14803V	10441	104	1.366287179763	1	1	1.14	1	1.07	1	1.02	.95	1	1.1226	1.0874	1	1.11	1	1.16	1.16	-1	1	1.23657	1.23614	-1	5	-1	1	1.2	1
NS14804W	11702	117	1.366287179763	1	1	1.27	1	1.2	1	1.2	.99	1	1.1308	1.1021	1	1.06	1	1.03	1.03	-1	1	.95642	.95609	-1	1	.91	1	.91	1
NS14805X	11427	114	1.366287179763	1	1	1.25	1	1.17	1	1.12	.96	1	1.1525	1.1159	1	1.12	1	1.06	1.06	-1	1	.98863	.98829	-1	1	.86	1	.82	1
NS14806Y	11319	113	1.366287179763	1	1	1.28	1	1.19	1	1.17	.98	1	1.2657	1.2268	1	1.49	1	1.5	1.5	-1	1	1.44852	1.44801	-1	1	1.06	1	1.05	1
NS14807Z	12518	125	1.366287179763	1	1	1.24	1	1.12	1	1.06	.94	1	1.0695	1.0376	1	1.03	1	.95	.95	-1	1	.88214	.88183	-1	1	.75	1	.71	1
NS14808A	11715	117	1.366287179763	1	1	1.31	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	5	-1	1
NS14809B	13405	134	.280712770552	1	1	.3	1	.32	1	.34	1.06	1	.3605	.3486	1	.35	1	.35	.35	-1	1	.38043	.3803	-1	2	-1	1	.36	1
NS14810L	11442	114	1.366287179763	1	1	1.21	1	1.14	1	1.09	.95	3	-1	-1	1	1.72	3	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	1
NS14811M	11807	118	1.366287179763	1	1	1.42	1	1.38	1	1.48	1.07	1	1.4668	1.4297	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	1
NS14812N	12010	120	1.366287179763	1	1	1.26	1	1.17	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
NS14813P	11719	117	1.366287179763	1	1	1.46	1	1.54	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	3	-1	1
NS14814Q	10856	108	1.366287179763	1	1	1.23	1	1.16	1	1.16	1	1	1.2352	1.1967	1	1.14	1	1.51	1.51	-1	1	1.44671	1.44621	-1	5	-1	2	-1	1
NS14815R	12303	123	1.366287179763	1	1	1.36	1	1.31	1	1.29	.98	1	1.3281	1.2875	3	-1	2	-1	-1	-1	-1	-1	-1	-1	5	-1	2	-1	1
NS14816S	12603	126	.197368486216	1	1	.22	1	.23	1	.25	1.07	1	.2624	.2639	1	.27	1	.27	.27	-1	1	.30292	.30282	-1	2	-1	2	-1	1
NS14817T	11739	117	.365572593787	1	1	.4	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	3	-1	1
NS14818V	12317	123	.370173169348	1	1	.35	1	.34	1	.34	1	1	.3475	.3353	3	-1	1	.3	-1	.3	1	-1	.27492	.27205	-1	-1	-1	-1	1
NS14819W	11003	110	.294685360398	1	1	.4	1	.41	1	.43	1.04	1	.3991	.5105	1	.43	1	.41	.41	-1	1	.41721	.41707	-1	6	-1	6	-1	1
NS14820F	10808	108	1.366287179763	1	1	1.19	1	1.11	1	1.08	.97	1	1.1895	1.1528	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
NS14821G	10816	108	1.366287179763	1	1	1.23	1	1.16	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	1	1.12	1
NS14822H	13412	134	.197368499502	1	1	.25	1	.25	1	.26	1.01	1	.2099	.2632	1	.21	1	.21	.21	-1	1	.20423	.20416	-1	5	-1	2	-1	1
NS14823J	10403	104	1.366287179763	1	1	1.24	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	1
NS14824K	11734	117	1.366287179763	1	1	1.2	1	1.09	1	1.06	.97	1	.9953	.9701	1	.93	1	.89	.89	-1	1	.87235	.87204	-1	1	1.06	1	.99	1
NS14825L	12820	128	.280712770552	1	1	.29	1	.29	1	.29	1	1	.3008	.2964	1	.29	1	.29	.29	-1	1	.30322	.30312	-1	2	-1	2	-1	1
NS14826M	11723	117	.370173169348	1	1	.39	1	.36	1	.35	.96	1	.2806	.284	3	-1	2	-1	-1	-1	-1	-1	-1	-1	3	-1	5	-1	1
NS14827N	10803	108	.227972914986	1	1	.24	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	.24	2	-1	1
NS14828P	10421	104	.370173169348	1	1	.28	1	.27	1	.26	.95	1	.2829	.2727	1	.28	1	.27	.27	-1	5	-1	-1	-1	6	-1	2	-1	1
NS14829Q	10834	108	1.366287179763	1	1	1.23	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	6	-1	1
NS14830A	11763	117	1.366287179763	1	1	1.2	1	1.1	1	1.1	.99	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	1
NS14831B	13604	136	.280712770552	1	1	.28	1	.27	1	.25	.94	1	.28	.2709	1	.28	1	.27	.27	-1	1	.2571	.25701	-1	1	.34	2	-1	1
NS14832C	12508	125	1.366287179763	1	1	1.31	1	1.29	1	1.26	.98	1	1.3386	1.2987	3	-1	2	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	1
NS14833D	10843	108	1.366287179763	1	1	1.19	1	1.11	1	1.08	.97	1	1.1941	1.1574	1	1.24	1	1.29	1.29	-1	1	1.44989	1.44939	-1	6	-1	1	1.57	1
NS14834E	12315	123	1.366287179763	1	1	1.36	1	1.31	1	1.32	1	1	1.3161	1.2758	1	1.24	1	1.17	1.17	-1	1	1.17217	1.17177	-1	1	1.4	1	1.52	1
NS14835F	10209	102	1.292333613451	1	1	2.05	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
NS14836G	11755	117	1.366287179763	1	1	1.23	1	1.13	1	1.1	.97	1	1.0525	1.0254	1	1	1	.92	.92	-1	1	.84614	.84584	-1	1	.59	1	.58	1
NS14837H	11803	118	1.366287179763	1	1	1.31	1	1.24	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	.97	2	-1	1
NS14838J	11702	117	1.366287179763	1	1	1.45	1	1.81	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	5	-1	1
NS14839K	11734	117	1.366287179763	1	1	1.27	1	1.31	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	2	-1	1
NS14840V	10841	108	1.366287179763	1	1	1.23	1	1.15	1	1.11	.96	1	1.1113	1.0766	1	1.03	1	.95	.95	-1	1	.8939	.89359	-1	1	.67	1	.58	1
NS14841W	11902	119	1.366287179763	1	1	1.2	1	1.09	1	1.05	.96	1	.9525	.9284	1	.89	1	.84	.84	-1	1	.82376	.82348	-1	1	.76	1	.69	1
