NSID	samppsu	sampstratum	W2toW3nrwt	W3finwt	W3mainres	W3secores	W3hrefper	W3qfhhno	W3intmnthMP	W3intyearMP	W3sameaddHH	W3parpresHH	W3parchkHH	W3incarHH	W3intypHH	W3infon	W3hous12HH	W3usevcHH	W3vehnoHH	W3condur4MP	W3condur5MP	W3condur6MP	W3condur4YP	W3condur5YP	W3condur6YP	W3englangHH	W3elseHH0a	W3elseHH0b	W3elseHH0c	W3elseHH0d	W3elseHH0e	W3elseHH0f	W3elseHH0g	W3elseHH0h	W3elseHH0i	W3elseHH0j	W3whopresMP0a	W3whopresMP0b	W3whopresMP0c	W3whopresMP0d	W3whopresMP0e	W3whopresMP0f	W3wrk1aMP	W3wrk10MP	W3wrk11MP	W3wrk12aMP	W3wrk12bMP	W3wrk13MP	W3socMP	W3edfinyMP	W3edfinmMP	W3qualstuMP	W3wrk1aSP	W3wrk10SP	W3wrk11SP	W3wrk12aSP	W3wrk12bSP	W3socSP	W3edfinySP	W3edfinmSP	W3incsourMP0a	W3incsourMP0b	W3incsourMP0c	W3incsourMP0d	W3incsourMP0e	W3incsourMP0f	W3incsourMP0g	W3incsourMP0h	W3incsourMP0i	W3incsourMP0j	W3incsourMP0k	W3incsourMP0l	W3incsourMP0m	W3incestMP	W3parentckMP	W3fatherid	W3motherid	W3empsMP	W3empssp	W3empsdad	W3empsmum	W3empshrp	W3cempszMP	W3cempszSP	W3cempszmum	W3cempszdad	W3cnsseccatMP	W3cnsseccatSP	W3cnsseccatmum	W3cnsseccatdad	W3cnsseccatfam	W3cnssecMP	W3cnssecSP	W3cnssecmum	W3cnssecdad	W3cnssecfam	W3wrkfullMP	W3wrkfullSP	W3wrkfulldad	W3wrkfullmum	W3wrkcurMP	W3wrkcurSP	W3wrkcurdad	W3wrkcurmum	W3socmajorSP	W3socmajorMP	W3mainrespos	W3secorespos	W3cgempsMP	W3cgempsSP	W3cgempsdad	W3cgeMPsmum	W3ethgrpMP	W3ethnicMP	W3ethgrpsp	W3ethnicsp	W3ethgrpdad	W3ethnicdad	W3ethgrpmum	W3ethnicmum	W3incestm	W3incestw	W3ageMP	W3agebd5MP	W3agebd10MP	W3marstatMP	W3sexMP	W3wrkageMP	W3relMP	W3ageSP	W3agebd5SP	W3agebd10SP	W3marstatSP	W3sexSP	W3wrkageSP	W3relSP	W3agemum	W3agebd5mum	W3agebd10mum	W3marstatmum	W3wrkagemum	W3agedad	W3agebd5dad	W3agebd10dad	W3marstatdad	W3wrkagedad	W3depkids	W3ch0_2HH	W3ch3_11HH	W3ch12_15HH	W3ch16_17HH	W3natparHH	W3stepfam	W3famtyp	W3lnpar	W3sibs	urbind	gor	IDACIRSCORE	IMDRSCORE
NS13574F	10847	108	.941600197833181	1.08002269679455	2	3	3	3	5	2006	0	1	-91	1	-91	2	2	1	2	3	1	1	-91	-91	-91	-91	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	3	-91	-91	-91	6124	-91	-91	-91	1	1	3	-91	-91	2314	-91	-91	1	0	0	1	0	0	0	0	1	0	0	0	0	-1	1	3	2	2	1	1	2	1	7	6	7	6	12.7	4.1	12.7	4.1	4.1	6	2	6	2	2	2	1	1	2	1	1	1	1	2	6	2	2	0	0	0	0	1	1	1	1	1	1	1	1	-1	-1	40	5	3	2	2	1	8	48	6	4	2	1	1	8	40	5	3	2	1	48	6	4	2	1	1	0	0	0	1	2	0	1	2	0	5	6	.05	5
NS13575G	12357	123	.977353777732224	1.15037194130058	2	3	3	3	4	2006	0	1	-91	1	-91	2	2	1	2	3	1	1	-91	-91	-91	-91	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	2	-91	-91	-91	4150	-91	-91	-91	1	1	2	-91	-91	1162	-91	-91	1	0	0	1	0	0	1	0	0	0	0	0	0	8	2	3	2	1	1	1	1	1	7	5	7	5	7.2	5	7.2	5	5	3	2	3	2	2	1	1	1	1	1	1	1	1	1	4	1	1	0	0	0	0	1	1	1	1	1	1	1	1	8	8	48	6	4	2	2	1	8	55	8	5	2	1	1	8	48	6	4	2	1	55	8	5	2	1	1	0	0	1	0	2	0	1	2	0	5	5	.19	18
NS13577J	11023	110	.986337651041306	.372520574461833	2	3	3	4	5	2006	0	1	-91	1	-91	2	1	1	2	3	1	1	-91	-91	-91	-91	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	3	-91	-91	-91	-95	-91	-91	-91	1	1	3	-91	-91	1136	-91	-91	1	0	0	1	0	0	0	0	0	0	0	0	0	12	2	3	2	2	1	1	2	1	7	4	7	4	17	2	17	2	2	-94	1	-94	1	1	2	1	1	2	1	1	1	1	1	-94	1	1	0	0	0	0	1	1	2	5	2	5	1	1	12	12	45	6	4	2	2	1	8	48	6	4	2	1	1	8	45	6	4	2	1	48	6	4	2	1	2	0	0	1	1	2	0	1	2	1	5	7	.08	12
NS13579L	12033	120	1.00617981232672	1.56419546704341	2	-98	2	3	4	2006	0	1	-91	1	-91	2	5	2	-91	2	2	2	-91	-91	-91	-91	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	5	-91	-91	-91	-91	-91	-91	-91	-91	-91	-98	-98	-98	-98	-98	-98	-98	-98	0	0	0	1	0	1	1	0	0	1	0	0	0	3	-91	-98	2	3	-98	-98	3	3	-91	-98	-91	-98	14.3	-98	14.3	-98	14.3	8	-98	8	-98	8	3	-98	-98	3	2	-98	-98	2	-98	-91	1	-98	1	-98	-98	1	1	1	-98	-98	-98	-98	1	1	3	3	44	5	3	1	2	1	8	-98	-98	-98	-98	-98	-98	-98	44	5	3	1	1	-98	-98	-98	-98	-98	2	0	0	0	2	1	0	4	1	1	5	9	.29	30
NS13580W	11435	114	.966810801141869	1.2112433534248	2	3	3	4	4	2006	0	1	-91	1	-91	2	2	1	3	3	1	1	-91	-91	-91	-91	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	2	-91	-91	-91	4212	-91	-91	-91	1	1	3	-91	-91	1122	-91	-91	1	0	0	1	0	0	0	0	0	0	0	0	0	12	2	3	2	2	1	1	2	1	7	4	7	4	7.1	5	7.1	5	5	3	2	3	2	2	2	1	1	2	1	1	1	1	1	4	1	1	0	0	0	0	1	1	1	1	1	1	1	1	12	12	46	6	4	2	2	1	8	46	6	4	2	1	1	8	46	6	4	2	1	46	6	4	2	1	1	0	0	1	0	2	0	1	2	1	6	2	.06	7
NS13581X	11021	110	1.03815091028488	1.45404749539642	2	3	2	4	5	2006	0	1	-91	1	-91	2	2	1	1	1	1	2	-91	-91	-91	-91	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	3	-91	-91	-91	3561	-91	-91	-91	3	-91	-91	1	-91	5312	-91	-91	1	0	0	0	0	0	0	0	0	0	0	0	0	12	2	3	2	1	1	1	1	1	6	3	6	3	4.1	9.1	4.1	9.1	4.1	2	4	2	4	2	1	1	1	1	1	1	1	1	5	3	1	1	0	0	0	0	1	1	1	1	1	1	1	1	12	12	44	5	3	2	2	1	8	46	6	4	2	1	1	8	44	5	3	2	1	46	6	4	2	1	2	0	0	1	1	2	0	1	2	1	5	7	.42	34
NS13582Y	12519	125	.941899622650007	.269294322408355	2	3	2	5	5	2006	0	1	-91	1	-91	2	6	1	1	3	1	1	-91	-91	-91	-91	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	2	2	1	-91	-91	-91	2444	-91	-91	-91	10	-91	-91	-91	-91	-91	-91	-91	1	0	0	1	0	0	1	0	0	0	0	0	0	-92	2	2	3	2	6	2	6	2	7	-91	-91	7	3.1	14.3	14.3	3.1	3.1	1	8	8	1	1	2	3	2	3	1	2	1	2	-91	2	1	1	0	0	0	0	3	8	3	8	3	8	3	8	-92	-92	43	5	3	2	1	1	8	40	5	3	2	2	1	8	40	5	3	2	1	43	5	3	2	1	3	0	1	1	1	2	0	1	2	2	5	3	.23	36
NS13584A	11457	114	.955500474357888	1.1153720705067	3	2	2	4	4	2006	0	1	-91	1	-91	3	2	1	2	3	1	1	-91	-91	-91	-91	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	1	-91	-91	-91	6124	-91	-91	-91	1	1	3	-91	-91	5231	-91	-91	1	0	1	1	0	0	1	0	0	0	0	0	0	5	2	2	3	2	1	1	2	1	7	6	7	6	12.7	10	12.7	10	10	6	5	6	5	5	2	1	1	2	1	1	1	1	5	6	1	1	0	0	0	0	1	1	1	1	1	1	1	1	5	5	44	5	3	2	2	1	8	52	7	4	2	1	1	8	44	5	3	2	1	52	7	4	2	1	2	0	0	2	0	2	0	1	2	1	6	2	.09	8
NS13585B	12352	123	.977353777732224	1.22732718423018	2	-98	2	3	4	2006	0	1	-91	1	-91	2	1	1	1	3	1	1	-91	-91	-91	-91	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	-91	-91	1	-91	-91	5241	-91	-91	-91	-98	-98	-98	-98	-98	-98	-98	-98	1	0	0	1	0	0	0	0	0	0	0	0	0	3	-91	2	-98	1	-98	1	-98	1	3	-98	-98	3	9.1	-98	-98	9.1	9.1	4	-98	-98	4	4	1	-98	1	-98	1	-98	1	-98	-98	5	1	-98	0	-98	0	-98	1	3	-98	-98	1	3	-98	-98	3	3	59	8	5	6	1	1	8	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	59	8	5	6	1	1	0	0	0	1	1	0	3	1	1	5	5	.13	21
NS13587D	11420	114	.985143969759912	1.28383865475825	2	3	3	4	5	2006	0	1	-91	1	-91	2	2	1	2	3	1	1	-91	-91	-91	-91	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	4	-91	-91	3531	-91	-91	1	1	0	1	0	0	1	0	0	0	0	0	0	12	2	3	2	6	1	1	6	1	-91	6	-91	6	14.3	4.1	14.3	4.1	4.1	8	2	8	2	2	3	1	1	3	2	1	1	2	3	-91	1	1	0	0	0	0	1	1	1	1	1	1	1	1	12	12	44	5	3	2	2	1	8	46	6	4	2	1	1	8	44	5	3	2	1	46	6	4	2	1	1	0	0	1	0	2	0	1	2	1	5	2	.05	9
NS13588E	10417	104	.984060256677727	1.06489466090991	2	3	3	5	6	2006	0	1	-91	1	-91	2	2	1	1	3	1	1	-91	-91	-91	-91	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	3	-91	-91	-91	7125	-91	-91	-91	1	1	3	-91	-91	3312	-91	-91	1	0	0	1	0	0	1	0	0	0	0	0	0	11	2	3	2	1	1	1	1	1	6	6	6	6	6	6	6	6	6	2	2	2	2	2	1	1	1	1	1	1	1	1	3	7	1	1	1	0	0	1	1	1	1	1	1	1	1	1	11	11	46	6	4	2	2	1	8	46	6	4	2	1	1	8	46	6	4	2	1	46	6	4	2	1	2	0	0	1	1	2	0	1	2	2	6	4	.04	3
NS13589F	10805	108	.961005032395843	1.14847800344849	2	3	2	3	4	2006	0	1	-91	1	-91	2	2	1	3	3	1	1	-91	-91	-91	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	-91	-91	-91	2211	-91	-91	-91	2	2	3	-91	-91	3132	-91	-91	1	1	0	1	0	0	0	1	0	0	0	0	0	12	2	3	2	1	2	2	1	1	6	7	6	7	3.1	4.1	3.1	4.1	3.1	1	2	1	2	1	1	2	2	1	1	1	1	1	3	2	1	1	0	0	0	0	1	1	1	1	1	1	1	1	12	12	50	7	4	2	2	1	8	53	7	4	2	1	1	8	50	7	4	2	1	53	7	4	2	1	1	0	0	0	1	2	0	1	2	0	5	6	.07	8
NS13591R	10425	104	1.24872036366342	1.80012340574507	2	-98	2	2	4	2006	0	1	-91	1	-91	2	5	1	1	3	1	2	-91	-91	-91	-91	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	-91	-91	-91	-91	-91	-91	-91	-91	-91	-98	-98	-98	-98	-98	-98	-98	-98	0	0	0	1	1	0	1	0	0	0	0	0	0	2	-91	2	-98	9	-98	9	-98	9	-91	-98	-98	-91	14.3	-98	-98	14.3	14.3	8	-98	-98	8	8	3	-98	3	-98	2	-98	2	-98	-98	-91	1	-98	1	-98	1	-98	1	1	-98	-98	1	1	-98	-98	2	2	49	6	4	1	1	1	8	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	49	6	4	1	1	1	0	0	1	0	1	0	3	1	0	5	4	.14	16
NS13593T	11011	110	1.05328577375992	.464117585403017	2	8	2	7	4	2006	0	1	-91	1	-91	2	5	1	1	1	1	1	-91	-91	-91	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	10	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	2	3	-91	-91	8213	-91	-91	1	0	0	1	1	0	1	0	0	1	0	0	0	4	2	8	2	6	1	1	6	6	-91	7	-91	7	14.3	13.3	14.3	13.3	14.3	8	7	8	7	8	3	1	1	3	2	1	1	2	8	-91	1	3	0	-91	-91	0	7	13	7	13	7	13	7	13	4	4	46	6	4	2	2	1	8	51	7	4	2	1	1	8	46	6	4	2	1	51	7	4	2	1	-94	-94	-94	-94	-94	2	0	1	2	4	5	7	.6	41
NS13594V	12533	125	.976386716580317	.323914198842265	3	2	3	6	4	2006	0	1	-91	1	-91	3	1	1	1	1	1	1	-91	-91	-91	-91	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	2	-91	-91	-91	8214	-91	-91	-91	10	-91	-91	-91	-91	-91	-91	-91	1	0	0	1	0	0	1	0	0	0	0	0	0	4	2	3	2	2	6	2	6	2	7	-91	-91	7	13.3	14.3	14.3	13.3	13.3	7	8	8	7	7	2	3	2	3	1	2	1	2	-91	8	2	2	0	0	0	0	3	8	3	8	3	8	3	8	4	4	43	5	3	2	1	1	8	40	5	3	2	2	1	8	40	5	3	2	1	43	5	3	2	1	3	1	0	1	1	2	0	1	2	3	5	2	.45	51
NS13595W	12327	123	.965742903019408	.353182364822596	3	2	2	4	5	2006	0	1	-91	1	-91	3	1	2	-91	1	1	1	-91	-91	-91	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	10	-91	-91	-91	-91	-91	-91	-91	-91	-91	5	-91	-91	-91	-91	-91	-91	-91	0	0	0	1	1	0	0	0	0	0	0	0	0	-1	2	2	3	6	3	3	6	3	-91	-91	-91	-91	14.3	14.3	14.3	14.3	14.3	8	8	8	8	8	3	3	3	3	2	2	2	2	-91	-91	1	1	0	1	1	0	4	9	4	9	4	9	4	9	-1	-1	54	7	4	2	2	1	8	74	11	6	2	1	0	8	54	7	4	2	1	74	11	6	2	0	3	0	0	2	1	2	0	1	2	1	5	5	.39	44
NS13596X	11047	110	.981852144806649	1.36012556602207	2	3	3	5	5	2006	0	1	-91	1	-91	2	2	1	1	1	1	1	-91	-91	-91	-91	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	1	-91	-91	-91	4216	-91	-91	-91	1	2	1	-91	-91	5316	-91	-91	1	0	0	0	0	0	0	0	0	0	0	0	0	7	2	3	2	2	1	1	2	1	7	7	7	7	12.6	13.2	12.6	13.2	13.2	6	7	6	7	7	2	1	1	2	1	1	1	1	5	4	1	1	1	0	0	1	1	1	1	1	1	1	1	1	7	7	35	4	3	2	2	1	8	37	4	3	2	1	1	8	35	4	3	2	1	37	4	3	2	1	3	0	1	2	0	2	0	1	2	2	5	7	.37	30
NS13598Z	10428	104	.957186814659971	1.0358137334659	2	3	3	5	6	2006	0	1	-91	1	-91	2	1	1	2	1	1	1	-91	-91	-91	-91	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	2	-91	-91	-91	1163	-91	-91	-91	1	2	3	-91	-91	8212	-91	-91	0	0	0	1	0	0	0	0	0	0	0	0	0	-92	2	3	2	1	1	1	1	1	5	7	5	7	5	13.3	5	13.3	13.3	2	7	2	7	7	1	1	1	1	1	1	1	1	8	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	-92	-92	37	4	3	2	2	1	8	41	5	3	2	1	1	11	37	4	3	2	1	41	5	3	2	1	-94	0	2	0	1	1	1	1	2	2	6	4	.32	37
NS13599A	10832	108	.97794622837724	1.26819328884357	2	3	3	6	5	2006	0	1	-91	1	-91	2	2	1	3	3	1	1	-91	-91	-91	-91	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	1	2	1	-91	-91	-91	6123	-91	-91	-91	1	1	3	-91	-91	1136	-91	-91	1	0	0	1	0	0	1	0	0	0	0	0	0	6	2	3	2	1	1	1	1	1	7	4	7	4	12.7	2	12.7	2	2	6	1	6	1	1	1	1	1	1	1	1	1	1	1	6	1	1	0	0	0	0	1	1	1	1	1	1	1	1	6	6	39	4	3	2	2	1	8	45	6	4	2	1	1	8	39	4	3	2	1	45	6	4	2	1	3	0	0	3	0	2	0	1	2	3	8	6	.11	12
NS13600R	12017	120	1.00516530614346	1.31332945893783	2	3	2	5	6	2006	0	1	-91	1	-91	2	5	1	2	-92	2	2	-91	-91	-91	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	3	-91	-91	-91	1239	-91	-91	-91	3	-91	-91	2	1	1239	-91	-91	1	0	0	1	0	0	0	0	0	0	0	0	0	7	2	3	2	1	1	1	1	1	4	2	4	2	5	8.1	5	8.1	5	2	4	2	4	2	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	7	7	37	4	3	8	2	1	8	35	4	3	1	1	1	11	37	4	3	8	1	35	4	3	1	1	-94	-94	-94	-94	-94	1	1	1	2	1	7	9	.16	12
NS13601S	10840	108	.977113603876913	1.13286770065077	2	3	2	3	4	2006	0	1	-91	1	-91	2	2	1	2	3	1	1	-91	-91	-91	-91	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	3	-91	-91	-91	1136	-91	-91	-91	10	-91	-91	-91	-91	-91	-91	-91	1	0	0	1	0	0	1	0	0	0	0	0	0	8	2	2	3	1	6	1	6	1	4	-91	-91	4	2	14.3	14.3	2	2	1	8	8	1	1	1	3	1	3	1	2	1	2	-91	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	8	8	49	6	4	2	1	1	8	47	6	4	2	2	1	8	47	6	4	2	1	49	6	4	2	1	1	0	0	1	0	2	0	1	2	0	5	6	.05	4
NS13602T	13003	130	.986148805153507	.858348471737596	2	-98	2	3	4	2006	0	1	-91	1	-91	2	4	2	-91	3	1	1	-91	-91	-91	-91	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	2	-91	-91	-91	9244	-91	-91	-91	-98	-98	-98	-98	-98	-98	-98	-98	1	0	0	1	1	0	0	0	0	0	0	0	0	3	-91	-98	2	2	-98	-98	2	2	7	-98	7	-98	13.1	-98	13.1	-98	13.1	7	-98	7	-98	7	2	-98	-98	2	1	-98	-98	1	-98	9	1	-98	1	-98	-98	1	1	1	-98	-98	-98	-98	1	1	3	3	37	4	3	1	2	1	8	-98	-98	-98	-98	-98	-98	-98	37	4	3	1	1	-98	-98	-98	-98	-98	2	0	1	0	1	1	0	4	1	1	5	1	.74	70
NS13604W	11812	118	.977509720255737	1.20048989934599	5	2	5	5	4	2006	0	1	-91	1	-91	5	2	1	3	1	1	1	-91	-91	-91	-91	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	1	-91	-91	5319	-91	-91	1	0	0	1	0	0	0	0	0	0	0	0	0	6	2	2	5	6	1	1	6	6	-91	6	-91	6	14.3	10	14.3	10	14.3	8	5	8	5	8	3	1	1	3	2	1	1	2	5	-91	1	1	0	0	0	0	1	1	1	1	1	1	1	1	6	6	40	5	3	2	2	1	8	43	5	3	2	1	1	8	40	5	3	2	1	43	5	3	2	1	2	0	1	0	1	2	0	1	2	2	5	8	.26	35
NS13605X	10836	108	.940093191714738	1.0403714609372	2	3	2	4	6	2006	0	1	-91	1	-91	2	2	1	2	3	1	1	-91	-91	-91	-91	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	3	-91	-91	-91	4122	-91	-91	-91	1	1	4	-91	-91	3563	-91	-91	1	0	0	1	0	0	1	0	0	0	0	0	0	8	2	3	2	1	1	1	1	1	6	6	6	6	6	4.1	6	4.1	6	2	2	2	2	2	1	1	1	1	1	1	1	1	3	4	1	1	0	0	0	0	1	1	1	1	1	1	1	1	8	8	40	5	3	2	2	1	8	41	5	3	2	1	1	8	40	5	3	2	1	41	5	3	2	1	2	0	0	1	1	2	0	1	2	1	5	6	.21	19
NS13606Y	10817	108	.959582419134931	.344672623940459	2	-98	2	5	4	2006	0	1	-91	1	-91	2	2	2	-91	1	2	2	-91	-91	-91	-91	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	10	-91	-91	-91	-91	-91	-91	-91	-91	-91	-98	-98	-98	-98	-98	-98	-98	-98	0	0	0	1	1	0	0	0	0	0	0	0	0	4	-91	-98	2	6	-98	-98	6	6	-91	-98	-91	-98	14.3	-98	14.3	-98	14.3	8	-98	8	-98	8	3	-98	-98	3	2	-98	-98	2	-98	-91	1	-98	0	-98	-98	0	4	9	-98	-98	-98	-98	4	9	4	4	37	4	3	4	2	1	8	-98	-98	-98	-98	-98	-98	-98	37	4	3	4	1	-98	-98	-98	-98	-98	4	0	0	3	1	1	0	4	1	3	5	6	.28	25
NS13607Z	11039	110	1.03756053146643	.418954685317366	3	2	2	6	4	2006	0	1	-91	1	-91	3	2	1	2	1	1	1	-91	-91	-91	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	3	-91	-91	-91	2312	-91	-91	-91	1	2	3	-91	-91	2319	-91	-91	1	0	0	1	0	0	0	0	0	0	0	0	0	7	2	2	3	1	1	1	1	1	7	7	7	7	4.1	7.3	4.1	7.3	7.3	2	3	2	3	3	1	1	1	1	1	1	1	1	2	2	1	1	0	1	1	0	8	14	8	14	8	14	8	14	7	7	37	4	3	2	2	1	8	38	4	3	2	1	1	8	37	4	3	2	1	38	4	3	2	1	3	0	1	1	1	2	0	1	2	3	5	7	.19	16
NS13608A	10601	106	.981062168078809	1.38163508938022	2	3	3	4	5	2006	0	1	-91	1	-91	2	2	1	2	3	1	1	-91	-91	-91	-91	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	3	-91	-91	-91	9223	-91	-91	-91	1	1	3	-91	-91	1223	-91	-91	1	0	0	1	0	0	1	0	0	0	0	0	0	6	2	3	2	2	1	1	2	1	7	4	7	4	12.2	5	12.2	5	5	6	2	6	2	2	2	1	1	2	1	1	1	1	1	9	1	1	0	0	0	0	8	16	8	16	8	16	8	16	6	6	44	5	3	2	2	1	8	53	7	4	2	1	1	8	44	5	3	2	1	53	7	4	2	1	1	0	0	1	1	2	0	1	2	1	5	4	.08	6
NS13609B	11710	117	1.0288090575411	1.34625919020991	2	-98	2	3	5	2006	0	1	-91	1	-91	2	2	2	-91	2	1	2	-91	-91	-91	-91	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	3	-91	-91	-91	7111	-91	-91	-91	-98	-98	-98	-98	-98	-98	-98	-98	1	0	0	1	0	0	1	0	0	0	0	0	0	4	-91	-98	2	1	-98	-98	1	1	7	-98	7	-98	12.1	-98	12.1	-98	12.1	6	-98	6	-98	6	1	-98	-98	1	1	-98	-98	1	-98	7	1	-98	1	-98	-98	1	1	1	-98	-98	-98	-98	1	1	4	4	42	5	3	1	2	1	8	-98	-98	-98	-98	-98	-98	-98	42	5	3	1	1	-98	-98	-98	-98	-98	2	0	0	2	0	1	0	4	1	1	5	8	.44	48
NS13610L	11027	110	.981852144806649	.428062049386333	3	2	2	4	4	2006	0	1	-91	1	-91	3	2	1	2	3	1	1	-91	-91	-91	-91	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	3	-91	-91	-91	4213	-91	-91	-91	1	1	1	-91	-91	4134	-91	-91	1	0	0	1	0	0	1	0	0	0	0	0	0	10	2	2	3	1	1	1	1	1	7	6	7	6	7.1	6	7.1	6	6	3	2	3	2	2	1	1	1	1	1	1	1	1	4	4	1	1	0	0	0	0	8	11	8	11	8	11	8	11	10	10	46	6	4	2	2	1	8	46	6	4	2	1	1	8	46	6	4	2	1	46	6	4	2	1	2	0	1	0	1	2	0	1	2	1	5	7	.1	15
NS13611M	11812	118	.943035224654862	1.07159647426517	2	3	3	5	4	2006	0	1	-91	1	-91	2	2	1	2	1	1	1	-91	-91	-91	-91	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	3	-91	-91	-91	4215	-91	-91	-91	1	1	3	-91	-91	1121	-91	-91	1	0	0	1	0	0	0	0	0	0	0	0	0	7	2	3	2	2	1	1	2	1	7	4	7	4	7.1	2	7.1	2	2	3	1	3	1	1	2	1	1	2	1	1	1	1	1	4	1	1	0	0	0	0	1	1	1	1	1	1	1	1	7	7	39	4	3	2	2	1	8	42	5	3	2	1	1	8	39	4	3	2	1	42	5	3	2	1	3	0	2	1	0	2	0	1	2	2	5	8	.24	13
NS13612N	10805	108	.974019400645444	1.21967765612253	3	2	2	5	4	2006	0	1	-91	1	-91	3	2	1	2	3	1	1	-91	-91	-91	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	10	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	3	-91	-91	1163	-91	-91	1	0	0	1	0	1	1	0	0	0	0	0	0	12	2	2	3	6	1	1	6	1	-91	4	-91	4	14.3	5	14.3	5	5	8	2	8	2	2	3	1	1	3	2	1	1	2	1	-91	1	1	0	0	0	0	1	1	1	1	1	1	1	1	12	12	42	5	3	2	2	1	8	43	5	3	2	1	1	8	42	5	3	2	1	43	5	3	2	1	1	0	0	0	1	2	0	1	2	2	5	6	.22	25
NS13613P	13510	135	1.04325408683166	.343519893544721	3	2	3	4	4	2006	0	1	-91	1	-91	3	2	1	1	3	1	1	-91	-91	-91	4	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	1	4	-91	-91	1	-91	-91	8214	-91	-91	-91	10	-91	-91	-91	-91	-91	-91	-91	1	0	0	1	0	0	1	0	0	0	0	0	0	2	2	3	2	2	6	2	6	2	3	-91	-91	3	9.1	14.3	14.3	9.1	9.1	4	8	8	4	4	2	3	2	3	1	2	1	2	-91	8	1	1	0	0	0	0	4	9	4	9	4	9	4	9	2	2	47	6	4	2	1	1	8	44	5	3	2	2	1	8	44	5	3	2	1	47	6	4	2	1	1	0	0	1	0	2	0	1	2	1	5	3	.4	56
NS13614Q	13506	135	.969099519013388	.305712942598436	2	3	2	4	5	2006	0	1	-91	1	-91	2	1	2	-91	1	2	2	-91	-91	-91	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	9	-91	-91	-91	-91	-91	-91	-91	-91	-91	10	-91	-91	-91	-91	-91	-91	-91	0	0	0	1	0	1	0	0	0	0	0	0	0	4	2	2	3	8	6	8	6	8	-91	-91	-91	-91	14.3	14.3	14.3	14.3	14.3	8	8	8	8	8	3	3	3	3	2	2	2	2	-91	-91	1	1	0	0	0	0	4	9	4	9	4	9	4	9	4	4	53	7	4	2	1	1	8	48	6	4	2	2	1	8	48	6	4	2	1	53	7	4	2	1	2	0	0	1	1	2	0	1	2	1	5	3	.43	56
