NSID	W8CHID	W8NCHSEX	W8NCHDOBM	W8NCHDOBY	W8NCHRAGE	W8DNCHRAGE	W8NCHREL	W8NCHRELP	W8PARNAME	W8PARDOBM	W8PARDOBY	W8PARAGE	W8DPARAGE	W8NCHPRES	W8NCHEVLV	W8CHDLIVE	W8ABCHG91	W8COPA	W8SEOF
NS11805K	3	1	5	2010	-1	6	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11805K	4	1	1	2012	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11805K	5	2	11	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11815E	1	1	7	2008	-1	7	1	-1	-1	12	1985	-1	30	1	-1	-1	-1	1	2
NS11815E	2	1	11	2010	-1	5	1	-1	-1	12	1985	-1	30	1	-1	-1	-1	1	2
NS11817G	1	1	-9	-9	6	6	3	1	-1	-1	-1	-1	-1	3	2	1	3	-1	-1
NS11819J	1	2	7	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11819J	2	2	7	2011	-1	4	3	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11820T	1	1	7	2009	-1	6	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1
NS11820T	2	2	4	2015	-1	1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1
NS11823X	1	2	2	2009	-1	7	1	-1	-1	10	1989	-1	26	1	-1	-1	-1	1	1
NS11823X	2	1	7	2014	-1	1	1	-1	-1	10	1989	-1	26	1	-1	-1	-1	1	1
NS11840H	1	2	8	2012	-1	3	1	-1	-1	8	1988	-1	27	1	-1	-1	-1	1	2
NS11843L	1	1	5	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11848R	1	1	6	2011	-1	4	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	2
NS11869G	1	2	3	2014	-1	2	1	-1	-1	-9	-9	26	26	3	2	1	2	-1	-1
NS11871S	1	1	10	2009	-1	6	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11878A	1	1	9	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11879B	1	1	2	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11879B	2	2	8	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11900G	1	1	-9	-9	6	6	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11900G	2	2	-9	-9	3	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11917J	1	2	7	2013	-1	2	3	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11922Y	1	2	7	2008	-1	7	1	-1	-1	1	1990	-1	26	1	-1	-1	-1	2	-1
NS11922Y	2	2	8	2012	-1	3	1	-1	-1	1	1990	-1	26	1	-1	-1	-1	2	-1
NS11923Z	1	2	10	2009	-1	6	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	2	-1
NS11962B	1	2	1	2011	-1	5	1	-1	-1	8	1985	-1	30	1	-1	-1	-1	2	-1
NS11962B	2	2	12	2015	-1	0	1	-1	-1	-9	-9	32	32	1	-1	-1	-1	2	-1
NS11981P	1	2	8	2009	-1	6	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11981P	2	2	1	2015	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11985T	1	2	9	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11985T	2	1	11	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11995N	1	1	9	2009	-1	6	1	-1	-1	-9	-9	35	35	1	-1	-1	-1	2	-1
NS11995N	2	1	7	2011	-1	4	1	-1	-1	9	1988	-1	27	1	-1	-1	-1	2	-1
NS12029G	1	2	9	2010	-1	5	1	-1	-1	5	1989	-1	26	1	-1	-1	-1	1	3
NS12037Z	1	2	9	2010	-1	5	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12037Z	2	1	5	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12052H	1	1	-9	-9	3	3	1	-1	1	-1	-1	-1	-1	2	-1	-1	2	1	1
NS12054K	1	2	12	2007	-1	8	1	-1	1	5	1990	-1	25	3	2	1	1	-1	-1
NS12054K	2	2	6	2014	-1	1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1
NS12062C	1	2	-9	-9	2	2	1	-1	-1	6	1990	-1	25	3	2	1	1	-1	-1
NS12072X	1	1	8	2014	-1	1	1	-1	1	-1	-1	-1	-1	2	-1	-1	1	1	1
NS12078D	1	2	10	2008	-1	7	1	2	-1	5	1990	-1	25	3	2	1	2	-1	-1
NS12078D	2	2	4	2011	-1	5	1	2	-1	4	1990	-1	26	3	2	1	2	-1	-1
NS12081Q	1	2	9	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12103N	1	2	12	2010	-1	5	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	5
NS12106R	1	2	2	2011	-1	5	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12106R	2	1	2	2012	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12106R	3	2	7	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12139D	1	1	1	2016	-1	0	1	-1	-1	11	1980	-1	35	1	-1	-1	-1	1	1
NS12139D	2	1	3	2013	-1	2	1	-1	-1	11	1980	-1	35	1	-1	-1	-1	1	1
NS12141P	1	1	9	2011	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12141P	2	1	3	2015	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12153L	1	1	5	2012	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12160C	1	2	9	2010	-1	5	1	-1	-1	5	1998	-1	17	1	-1	-1	-1	1	1
NS12160C	2	2	12	2014	-1	1	1	-1	-1	5	1988	-1	27	1	-1	-1	-1	1	1
NS12163F	1	2	4	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12165H	1	1	11	2009	-1	6	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	2
NS12165H	2	1	7	2012	-1	3	1	-1	11	7	1990	-1	25	1	-1	-1	-1	1	2
NS12170X	1	2	-9	-9	6	6	3	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12170X	2	1	-9	-9	0	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12175C	1	1	10	2011	-1	4	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	2	-1
NS12185X	1	2	6	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12196S	1	1	6	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12197T	1	1	2	2016	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12199W	1	2	8	2011	-1	4	1	-1	-1	11	1992	-1	23	2	-1	-1	1	1	1
NS12212J	1	2	2	2011	-1	5	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	2
NS12212J	2	1	5	2012	-1	3	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	2
NS12216N	1	2	10	2010	-1	5	1	-1	-1	-9	-9	24	24	1	-1	-1	-1	2	-1
NS12218Q	1	2	11	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12218Q	2	1	8	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12223E	1	2	7	2013	-1	2	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	3
NS12223E	2	1	12	2010	-1	5	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	3
NS12224F	1	1	11	2011	-1	3	1	2	-1	2	1990	-1	25	2	-1	-1	2	1	1
NS12229L	1	1	5	2006	-1	10	1	-1	-1	-9	-9	29	29	1	-1	-1	-1	2	-1
NS12229L	2	1	8	2011	-1	5	1	-1	-1	-9	-9	30	30	1	-1	-1	-1	1	3
NS12229L	3	1	10	2013	-1	2	1	-1	-1	-9	-9	30	30	1	-1	-1	-1	1	3
NS12232Y	1	2	12	2013	-1	2	1	-1	-9	-1	-1	-1	-1	1	-1	-1	-1	1	4
NS12243T	1	1	9	2010	-1	5	1	-1	-1	-9	-9	30	30	1	-1	-1	-1	2	-1
NS12243T	2	2	12	2012	-1	3	1	-1	-1	-9	-9	30	30	1	-1	-1	-1	2	-1
NS12259V	1	2	6	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12275E	1	1	1	2008	-1	8	1	-1	1	-1	-1	-1	-1	2	-1	-1	1	1	1
NS12275E	2	1	11	2013	-1	2	1	-1	11	5	1991	-1	25	2	-1	-1	1	1	1
NS12277G	1	1	1	2011	-1	4	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	2
NS12277G	2	1	12	2011	-1	3	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	2
NS12278H	1	2	9	2011	-1	4	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	3	-1
NS12285Z	1	1	10	2010	-1	5	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12297W	1	2	10	2011	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12306W	1	2	9	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12315P	1	2	3	2007	-1	8	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12315P	2	1	5	2008	-1	7	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12317R	1	2	12	2014	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12325J	1	1	3	2009	-1	6	1	2	-1	10	1988	-1	27	1	-1	-1	-1	2	-1
NS12325J	2	2	4	2012	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12336E	1	1	4	2012	-1	3	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1
NS12338G	1	2	7	2011	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12342V	1	2	1	2013	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12355S	1	2	3	2006	-1	9	1	-1	-1	-9	-9	29	29	1	-1	-1	-1	2	-1
NS12368Q	1	1	12	2011	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12368Q	2	2	4	2016	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12370B	1	2	10	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12371C	1	1	1	2011	-1	5	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12376H	1	2	1	2006	-1	9	1	-1	11	-9	-9	27	27	1	-1	-1	-1	2	-1
NS12376H	2	1	7	2010	-1	5	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	3
NS12376H	3	2	3	2012	-1	3	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	3
NS12382Y	1	1	9	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12384A	1	1	6	2012	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12384A	2	1	6	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12384A	3	2	12	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12400R	1	1	1	2010	-1	5	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12414Q	1	1	2	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12430A	1	2	9	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12443Y	1	2	3	2009	-1	7	1	2	1	-1	-1	-1	-1	1	-1	-1	-1	2	-1
NS12443Y	2	2	7	2011	-1	4	1	2	1	-1	-1	-1	-1	1	-1	-1	-1	2	-1
NS12448D	1	2	11	2009	-1	6	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12448D	2	2	10	2010	-1	5	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12448D	3	1	3	2013	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12475J	1	2	-9	-9	3	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12486E	1	1	5	2011	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12486E	2	1	3	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12490S	1	1	11	2010	-1	5	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1
NS12490S	2	2	11	2011	-1	4	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1
NS12490S	3	2	1	2013	-1	3	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1
NS12496Z	1	1	-9	-9	1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12516V	1	2	1	2009	-1	7	1	-1	-1	5	1983	-1	33	3	2	1	1	-1	-1
NS12516V	2	2	3	2013	-1	3	1	-1	-1	4	1983	-1	33	3	2	1	1	-1	-1
NS12539M	1	2	12	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12543A	1	2	9	2011	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12543A	2	1	12	2013	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12543A	3	2	10	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12566S	1	1	1	2008	-1	7	1	2	-1	-9	-9	28	28	1	-1	-1	-1	2	-1
NS12566S	2	1	5	2011	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12566S	3	2	12	2012	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12566S	4	1	5	2004	-1	11	3	1	-1	-1	-1	-1	-1	3	2	1	7	-1	-1
NS12566S	5	1	9	2007	-1	8	3	1	-1	-1	-1	-1	-1	3	2	1	6	-1	-1
NS12580A	1	1	1	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12580A	2	2	1	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12581B	1	2	8	2012	-1	3	1	-1	-1	-9	-9	28	28	1	-1	-1	-1	1	2
NS12581B	2	1	2	2012	-1	4	1	-1	-1	-9	-9	28	28	1	-1	-1	-1	1	2
NS12610Q	1	2	12	2009	-1	6	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12610Q	2	2	10	2011	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12638N	1	2	9	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12643C	1	2	9	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12647G	1	2	-9	-9	2	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12647G	2	1	-9	-9	0	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12648H	1	1	9	2004	-1	11	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12673L	1	1	12	2009	-1	6	1	2	1	-1	-1	-1	-1	1	-1	-1	-1	1	3
NS12673L	2	1	5	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12689M	1	1	2	2012	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12689M	2	1	12	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12713W	1	1	4	2009	-1	7	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12713W	2	2	1	2012	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12713W	3	2	8	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12718B	1	2	4	2008	-1	7	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12718B	2	2	8	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12735M	1	2	7	2010	-1	5	1	-1	1	-1	-1	-1	-1	2	-1	-1	1	1	2
NS12746H	1	1	3	2009	-1	7	1	1	-1	-9	-9	25	25	3	2	1	3	-1	-1
NS12751X	1	2	10	2013	-1	2	1	-1	11	-9	-9	22	22	3	1	3	7	2	-1
NS12811W	1	1	8	2010	-1	5	1	-1	1	-1	-1	-1	-1	2	-1	-1	2	4	-1
NS12811W	2	1	3	2014	-1	1	1	-1	11	-9	-9	22	22	3	2	1	5	-1	-1
NS12823S	1	2	11	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12836Q	1	2	12	2009	-1	6	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12836Q	2	1	1	2011	-1	5	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12836Q	3	1	5	2015	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12843G	1	1	12	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12848M	1	2	12	2007	-1	8	1	2	-1	1	1990	-1	26	2	-1	-1	1	1	1
NS12851Z	1	1	-9	-9	-9	-9	1	-1	-1	-9	-9	-9	-9	1	-1	-1	-1	2	-1
NS12851Z	2	2	-9	-9	-9	-9	1	-1	-1	-9	-9	-9	-9	1	-1	-1	-1	2	-1
NS12851Z	3	1	-9	-9	-9	-9	1	-1	-1	-9	-9	-9	-9	1	-1	-1	-1	2	-1
NS12860S	1	2	5	2009	-1	6	1	2	-1	-9	-9	28	28	1	-1	-1	-1	2	-1
NS12860S	2	2	5	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12864X	1	2	6	2006	-1	9	1	-1	-1	-9	-9	25	25	1	-1	-1	-1	1	3
NS12864X	2	2	10	2015	-1	0	1	-1	-1	-9	-9	35	35	1	-1	-1	-1	1	4
NS12865Y	1	1	8	2015	-1	0	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	2	-1
NS12880G	1	1	3	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12899L	1	1	12	2010	-1	5	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12899L	2	2	8	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12902E	1	1	1	2011	-1	5	1	-1	1	-1	-1	-1	-1	3	1	1	1	-1	-1
NS12902E	2	1	1	2013	-1	3	1	-1	1	-1	-1	-1	-1	3	1	1	1	-1	-1
NS12904G	1	2	9	2014	-1	1	1	2	1	-1	-1	-1	-1	1	-1	-1	-1	1	2
NS12925X	1	1	9	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12938V	1	1	9	2015	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12944K	1	1	3	2008	-1	8	1	-1	-1	6	1988	-1	28	1	-1	-1	-1	2	-1
NS12953D	1	1	4	2015	-1	1	1	-1	2	-1	-1	-1	-1	2	-1	-1	1	1	1
NS12953D	2	1	12	2010	-1	5	3	-1	-1	-1	-1	-1	-1	2	-1	-1	1	-1	-1
NS12958J	1	2	8	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12963Y	1	2	4	2011	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS12963Y	2	2	11	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13000D	1	1	-9	-9	-9	-9	1	-1	-1	-9	-9	-9	-9	1	-1	-1	-1	2	-1
NS13002F	1	2	7	2008	-1	7	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13007L	1	1	4	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13015D	1	2	3	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13024X	1	1	12	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13035S	1	1	8	2010	-1	5	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13035S	2	2	6	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13036T	1	2	11	2006	-1	9	1	-1	-1	-9	-9	36	36	1	-1	-1	-1	2	-1
NS13045M	1	2	-9	-9	-9	-9	-9	-1	-1	-1	-1	-1	-1	-9	-1	-1	-1	-1	-1
NS13045M	2	2	-9	-9	-9	-9	-9	-1	-1	-1	-1	-1	-1	-9	-1	-1	-1	-1	-1
NS13056H	1	1	8	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13062Y	1	2	11	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13065B	1	2	2	2013	-1	3	1	-1	1	-1	-1	-1	-1	2	-1	-1	1	1	1
NS13077Y	1	1	6	2015	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13085Q	1	2	4	2016	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13117H	1	2	7	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13128D	1	1	3	2009	-1	6	1	-1	-9	-1	-1	-1	-1	1	-1	-1	-1	2	-1
NS13128D	2	1	4	2013	-1	2	1	-1	-9	-1	-1	-1	-1	1	-1	-1	-1	1	1
NS13129E	1	2	11	2012	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13129E	2	2	10	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13134T	1	2	10	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13141K	1	2	8	2015	-1	0	1	-1	-1	1	1989	-1	26	1	-1	-1	-1	1	1
NS13165D	1	2	10	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13166E	1	1	9	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13166E	2	2	9	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13172V	1	1	-9	-9	3	3	1	-1	1	-1	-1	-1	-1	3	1	1	1	-1	-1
NS13172V	2	1	-9	-9	1	1	1	-1	1	-1	-1	-1	-1	3	2	1	1	-1	-1
NS13192J	1	2	9	2014	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13224B	1	2	7	2010	-1	5	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13229G	1	2	2	2011	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13229G	2	1	9	2010	-1	5	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13239B	1	1	3	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13248V	1	1	8	2011	-1	4	1	-1	1	-1	-1	-1	-1	2	-1	-1	2	1	1
NS13261B	1	2	10	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13262C	1	2	6	2008	-1	7	1	-1	-1	12	1990	-1	25	1	-1	-1	-1	1	1
NS13262C	2	2	7	2010	-1	5	1	-1	-1	12	1990	-1	25	1	-1	-1	-1	1	1
NS13262C	3	2	1	2015	-1	1	1	-1	-1	12	1990	-1	25	1	-1	-1	-1	1	1
NS13275A	1	2	9	2011	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13275A	2	2	6	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13277C	1	2	3	2012	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13283S	1	1	12	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13297R	1	1	-9	-9	7	7	1	2	-1	-9	-9	25	25	1	-1	-1	-1	1	5
NS13297R	2	2	-9	-9	5	5	1	2	-1	-9	-9	25	25	1	-1	-1	-1	1	5
NS13297R	3	1	-9	-9	2	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13301L	1	1	10	2014	-1	1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	2
NS13317M	1	2	10	2012	-1	2	1	-1	-1	8	1985	-1	30	1	-1	-1	-1	1	2
NS13319P	1	2	6	2008	-1	7	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1
NS13330T	1	2	1	2009	-1	7	1	2	1	-1	-1	-1	-1	2	-1	-1	2	1	1
NS13331V	1	2	11	2013	-1	1	1	-1	1	-1	-1	-1	-1	3	1	1	7	-1	-1
NS13341P	1	1	3	2012	-1	4	1	-1	-1	10	1990	-1	25	3	2	1	1	-1	-1
NS13341P	2	1	11	2010	-1	5	1	-1	-1	11	1990	-1	25	3	2	9	-1	-1	-1
NS13349Y	1	1	3	2010	-1	6	1	2	-1	3	1992	-1	24	1	-1	-1	-1	1	2
NS13349Y	2	2	6	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13351J	1	1	12	2013	-1	2	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	2
NS13351J	2	2	10	2015	-1	0	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	2
NS13372Z	1	1	7	2012	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13372Z	2	2	12	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13375C	1	2	1	2013	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13386Y	1	2	2	2012	-1	3	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	3
NS13390L	1	1	2	2009	-1	7	1	2	-1	10	1979	-1	36	1	-1	-1	-1	1	4
NS13390L	2	2	10	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS13392N	1	1	8	2010	-1	5	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	2	-1
NS13402P	1	1	12	2008	-1	7	1	2	-1	-9	-9	27	27	3	2	1	7	-1	-1
