NSID	W8CHID	W8NCHSEX	W8NCHDOBM	W8NCHDOBY	W8NCHRAGE	W8DNCHRAGE	W8NCHREL	W8NCHRELP	W8PARNAME	W8PARDOBM	W8PARDOBY	W8PARAGE	W8DPARAGE	W8NCHPRES	W8NCHEVLV	W8CHDLIVE	W8ABCHG91	W8COPA	W8SEOF
NS10483K	3	1	12	2012	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10485M	1	1	11	2008	-1	6	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	2	-1
NS10494F	1	1	9	2009	-1	6	1	-1	-1	-9	-9	23	23	2	-1	-1	2	1	1
NS10522T	1	1	1	2014	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10537T	1	2	10	2012	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10537T	2	2	4	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10544K	1	2	12	2012	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10544K	2	2	4	2015	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10573S	1	1	8	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10581K	1	2	5	2009	-1	6	1	-1	-1	-9	-9	28	28	1	-1	-1	-1	1	3
NS10581K	2	1	-9	-9	4	4	1	-1	-1	-9	-9	28	28	1	-1	-1	-1	1	3
NS10590D	1	2	10	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10590D	2	1	4	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10598M	1	2	10	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10598M	2	1	8	2010	-1	5	3	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10602G	1	1	-9	-9	11	11	3	1	-1	-1	-1	-1	-1	3	2	1	2	-1	-1
NS10608N	1	2	8	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10610Z	1	1	6	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10633R	1	2	1	2010	-1	5	1	2	-8	-1	-1	-1	-1	1	-1	-1	-1	2	-1
NS10633R	2	1	8	2011	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10642K	1	2	10	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10649S	1	2	9	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10666D	1	2	4	2015	-1	0	1	-1	-1	11	1990	-1	24	3	2	1	1	-1	-1
NS10683P	1	2	3	2012	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10683P	2	1	4	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10684Q	1	2	12	2010	-1	5	1	-1	-1	2	1987	-1	28	1	-1	-1	-1	1	2
NS10689W	1	1	5	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10711C	1	2	10	2012	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10720W	1	1	4	2014	-1	1	1	-1	-1	5	1991	-1	24	3	1	1	1	-1	-1
NS10732S	1	1	3	2012	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10732S	2	1	12	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10765E	1	1	5	2012	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10783R	1	2	3	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10786V	1	1	1	2012	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10806Q	1	2	1	2012	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10812F	1	2	7	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10812F	2	2	7	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10825D	1	2	9	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10825D	2	1	6	2012	-1	3	1	2	-1	-9	-9	25	25	3	2	1	2	-1	-1
NS10841N	1	1	12	2008	-1	7	1	1	-1	-1	-1	-1	-1	3	1	4	2	-1	-1
NS10841N	2	1	2	2010	-1	6	1	1	-1	-1	-1	-1	-1	3	1	4	2	-1	-1
NS10841N	3	1	5	2015	-1	1	1	1	-1	-1	-1	-1	-1	3	1	6	1	-1	-1
NS10847V	1	1	12	2013	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10849X	1	2	5	2010	-1	5	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10851H	1	1	1	2011	-1	5	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10851H	2	2	4	2012	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10851H	3	1	1	2015	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10862D	1	2	10	2007	-1	8	1	2	1	-1	-1	-1	-1	1	-1	-1	-1	1	3
NS10862D	2	2	12	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10865G	1	2	4	2001	-1	14	3	1	-1	-1	-1	-1	-1	3	2	1	3	-1	-1
NS10865G	2	1	10	2006	-1	9	3	1	-1	-1	-1	-1	-1	3	2	1	5	-1	-1
NS10865G	3	1	4	2010	-1	5	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10865G	4	1	5	2012	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10865G	5	2	6	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10875B	1	1	3	2011	-1	4	1	-1	1	-1	-1	-1	-1	2	-1	-1	2	1	2
NS10875B	2	1	2	2011	-1	4	1	-1	1	-1	-1	-1	-1	2	-1	-1	2	1	2
NS10878E	1	1	9	2011	-1	4	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1
NS10878E	2	1	8	2014	-1	1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1
NS10879F	1	1	8	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10912H	1	2	6	2012	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10939E	1	2	1	2009	-1	7	1	-1	11	-9	-9	-9	-9	1	-1	-1	-1	1	3
NS10944T	1	2	8	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10944T	2	2	2	2016	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10950J	1	1	1	2015	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10975D	1	1	5	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10975D	2	1	8	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11006T	1	1	10	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11020B	1	1	6	2009	-1	6	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	3
NS11020B	2	2	-9	-9	5	5	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	3
NS11020B	3	1	9	2012	-1	3	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	3
NS11039F	1	1	9	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11081V	1	2	2	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11081V	2	2	1	2016	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11096V	1	2	5	2012	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11096V	2	1	8	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11109Z	1	2	3	2012	-1	3	1	-1	-1	-9	-9	28	28	1	-1	-1	-1	2	-1
NS11154R	1	1	2	2012	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11154R	2	2	7	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11155S	1	1	8	2010	-1	5	1	2	1	-1	-1	-1	-1	1	-1	-1	-1	2	-1
NS11155S	2	1	12	2012	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11168Q	1	1	9	2010	-1	5	1	2	1	-1	-1	-1	-1	3	1	1	2	-1	-1
NS11178K	1	1	10	2012	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11178K	2	2	2	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11179L	1	1	12	2007	-1	8	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	2
NS11179L	2	2	8	2011	-1	4	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	2
NS11179L	3	2	10	2014	-1	1	1	-1	11	7	1976	-1	39	1	-1	-1	-1	1	1
