NSID	W8BENID	W8BENA	W8BENP2	W8BENA3	W8BENW
NS10847V	23	15	1	-1	15
NS10849X	2	-8	-8	-1	-1
NS10849X	21	-8	-8	-1	-1
NS10851H	21	190	4	5	43
NS10851H	23	700	4	5	161
NS10862D	21	30	4	1	30
NS10865G	21	190	2	-1	43
NS10865G	22	282	2	-1	65
NS10865G	23	600	2	-1	138
NS10871X	1	125	4	2	62
NS10871X	28	250	4	2	125
NS10871X	29	68	2	-1	15
NS10875B	2	144	4	2	72
NS10875B	21	128	4	4	32
NS10875B	23	117	1	-1	117
NS10875B	28	392	4	4	98
NS10875B	29	80	2	-1	18
NS10878E	2	150	4	2	75
NS10878E	21	30	1	-1	30
NS10878E	23	15	4	1	15
NS10878E	28	550	2	-1	127
NS10878E	29	0	-8	-1	-8
NS10879F	21	82	2	-1	18
NS10909W	22	73	2	-1	16
NS10912H	21	20	1	-1	20
NS10912H	22	-8	-8	-1	-1
NS10912H	23	-8	-8	-1	-1
NS10939E	21	82	2	-1	18
NS10939E	22	600	2	-1	138
NS10939E	23	0	2	-1	0
NS10944T	21	132	2	-1	30
NS10950J	21	-9	-9	-1	-1
NS10975D	21	-8	-8	-1	-1
NS10975D	22	-8	-8	-1	-1
NS10975D	23	-8	-8	-1	-1
NS10975D	28	-8	-8	-1	-1
NS11004R	15	1500	4	11	57
NS11006T	21	82	2	-1	18
NS11015M	4	500	4	4	125
NS11020B	2	140	4	2	70
NS11020B	21	47	1	-1	47
NS11020B	23	147	4	1	147
NS11039F	21	20	1	-1	20
NS11039F	23	42	1	-1	42
NS11073C	29	30	2	-1	6
NS11077G	21	80	4	4	20
NS11077G	23	300	2	-1	69
NS11081V	21	38	1	-1	38
NS11081V	23	-8	-8	-1	-1
NS11096V	21	33	1	-1	33
NS11096V	22	109	1	-1	109
NS11096V	23	80	1	-1	80
NS11097W	1	300	4	5	69
NS11098X	4	102	1	-1	102
NS11109Z	21	20	1	-1	20
NS11109Z	23	63	1	-1	63
