NSID	W8BENID	W8BENA	W8BENP2	W8BENA3	W8BENW
NS13349Y	2	125	2	-1	28
NS13349Y	21	34	1	-1	34
NS13349Y	23	112	4	1	112
NS13349Y	28	93	4	1	93
NS13349Y	29	-8	1	-1	-1
NS13351J	21	137	2	-1	31
NS13351J	22	-8	-8	-1	-1
NS13351J	23	-8	3	-1	-1
NS13364G	22	50	4	1	50
NS13372Z	1	0	-8	-1	-8
NS13372Z	21	33	1	-1	33
NS13372Z	23	130	1	-1	130
NS13372Z	28	0	-8	-1	-8
NS13372Z	29	0	-8	-1	-8
NS13375C	21	-8	-8	-1	-1
NS13375C	22	-8	-8	-1	-1
NS13375C	23	-8	-8	-1	-1
NS13375C	28	30	4	4	7
NS13384W	4	250	4	2	125
NS13386Y	21	20	1	-1	20
NS13386Y	22	60	1	-1	60
NS13386Y	23	70	1	-1	70
NS13386Y	28	20	2	-1	4
NS13386Y	29	20	2	-1	4
NS13390L	21	130	2	-1	30
NS13390L	22	350	1	-1	350
NS13390L	23	0	1	-1	0
NS13392N	21	81	2	-1	18
NS13392N	22	1900	3	-1	36
NS13392N	23	545	3	-1	10
NS13397T	1	0	-9	-1	-8
NS13397T	28	0	-8	-1	-8
NS13397T	29	0	-9	-1	-8
NS13402P	4	600	4	4	150
NS13402P	28	-8	-8	-1	-1
NS13402P	29	-8	-8	-1	-1
NS13404R	21	80	2	-1	18
NS13404R	23	80	2	-1	18
NS13405S	21	83	2	-1	19
NS13406T	21	130	4	4	32
NS13406T	22	15	1	-1	15
NS13406T	23	85	1	-1	85
NS13439F	4	250	4	2	125
NS13439F	7	174	2	-1	40
NS13452M	1	70	1	-1	70
NS13459V	21	130	2	-1	30
NS13461F	7	74	2	-1	17
NS13477G	22	-8	-8	-1	-1
NS13500P	4	209	2	-1	48
NS13500P	7	142	4	1	142
NS13512L	21	48	1	-1	48
NS13512L	22	5	4	1	5
NS13512L	23	168	1	-1	168
NS13512L	28	100	4	4	25
NS13512L	29	1	4	4	0
NS13525J	7	230	2	-1	53
NS13526K	21	21	1	-1	21
NS13526K	23	68	1	-1	68
NS13530Y	4	140	4	2	70
NS13530Y	21	110	1	-1	110
NS13530Y	28	90	1	-1	90
NS13530Y	29	14	2	-1	3
NS13541T	21	192	4	4	48
NS13541T	22	9	4	1	9
NS13541T	23	160	4	1	160
NS13541T	28	230	4	5	53
NS13541T	29	12	1	-1	12
NS13542V	2	144	4	2	72
NS13542V	21	115	1	-1	115
NS13542V	23	30	1	-1	30
NS13542V	28	57	1	-1	57
NS13558W	21	48	1	-1	48
NS13558W	22	39	1	-1	39
NS13558W	23	160	1	-1	160
NS13560G	21	38	4	1	38
NS13560G	22	43	4	1	43
NS13560G	23	138	4	1	138
NS13563K	22	90	4	1	90
NS13571C	21	92	4	4	23
NS13579L	4	250	4	2	125
NS13591R	21	27	1	-1	27
NS13591R	22	70	1	-1	70
NS13591R	23	130	1	-1	130
NS13591R	28	23	1	-1	23
NS13591R	29	-8	-8	-1	-1
NS13607Z	21	34	1	-1	34
NS13607Z	22	115	4	1	115
NS13607Z	23	0	1	-1	0
NS13622H	21	83	2	-1	19
NS13627N	2	71	1	-1	71
NS13627N	21	130	2	-1	30
NS13627N	23	400	2	-1	92
NS13627N	28	1100	2	-1	254
NS13627N	29	90	2	-1	20
NS13629Q	4	100	4	2	50
NS13634E	29	30	2	-1	6
NS13644Z	21	82	4	4	20
NS13657X	21	20	1	-1	20
NS13657X	22	40	1	-1	40
NS13657X	23	41	1	-1	41
NS13675J	21	80	2	-1	18
NS13682A	4	370	4	2	185
NS13682A	5	0	-8	-1	-8
NS13682A	7	400	4	4	100
NS13682A	28	170	4	2	85
NS13682A	29	-8	-8	-1	-1
NS13686E	4	250	2	-1	57
NS13686E	7	307	2	-1	70
NS13686E	28	-8	-8	-1	-1
NS13686E	29	-8	-8	-1	-1
NS13704Y	21	80	2	-1	18
NS13709D	2	91	4	2	45
NS13709D	6	248	2	-1	57
NS13722K	2	107	4	2	53
NS13722K	21	21	1	-1	21
NS13722K	23	64	1	-1	64
NS13723L	21	137	2	-1	31
NS13728R	21	80	2	-1	18
NS13735H	21	20	1	-1	20
NS13749G	21	135	2	-1	31
NS13749G	22	75	1	-1	75
NS13749G	23	115	1	-1	115
NS13749G	28	441	2	-1	101
NS13749G	29	20	1	-1	20
NS13753V	21	20	1	-1	20
NS13753V	22	60	1	-1	60
NS13753V	23	60	1	-1	60
NS13753V	28	157	1	-1	157
NS13753V	29	-8	-8	-1	-1
NS13754W	2	140	4	2	70
NS13754W	21	63	1	-1	63
NS13754W	23	20	1	-1	20
NS13758A	1	113	4	2	56
NS13758A	21	20	1	-1	20
NS13758A	23	59	1	-1	59
NS13758A	28	89	1	-1	89
NS13758A	29	-8	-8	-1	-1
NS13761M	21	80	4	5	18
NS13761M	23	100	4	1	100
NS13768V	2	220	4	2	110
NS13768V	7	200	4	4	50
NS13768V	21	70	4	4	17
NS13768V	23	200	4	4	50
NS13768V	28	400	2	-1	92
NS13777N	21	33	1	-1	33
NS13783D	21	20	1	-1	20
NS13783D	22	62	1	-1	62
NS13783D	23	62	1	-1	62
NS13783D	28	450	2	-1	103
NS13783D	29	600	3	-1	11
NS13787H	4	250	4	2	125
NS13787H	21	34	1	-1	34
NS13787H	23	114	1	-1	114
NS13787H	28	0	1	-1	0
NS13789K	21	84	2	-1	19
NS13797C	21	-8	-8	-1	-1
NS13797C	23	-8	-8	-1	-1
NS13798D	4	120	1	-1	120
NS13804A	21	100	4	5	23
NS13807D	21	20	4	1	20
NS13807D	23	50	4	1	50
NS13815W	1	115	4	2	57
NS13815W	21	33	1	-1	33
NS13815W	23	103	1	-1	103
NS13815W	28	70	1	-1	70
NS13815W	29	16	1	-1	16
NS13826R	21	82	4	4	20
NS13827S	7	87	2	-1	20
NS13828T	21	21	4	1	21
NS13834J	4	73	1	-1	73
NS13834J	28	118	1	-1	118
NS13849J	21	138	4	4	34
NS13862Q	4	216	4	2	108
NS13862Q	7	316	2	-1	72
NS13862Q	21	80	2	-1	18
NS13862Q	22	630	4	4	157
NS13862Q	23	300	2	-1	69
NS13914X	4	130	2	-1	30
NS13928W	2	73	1	-1	73
NS13928W	21	82	4	4	20
NS13928W	23	64	1	-1	64
NS13928W	28	0	4	15	-8
NS13928W	29	0	4	15	-8
NS13929X	21	20	1	-1	20
NS13952Y	21	0	4	15	-8
NS13952Y	22	0	1	-1	0
NS13952Y	23	80	2	-1	18
NS13956C	21	-8	-8	-1	-1
NS13956C	23	-8	-8	-1	-1
NS13965W	7	220	4	4	55
NS13966X	2	65	1	-1	65
NS13966X	21	30	1	-1	30
NS13966X	23	50	1	-1	50
NS13966X	28	300	2	-1	69
NS13966X	29	20	1	-1	20
NS13971L	21	137	4	4	34
NS13971L	23	246	4	4	61
NS13973N	2	139	4	2	69
NS13973N	21	34	1	-1	34
NS13973N	23	105	1	-1	105
NS13973N	28	414	4	4	103
NS13973N	29	-8	-8	-1	-1
NS13979V	21	80	2	-1	18
NS13988N	4	250	4	2	125
NS13988N	7	150	2	-1	34
NS13988N	28	440	2	-1	101
NS13988N	29	500	4	15	-8
NS14012W	21	20	1	-1	20
NS14025T	21	20	1	-1	20
NS14025T	23	60	2	-1	13
NS14025T	29	0	3	-1	0
NS14028X	21	21	1	-1	21
NS14028X	22	12	1	-1	12
NS14028X	23	62	1	-1	62
NS14029Y	22	91	1	-1	91
NS14036P	21	34	1	-1	34
NS14050X	2	120	4	2	60
NS14050X	21	60	1	-1	60
NS14056D	21	80	4	4	20
NS14064W	21	21	1	-1	21
NS14064W	22	136	4	1	136
NS14064W	23	0	1	-1	0
NS14064W	28	61	4	1	61
NS14077T	29	-8	3	-1	-1
NS14079W	21	82	2	-1	18
NS14079W	22	100	4	4	25
NS14079W	23	250	4	4	62
NS14080F	21	20	1	-1	20
NS14082H	17	57	2	-1	13
NS14090A	18	60	2	-1	13
NS14102D	21	82	4	5	18
NS14102D	23	82	4	5	18
NS14104F	2	-8	-8	-1	-1
NS14104F	21	-8	-8	-1	-1
NS14104F	22	-8	-8	-1	-1
NS14104F	23	-8	-8	-1	-1
NS14105G	21	-9	-9	-1	-1
NS14110W	21	38	1	-1	38
NS14110W	22	160	1	-1	160
NS14110W	23	0	1	-1	0
NS14110W	28	71	1	-1	71
NS14110W	29	55	2	-1	12
NS14123T	21	80	4	4	20
NS14127Y	21	80	2	-1	18
NS14127Y	22	130	1	-1	130
NS14139V	2	-8	-8	-1	-1
NS14139V	5	-8	-8	-1	-1
NS14140E	7	410	2	-1	94
NS14148N	21	20	1	-1	20
NS14148N	22	125	1	-1	125
NS14148N	23	0	1	-1	0
NS14166A	21	80	2	-1	18
NS14180H	29	35	2	-1	8
NS14190C	21	48	1	-1	48
NS14190C	23	766	2	-1	176
NS14191D	7	-9	4	15	-1
NS14191D	21	30	1	-1	30
NS14191D	23	30	1	-1	30
NS14208M	21	-9	-9	-1	-1
NS14208M	23	-9	-9	-1	-1
NS14210Y	22	45	2	-1	10
NS14211Z	2	92	4	2	46
NS14211Z	6	50	4	1	50
NS14211Z	7	300	4	4	75
NS14211Z	21	80	4	4	20
NS14211Z	23	62	4	1	62
NS14211Z	28	0	-8	-1	-8
NS14211Z	29	0	-8	-1	-8
NS14234R	21	20	1	-1	20
NS14234R	23	-9	1	-1	-1
NS14244L	4	400	4	2	200
NS14244L	28	390	2	-1	90
NS14244L	29	-8	-8	-1	-1
NS14248Q	21	180	4	4	45
NS14252D	1	133	4	2	66
NS14252D	21	34	1	-1	34
NS14252D	23	115	1	-1	115
NS14252D	28	97	1	-1	97
NS14252D	29	-8	-8	-1	-1
NS14261X	4	146	4	2	73
NS14262Y	21	82	2	-1	18
NS14281L	21	160	4	4	40
NS14281L	22	0	4	4	0
NS14281L	29	0	4	4	0
NS14313D	4	224	4	2	112
NS14313D	7	220	2	-1	50
NS14320V	1	-9	-9	-1	-1
NS14320V	2	140	4	1	140
NS14320V	8	2	-9	-1	-8
NS14320V	21	130	2	-1	30
NS14320V	22	-9	-9	-1	-1
NS14320V	23	122	2	-1	28
NS14320V	29	3	1	-1	3
NS14324Z	7	400	4	4	100
NS14334T	21	82	2	-1	18
NS14341K	1	145	4	2	72
NS14341K	28	280	4	5	64
NS14341K	29	50	4	5	11
NS14347R	4	214	4	2	107
NS14371T	2	120	4	2	60
NS14371T	21	192	4	4	48
NS14371T	28	450	4	4	112
NS14371T	29	10	1	-1	10
NS14373W	21	82	2	-1	18
NS14386T	21	20	1	-1	20
NS14398Q	2	120	4	2	60
NS14398Q	21	60	1	-1	60
NS14398Q	23	120	1	-1	120
NS14398Q	28	550	4	5	127
NS14398Q	29	-8	-8	-1	-1
NS14407Q	2	145	4	2	72
NS14408R	21	80	2	-1	18
NS14412E	1	146	4	2	73
NS14436Y	21	80	4	4	20
NS14443P	21	-8	-8	-1	-1
NS14447T	1	144	4	2	72
NS14447T	21	80	2	-1	18
NS14447T	28	80	1	-1	80
NS14447T	29	15	1	-1	15
NS14464E	21	81	4	4	20
NS14464E	23	150	4	4	37
NS14464E	28	350	4	2	175
NS14464E	29	395	3	-1	7
NS14469K	2	276	4	2	138
NS14469K	6	61	1	-1	61
NS14469K	7	220	2	-1	50
NS14469K	21	35	1	-1	35
NS14469K	22	0	-9	-1	-8
NS14469K	23	117	1	-1	117
NS14469K	28	84	1	-1	84
NS14469K	29	-8	-8	-1	-1
NS14474Z	1	110	1	-1	110
NS14474Z	21	62	1	-1	62
NS14474Z	23	200	1	-1	200
NS14474Z	28	98	1	-1	98
NS14474Z	29	16	1	-1	16
NS14475A	21	82	2	-1	18
NS14480P	4	100	1	-1	100
NS14480P	7	100	1	-1	100
NS14481Q	21	130	2	-1	30
NS14491K	21	30	1	-1	30
NS14499T	2	56	2	-1	12
NS14499T	21	56	2	-1	12
NS14499T	28	56	2	-1	12
NS14509V	21	20	1	-1	20
NS14509V	23	63	1	-1	63
NS14512G	21	20	1	-1	20
NS14512G	22	50	1	-1	50
NS14512G	23	50	1	-1	50
NS14512G	28	60	1	-1	60
NS14512G	29	0	2	-1	0
NS14517M	21	34	1	-1	34
NS14517M	22	50	1	-1	50
NS14517M	23	150	1	-1	150
NS14517M	28	89	1	-1	89
NS14517M	29	3	1	-1	3
NS14524D	21	80	4	4	20
NS14542Q	21	80	2	-1	18
NS14559S	4	225	4	2	112
NS14566J	21	137	2	-1	31
NS14569M	21	48	1	-1	48
NS14569M	22	50	1	-1	50
NS14569M	23	170	1	-1	170
NS14569M	28	136	4	2	68
NS14569M	29	5	1	-1	5
NS14570X	14	369	2	-1	85
NS14578F	21	80	2	-1	18
NS14584W	21	30	4	2	15
NS14592N	1	73	1	-1	73
NS14597T	21	136	2	-1	31
NS14617P	21	134	4	4	33
NS14617P	23	229	4	4	57
NS14637D	21	-9	-9	-1	-1
NS14652M	7	320	2	-1	73
NS14654P	7	180	2	-1	41
NS14654P	21	134	2	-1	30
NS14669P	1	146	4	2	73
NS14669P	21	63	1	-1	63
NS14669P	23	63	1	-1	63
NS14679J	2	0	1	-1	0
NS14679J	7	0	1	-1	0
NS14679J	21	134	4	4	33
NS14679J	23	469	4	4	117
NS14679J	28	0	1	-1	0
NS14679J	29	0	3	-1	0
NS14698X	21	20	4	1	20
NS14698X	23	58	1	-1	58
NS14730Y	21	61	2	-1	14
NS14743W	1	124	4	2	62
NS14743W	21	20	4	1	20
NS14743W	23	63	1	-1	63
NS14748B	2	70	4	2	35
NS14759X	4	54	1	-1	54
NS14759X	28	70	1	-1	70
NS14759X	29	0	-8	-1	-8
NS14768Q	1	104	4	2	52
NS14768Q	28	-8	-8	-1	-1
NS14768Q	29	-8	-8	-1	-1
NS14793T	21	33	4	1	33
NS14793T	22	150	4	1	150
NS14793T	23	545	4	4	136
NS14793T	28	250	2	-1	57
NS14793T	29	400	3	-1	7
NS14794V	21	105	2	-1	24
NS14795W	21	137	4	4	34
NS14801S	21	-8	-8	-1	-1
NS14801S	22	-8	-8	-1	-1
NS14801S	23	-8	-8	-1	-1
NS14801S	28	-8	-8	-1	-1
NS14801S	29	-8	-8	-1	-1
NS14806Y	21	80	2	-1	18
NS14806Y	22	-9	1	-1	-1
NS14806Y	23	-8	-8	-1	-1
NS14831B	2	140	4	2	70
NS14831B	21	20	1	-1	20
NS14831B	23	60	1	-1	60
NS14861K	22	30	4	5	6
NS14866Q	21	82	2	-1	18
NS14875J	7	300	2	-1	69
NS14880Y	21	192	2	-1	44
NS14887F	21	20	1	-1	20
NS14887F	23	20	1	-1	20
NS14893W	21	82	2	-1	18
NS14907B	21	302	2	-1	69
NS14907B	23	1100	2	-1	254
NS14931D	2	130	4	2	65
NS14931D	4	130	4	2	65
NS14931D	7	200	2	-1	46
NS14932E	23	81	2	-1	18
NS14945C	2	146	4	2	73
NS14945C	21	82	4	4	20
NS14945C	23	65	1	-1	65
NS14946D	21	38	1	-1	38
NS14958A	21	138	2	-1	31
NS14958A	23	214	2	-1	49
NS14966S	21	106	1	-1	106
NS14966S	23	106	1	-1	106
NS14971G	4	120	2	-1	27
NS14971G	7	200	2	-1	46
NS14971G	21	130	2	-1	30
NS14971G	23	500	2	-1	115
NS14971G	28	280	2	-1	64
NS14971G	29	30	2	-1	6
NS14977N	18	0	2	-1	0
NS14981B	2	100	4	2	50
NS14981B	21	21	1	-1	21
NS14981B	23	63	1	-1	63
NS14981B	28	108	1	-1	108
NS14981B	29	-8	-8	-1	-1
NS15009E	21	82	2	-1	18
NS15010P	7	307	4	4	76
NS15010P	21	1	4	1	1
NS15012R	21	137	4	4	34
NS15012R	22	59	4	4	14
NS15012R	23	405	4	4	101
NS15012R	28	19	4	2	9
NS15012R	29	10	1	-1	10
NS15018Y	21	20	1	-1	20
NS15019Z	21	34	4	1	34
NS15019Z	22	61	4	1	61
NS15019Z	23	110	4	1	110
NS15019Z	28	149	4	2	74
NS15019Z	29	400	4	12	7
NS15020J	21	20	1	-1	20
NS15020J	22	180	1	-1	180
NS15020J	23	60	1	-1	60
NS15039N	21	82	2	-1	18
NS15050S	21	0	-8	-1	-8
NS15050S	22	0	-8	-1	-8
NS15050S	23	0	-8	-1	-8
NS15058B	21	80	2	-1	18
NS15061N	21	81	4	4	20
NS15071H	21	52	1	-1	52
NS15071H	22	0	-8	-1	-8
NS15071H	23	0	1	-1	0
NS15071H	28	-8	-8	-1	-1
NS15074L	21	-9	-9	-1	-1
NS15076N	21	83	4	4	20
NS15076N	22	74	4	1	74
NS15076N	23	62	1	-1	62
NS15082D	1	144	4	2	72
NS15096C	4	250	4	2	125
NS15098E	28	37	1	-1	37
NS15098E	29	37	1	-1	37
NS15111S	2	146	1	-1	146
NS15111S	21	82	1	-1	82
NS15111S	28	230	4	2	115
NS15111S	29	-8	-8	-1	-1
NS15116Y	22	55	4	4	13
NS15128V	21	20	1	-1	20
NS15128V	23	70	1	-1	70
NS15128V	28	576	2	-1	133
NS15130F	1	146	4	2	73
NS15149K	14	-8	4	4	-1
NS15159E	21	137	4	4	34
NS15159E	22	80	1	-1	80
NS15159E	23	180	1	-1	180
NS15159E	28	50	1	-1	50
NS15159E	29	15	1	-1	15
NS15164T	1	120	4	2	60
NS15165V	18	66	2	-1	15
NS15176Q	1	229	2	-1	52
NS15176Q	21	34	1	-1	34
NS15176Q	23	113	1	-1	113
NS15176Q	28	700	2	-1	161
NS15178S	21	20	4	1	20
NS15178S	23	25	4	5	5
NS15182F	21	21	4	1	21
NS15202B	1	110	1	-1	110
NS15202B	21	30	1	-1	30
NS15202B	23	-8	1	-1	-1
NS15202B	28	95	1	-1	95
NS15202B	29	-8	1	-1	-1
NS15220N	21	20	1	-1	20
NS15220N	22	70	1	-1	70
NS15220N	23	60	1	-1	60
NS15220N	28	40	1	-1	40
NS15220N	29	10	1	-1	10
NS15228X	21	20	1	-1	20
NS15228X	22	120	1	-1	120
NS15228X	23	60	1	-1	60
NS15228X	28	80	1	-1	80
NS15228X	29	80	2	-1	18
NS15256D	21	-9	-9	-1	-1
NS15278V	4	70	1	-1	70
NS15294E	21	80	2	-1	18
NS15305G	1	140	4	2	70
NS15322S	7	-9	-9	-1	-1
NS15324V	7	-9	-9	-1	-1
NS15335Q	21	34	4	1	34
NS15335Q	23	117	4	1	117
NS15339V	21	30	4	1	30
NS15339V	23	150	4	1	150
NS15339V	28	-8	-8	-1	-1
NS15339V	29	-9	-9	-1	-1
NS15352B	4	200	4	2	100
NS15352B	7	300	4	4	75
NS15355E	2	60	1	-1	60
NS15355E	21	20	1	-1	20
NS15355E	23	424	2	-1	97
NS15355E	28	-8	-8	-1	-1
NS15355E	29	-8	-8	-1	-1
NS15370N	21	21	1	-1	21
NS15370N	22	265	2	-1	61
NS15370N	23	63	1	-1	63
NS15382K	21	38	1	-1	38
NS15393F	21	30	1	-1	30
NS15399M	21	34	1	-1	34
NS15399M	23	100	1	-1	100
NS15402F	21	20	1	-1	20
NS15402F	22	125	1	-1	125
NS15402F	23	0	4	1	0
NS15402F	28	338	4	4	84
NS15402F	29	0	4	4	0
NS15409N	2	460	4	4	115
NS15409N	28	85	1	-1	85
NS15409N	29	10	1	-1	10
NS15416E	1	229	4	2	114
NS15416E	21	34	1	-1	34
NS15416E	23	121	1	-1	121
NS15416E	28	65	1	-1	65
NS15416E	29	0	-8	-1	-8
NS15427A	21	83	2	-1	19
NS15440G	1	146	4	2	73
NS15449R	21	21	4	1	21
NS15449R	22	254	2	-1	58
NS15449R	23	254	4	5	58
NS15454F	21	46	1	-1	46
NS15454F	22	40	1	-1	40
NS15454F	23	169	1	-1	169
NS15454F	28	6	1	-1	6
NS15454F	29	-8	4	4	-1
NS15456H	1	114	1	-1	114
NS15456H	21	34	1	-1	34
NS15456H	23	114	1	-1	114
NS15456H	28	110	1	-1	110
NS15456H	29	119	2	-1	27
NS15476X	21	20	1	-1	20
NS15476X	23	52	1	-1	52
NS15483N	4	250	4	2	125
NS15483N	7	77	1	-1	77
NS15483N	28	109	1	-1	109
NS15483N	29	19	1	-1	19
NS15502H	1	72	1	-1	72
NS15502H	28	220	2	-1	50
NS15506M	21	34	1	-1	34
NS15506M	22	50	1	-1	50
NS15506M	23	178	1	-1	178
NS15506M	28	470	4	4	117
NS15506M	29	40	4	4	10
NS15514E	21	130	2	-1	30
NS15517H	21	137	2	-1	31
NS15544N	21	20	1	-1	20
NS15548S	21	80	4	5	18
NS15566E	21	20	1	-1	20
NS15566E	23	36	1	-1	36
NS15567F	2	140	4	2	70
NS15567F	21	20	1	-1	20
NS15567F	23	60	1	-1	60
NS15567F	28	450	2	-1	103
NS15567F	29	10	2	-1	2
NS15572V	21	82	2	-1	18
NS15572V	22	89	1	-1	89
NS15572V	23	89	1	-1	89
NS15578B	29	90	2	-1	20
NS15593K	4	142	4	2	71
NS15593K	28	0	1	-1	0
NS15593K	29	5	1	-1	5
NS15628F	22	-8	-8	-1	-1
NS15629G	2	91	4	2	45
NS15629G	6	248	4	4	62
NS15639B	21	82	2	-1	18
NS15639B	22	-8	4	4	-1
NS15639B	23	-8	4	4	-1
NS15639B	28	-8	2	-1	-1
NS15639B	29	-8	2	-1	-1
NS15646S	1	72	1	-1	72
NS15646S	21	72	1	-1	72
NS15657N	21	39	1	-1	39
NS15657N	22	40	1	-1	40
NS15657N	23	110	1	-1	110
NS15657N	28	40	1	-1	40
NS15657N	29	9	3	-1	0
NS15662C	1	219	4	2	109
NS15662C	21	48	1	-1	48
NS15662C	23	165	1	-1	165
NS15662C	28	490	2	-1	113
NS15662C	29	150	2	-1	34
NS15664E	2	72	1	-1	72
NS15664E	21	20	1	-1	20
NS15664E	23	60	1	-1	60
NS15664E	28	110	1	-1	110
NS15684T	21	80	2	-1	18
NS15689Z	21	1	-8	-1	-8
NS15689Z	22	-8	-8	-1	-1
NS15689Z	23	-8	-8	-1	-1
NS15693M	22	150	1	-1	150
NS15694N	4	204	4	2	102
NS15694N	21	33	1	-1	33
NS15694N	23	117	1	-1	117
NS15694N	28	480	2	-1	110
NS15694N	29	-8	2	-1	-1
NS15696Q	4	229	4	2	114
NS15696Q	21	135	4	4	33
NS15696Q	23	120	1	-1	120
NS15696Q	28	101	1	-1	101
NS15696Q	29	90	2	-1	20
NS15704P	21	82	2	-1	18
NS15705Q	21	-9	-9	-1	-1
NS15710E	1	73	1	-1	73
NS15711F	21	-8	1	-1	-1
NS15711F	22	-8	-8	-1	-1
NS15711F	23	-8	-8	-1	-1
NS15711F	28	140	4	2	70
NS15714J	21	82	2	-1	18
NS15714J	22	53	1	-1	53
NS15714J	23	62	2	-1	14
NS15750H	22	20	2	-1	4
NS15770X	21	82	2	-1	18
NS15775C	2	140	4	2	70
NS15775C	21	20	1	-1	20
NS15775C	23	240	2	-1	55
NS15778F	18	-8	-8	-1	-1
NS15780R	21	137	4	4	34
NS15780R	22	80	1	-1	80
NS15780R	23	110	1	-1	110
NS15784W	5	-8	-8	-1	-1
NS15784W	7	-8	-8	-1	-1
NS15787Z	21	50	2	-1	11
NS15787Z	23	82	2	-1	18
NS15797T	21	20	1	-1	20
NS15826H	22	50	1	-1	50
NS15833Z	21	20	4	1	20
NS15833Z	22	-8	4	1	-1
NS15833Z	23	-8	4	1	-1
NS15833Z	28	-8	4	4	-1
NS15833Z	29	-8	4	5	-1
NS15836C	21	120	2	-1	27
NS15836C	23	140	1	-1	140
NS15838E	21	80	4	4	20
NS15842S	29	0	-8	-1	-8
NS15844V	2	-8	1	-1	-1
NS15844V	4	-8	-8	-1	-1
NS15844V	28	-8	-8	-1	-1
NS15844V	29	-8	-8	-1	-1
NS15868N	4	146	4	2	73
NS15868N	7	224	4	4	56
NS15868N	28	820	4	5	189
NS15868N	29	-8	-8	-1	-1
NS15872B	21	80	2	-1	18
NS15876F	29	30	2	-1	6
NS15893R	2	146	4	2	73
NS15893R	21	20	1	-1	20
NS15893R	23	57	1	-1	57
NS15893R	28	436	2	-1	100
NS15893R	29	70	2	-1	16
NS15895T	21	34	1	-1	34
NS15895T	22	179	1	-1	179
NS15895T	23	170	1	-1	170
NS15903S	21	80	4	4	20
NS15904T	21	34	1	-1	34
NS15904T	23	32	1	-1	32
NS15926K	21	20	1	-1	20
NS15938G	2	111	4	2	55
NS15938G	21	132	2	-1	30
NS15938G	23	112	1	-1	112
NS15938G	28	700	2	-1	161
NS15938G	29	15	2	-1	3
NS15941T	22	24	1	-1	24
NS15952P	21	33	1	-1	33
NS15952P	22	255	1	-1	255
NS15952P	23	75	1	-1	75
NS15966N	21	80	2	-1	18
NS15973E	21	20	4	1	20
NS15973E	23	238	4	4	59
NS15974F	30	750	2	-1	173
NS15990Q	21	80	4	4	20
NS15990Q	22	100	4	4	25
NS15990Q	23	240	4	4	60
NS15993T	1	140	4	2	70
NS15993T	21	20	1	-1	20
NS15993T	23	60	1	-1	60
NS15993T	28	120	1	-1	120
NS15993T	29	9	1	-1	9
NS15999A	21	82	2	-1	18
NS16015Q	21	-8	-8	-1	-1
NS16020E	28	310	2	-1	71
NS16024J	21	120	4	5	27
NS16024J	22	110	4	5	25
NS16054S	1	170	4	3	56
NS16054S	28	100	1	-1	100
NS16054S	29	0	-8	-1	-8
NS16057W	21	20	1	-1	20
NS16057W	22	70	1	-1	70
NS16057W	23	60	1	-1	60
NS16057W	28	-8	-8	-1	-1
NS16080X	21	190	2	-1	43
NS16080X	23	150	1	-1	150
NS16091S	22	50	2	-1	11
NS16099B	1	300	1	-1	300
NS16099B	7	400	2	-1	92
NS16099B	21	20	1	-1	20
NS16099B	23	60	1	-1	60
NS16099B	28	400	2	-1	92
NS16099B	29	20	2	-1	4
NS16105Y	21	80	2	-1	18
NS16105Y	23	20	1	-1	20
NS16111N	21	45	1	-1	45
NS16111N	23	45	1	-1	45
NS16111N	28	200	4	2	100
NS16111N	29	40	2	-1	9
NS16114R	3	221	4	2	110
NS16114R	4	221	4	2	110
NS16114R	7	179	2	-1	41
NS16114R	28	172	1	-1	172
NS16114R	29	72	2	-1	16
NS16114R	30	-8	-8	-1	-1
NS16129R	4	443	2	-1	102
NS16129R	7	174	2	-1	40
NS16136H	22	119	2	-1	27
NS16138K	21	82	4	4	20
NS16145B	21	80	2	-1	18
NS16146C	21	-8	2	-1	-1
NS16169V	7	220	2	-1	50
NS16180Z	21	33	1	-1	33
NS16184D	21	160	4	4	40
NS16184D	23	240	1	-1	240
NS16184D	28	390	2	-1	90
NS16184D	29	-8	-8	-1	-1
NS16185E	6	52	1	-1	52
NS16185E	21	20	1	-1	20
NS16185E	23	62	1	-1	62
NS16211Q	2	230	4	2	115
NS16211Q	21	22	4	1	22
NS16211Q	23	115	4	1	115
NS16211Q	28	361	2	-1	83
NS16211Q	29	800	4	12	15
NS16225P	2	-9	-9	-1	-1
NS16225P	21	33	1	-1	33
NS16225P	23	-9	1	-1	-1
NS16225P	28	-9	-9	-1	-1
NS16225P	29	-9	-9	-1	-1
NS16237L	21	84	2	-1	19
NS16250S	21	80	4	5	18
NS16250S	22	200	4	1	200
NS16250S	23	0	1	-1	0
NS16250S	28	0	1	-1	0
NS16254X	29	66	2	-1	15
NS16265S	21	138	4	5	31
NS16266T	21	82	2	-1	18
NS16270G	21	85	2	-1	19
NS16270G	23	-8	2	-1	-1
NS16277P	7	20	2	-1	4
NS16287J	7	300	2	-1	69
NS16289L	21	80	2	-1	18
NS16289L	22	-8	-8	-1	-1
NS16289L	23	-8	-8	-1	-1
NS16297D	1	-8	-8	-1	-1
NS16297D	4	-8	-8	-1	-1
NS16297D	7	-8	-8	-1	-1
NS16297D	28	-8	-8	-1	-1
NS16297D	29	-8	4	3	-1
NS16313V	21	21	1	-1	21
NS16313V	23	60	1	-1	60
NS16316Y	4	179	4	2	89
NS16316Y	21	135	4	4	33
NS16316Y	23	486	4	4	121
NS16316Y	28	500	4	4	125
