NSID	Designweight	SampPSU	SampStratum	IndSchool	W1FinWt	w1intmonthMP	w1intyearMP	w1intmonthSP	w1intyearSP	W1InCarHH	W1InTypHH	W1hous12HH	W1usevcHH	W1vehnoHH	W1condur4MP	W1condur5MP	W1condur6MP	W1englangHH	W1mainres	W1secores	W1InfoN	W1hrefPer	W1qfhhno	W1fammealMP	W1faminMP	W1fammusMP	W1paroutMP	W1parbackMP	W1partimdMP	W1patwkMP	W1partmewMP	W1carehhMP	W1carehhtMP	W1carenhhMP	W1carenhtMP	W1ben1MP0a	W1ben1MP0b	W1ben1MP0c	W1ben1MP0d	W1ben1MP0e	W1ben1MP0f	W1ben1MP0g	W1ben1MP0h	W1ben1MP0i	W1benchMP	W1ben2MP0a	W1ben2MP0b	W1ben2MP0c	W1ben2MP0d	W1ben2MP0e	W1ben2MP0f	W1ben2MP0g	W1ben2MP0h	W1ben2MP0i	W1ben2MP0j	W1ben2MP0k	W1ben2MP0l	W1ben2MP0m	W1ben2MP0n	W1ben2MP0o	W1ben3MP0a	W1ben3MP0b	W1ben3MP0c	W1ben3MP0d	W1ben3MP0e	W1benamMP	W1benchildMP	W1benunempMP	W1benlowincMP	W1bendisMP	W1benberMP	W1benothMP	W1inc1estMP	W1inc2estMP	W1managhhMP	W1whopresMP0a	W1whopresMP0b	W1whopresMP0c	W1whopresMP0d	W1whopresMP0e	W1whopresMP0f	W1Ed1MP	W1ed1aMP	W1Ed1bMP	W1QualMP0a	W1QualMP0b	W1QualMP0c	W1QualMP0d	W1QualMP0e	W1QualMP0f	W1QualMP0g	W1QualMP0h	W1QualMP0i	W1QualMP0j	W1QualMP0k	W1QualMP0l	W1QualMP0m	W1QualMP0n	W1QualMP0o	W1QualMP0p	W1QualMP0q	W1QualMP0r	W1QualMP0s	W1QualMP0t	W1QualMP0u	W1QualMP0v	W1QualMP0w	W1QualMP0x	W1QualMP0y	W1QualMP0z	W1QualMPaa	W1QualMPab	W1QualMPac	W1QualMPad	W1QualMPae	W1QualMPaf	W1QualMPag	W1QualMPah	W1QualMPai	W1QualMPaj	W1QualMPak	W1QualMPal	W1QualMPam	W1QualMPan	W1QualMPao	W1QualMPap	W1QualMPaq	W1QualMPar	W1QualMPas	W1QualMPat	W1QualMPau	W1QualMPav	W1QualMPaw	W1ApprentMP	W1oversMP	W1otypeMP	W1ed3MP	W1ed4MP	W1wrk1aMP	W1WrkYMP	W1wrkmMP	W1wrk2MP	W1Wrk3MP	W1wrk4MP	W1wrkStatMP	W1wrk10MP	W1wrk11MP	W1fixhrMP	W1FixraMP	W1Fixra2MP	W1Salar1MP	W1salar2MP	W1Salar3MP	W1salar4MP	W1JJBHrsMP	W1HRsOverMP	W1PaidovrMP	W1wrk12aMP	W1wrk12bMP	W1SeiInc1MP	W1SeiInc2MP	W1SeiInc3MP	W1hea1MP	W1hea2MP	W1hea2aMP	W1pethniCMP	W1prelig1MP	W1prelig2MP	W1prelig3MP	W1ppresMP0a	W1ppresMP0b	W1ppresMP0c	W1ppresMP0d	W1ppresMP0e	W1ppresMP0f	W1ppresMP0g	W1NoldsibHS	W1NoldBroHS	W1NresSibHS	W1Ed1SP	W1ed1aSP	W1Ed1bSP	W1QualSP0a	W1QualSP0b	W1QualSP0c	W1QualSP0d	W1QualSP0e	W1QualSP0f	W1QualSP0g	W1QualSP0h	W1QualSP0i	W1QualSP0j	W1QualSP0k	W1QualSP0l	W1QualSP0m	W1QualSP0n	W1QualSP0o	W1QualSP0p	W1QualSP0q	W1QualSP0r	W1QualSP0s	W1QualSP0t	W1QualSP0u	W1QualSP0v	W1QualSP0w	W1QualSP0x	W1QualSP0y	W1QualSP0z	W1QualSPaa	W1QualSPab	W1QualSPac	W1QualSPad	W1QualSPae	W1QualSPaf	W1QualSPag	W1QualSPah	W1QualSPai	W1QualSPaj	W1QualSPak	W1QualSPal	W1QualSPam	W1QualSPan	W1QualSPao	W1QualSPap	W1QualSPaq	W1QualSPar	W1QualSPas	W1QualSPat	W1QualSPau	W1QualSPav	W1QualSPaw	W1apprentSP	W1oversSP	W1otypeSP	W1ed3SP	W1ed4SP	W1wrk1aSP	W1wrkYSP	W1wrkmSP	W1Wrk2SP	W1wrk3SP	W1wrk4SP	W1wrkStatSP	W1wrk10SP	W1wrk11SP	W1fixhrSP	W1FixraSP	W1Fixra2SP	W1salar1SP	W1Salar2SP	W1salar3SP	W1salar4SP	W1JJBhrsSP	W1HrsOveSP	W1PaidovrSP	W1wrk12aSP	W1wrk12bSP	W1SeiInc1SP	W1SeiInc2SP	W1SeiInc3SP	W1hea1SP	W1hea2SP	W1hea2aSP	W1pethnicSP	W1prelig1SP	W1prelig2SP	W1prelig3SP	W1ppresSP0a	W1ppresSP0b	W1ppresSP0c	W1ppresSP0d	W1ppresSP0e	W1ppresSP0f	W1ppresSP0g	W1motherID	W1fatherID	W1sexMP	W1sexSP	W1ageMP	W1ageSP	W1agemum	W1agedad	W1agebd5MP	W1agebd5SP	W1agebd5mum	W1agebd5dad	W1agebd10MP	W1agebd10SP	W1agebd10mum	W1agebd10dad	W1marstatMP	W1marstatSP	W1marstatmum	W1marstatdad	W1wrkageMP	W1wrkageSP	W1wrkagemum	W1wrkagedad	W1empsMP	W1empsSP	W1empsmum	W1empsdad	W1depkids	W1ch0_2HH	W1ch3_11HH	W1ch12_15HH	W1ch16_17HH	W1stepfam	W1famtyp	W1famtyp2	W1singlepar	W1empszMP	W1empszSP	W1empszmum	W1empszdad	W1louneMP	W1louneSP	W1SOCMajorSP	W1SOCMajorMP	W1nssecMP	W1nssecSP	W1nsseccatSP	W1nsseccatMP	W1nsseccatmum	W1nsseccatdad	W1nsseccatfam	W1nssecmum	W1nssecdad	W1nssecfam	W1emplenMP	W1emplenSP	W1emplenmum	W1emplendad	W1disabMP	W1disabSP	W1disabmum	W1disabdad	W1sibs	W1sibs2	W1hiqualgMP	W1hiqualgSP	W1hiqualgmum	W1hiqualgdad	W1hiqualMP	W1hiqualSP	W1hiqualmum	W1hiqualdad	W1wrkfullMP	W1wrkfullSP	W1wrkfulldad	W1wrkfullmum	W1wrkcurMP	W1wrkcurSP	W1wrkcurdad	W1wrkcurmum	W1empmonMP	W1empmonSP	W1empmonmum	W1empmondad	W1LangHom1	W1LangHom2	W1LangHom3	W1ethgrpMP	W1ethgrpSP	W1ethgrpmum	W1ethgrpdad	W1ethgrpYP	W1GrssyrMP	W1flagIncEditMP	W1GrsswkMP	W1GrssmnMP	W1GrssyrSP	W1flagIncEditSP	W1GrsswkSP	W1GrssmnSP	W1GrssyrHH	W1GrsswkHH	W1GrssmnHH	W1GrssyrHHbands	W1inc1est
NS12825V	.365572593787429	11044	110	0	.395950750247659	5	2004	-91	-91	1	-91	5	2	-91	3	2	2	1	2	-98	2	2	3	1	1	1	1	1	1	1	1	2	-91	2	-91	1	0	0	0	0	0	0	0	0	-91	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	1	0	1	0	0	0	-1	-91	2	1	0	0	0	0	0	16	1	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	-91	2	1	10	1990	5	1	1990	2	1	2	1	1	-1	-1	-91	-91	-91	-91	-1	-1	-91	-91	-91	-91	-91	-91	4	1	-1	-997	2	2	3	1	0	0	0	0	0	0	0	1	0	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	2	-98	2	-98	31	-98	31	-98	3	-98	3	-98	2	-98	2	-98	1	-98	1	-98	1	-98	1	-98	6	-98	6	-98	2	0	1	1	0	0	4	1	1	7	-98	7	-98	-91	-98	-98	7	6	-98	-98	12.1	12.1	-98	12.1	6	-98	6	168	-98	168	-98	-1	-98	-1	-98	1	1	7	-98	7	-98	20	-98	20	-98	3	-98	-98	3	2	-98	-98	2	-91	-98	-91	-98	-91	-91	-91	2	-98	2	-98	2	-91	0	-91	-91	-98	0	-98	-98	-91	-91	-91	-91	-1
NS12826W	1.36628717976343	11408	114	0	1.20823795132152	7	2004	7	2004	1	-91	2	1	1	3	1	1	1	2	3	2	3	4	3	1	2	1	5	-91	5	-91	2	-91	2	-91	1	0	0	0	0	0	0	0	0	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	5	1	0	1	0	0	0	27	-91	2	1	0	0	0	0	0	16	1	44	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	-91	2	2	2	2003	9	-91	-91	-91	1	2	-1	1	22	10	-91	-91	-91	-91	15	0	-91	-91	-91	-91	-91	-91	2	2	-91	-997	2	2	3	1	0	0	0	0	0	0	1	0	0	16	2	-91	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	-91	2	2	1	1974	11	-91	-91	-91	1	1	2	2	-91	-91	1200	5	1100	5	37	0	-91	-91	-91	-91	-91	-91	1	2	-91	1	2	1	2	1	0	0	0	0	0	0	2	3	2	1	45	47	45	47	6	6	6	6	4	4	4	4	2	2	2	2	1	1	1	1	2	1	2	1	2	0	0	1	1	0	1	0	0	7	6	7	6	-91	-91	4	2	2	2	4.1	4.1	4.1	4.1	4.1	2	2	2	10	356	10	356	3	3	3	3	1	1	1	3	1	3	2	7	2	7	2	1	1	2	1	1	1	1	10	356	10	356	-91	-91	-91	1	1	1	1	1	17238	0	331.5	1436.5	14400	0	276.923076923077	1200	31638	608.423076923077	2636.5	5	27
NS12827X	.294685360397537	10912	109	0	.411428222735776	7	2004	7	2004	1	-91	2	1	2	3	1	1	2	2	3	2	2	3	3	6	1	1	1	1	1	1	2	-91	2	-91	1	0	0	0	0	0	0	0	0	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	-92	1	0	0	0	0	0	-92	-91	2	1	0	0	0	0	0	18	1	26	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	-91	2	2	1	1996	10	-91	-91	-91	1	1	1	2	-91	-91	18000	12	15000	12	40	0	-91	-91	-91	-91	-91	-91	1	2	-91	-91	2	6	1	1	0	0	0	0	0	0	0	2	0	18	1	24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	-91	2	2	1	1996	10	-91	-91	-91	1	1	2	2	-91	-91	-92	-91	-92	-91	40	10	0	-91	-91	-91	-91	-91	1	2	-91	7	2	6	1	1	0	0	0	0	0	0	2	3	2	1	43	52	43	52	5	7	5	7	3	4	3	4	2	2	2	2	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	0	6	6	6	6	-91	-91	4	6	5	2	6	10	10	6	10	5	2	5	93	93	93	93	3	3	3	3	0	0	2	1	2	1	3	1	3	1	1	1	1	1	1	1	1	1	277	-94	277	-94	-91	-91	-91	7	2	7	2	7	18000	0	346.153846153846	1500	-92	0	-92	-92	-92	-92	-92	-92	-92
NS12828Y	.91085811984229	13122	131	0	.96839652435023	5	2004	-91	-91	1	-91	2	1	1	3	1	1	1	2	3	2	3	4	2	3	3	2	1	1	1	1	2	-91	2	-91	1	0	0	0	0	0	0	0	0	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	11	1	0	0	0	0	0	27	-91	1	1	0	0	0	0	0	16	2	-91	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	-91	2	2	1	1985	2	-91	-91	-91	1	2	3	1	-1	-1	-91	-91	-91	-91	37	2	2	-91	-91	-91	-91	-91	2	2	-91	-91	2	2	3	1	0	0	0	0	0	0	0	1	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	2	3	2	1	40	44	40	44	5	5	5	5	3	3	3	3	2	2	2	2	1	1	1	1	1	1	1	1	2	0	0	2	0	0	1	0	0	7	-99	7	-99	-91	-99	-99	8	5	-99	-99	11.2	11.2	-99	-99	5	-99	-99	231	-99	231	-99	3	-99	3	-99	1	1	5	-99	5	-99	16	-99	16	-99	1	1	1	1	1	1	1	1	231	-99	231	-99	-91	-91	-91	1	1	1	1	1	-1	0	-1	-1	-99	0	-99	-99	-1	-1	-1	-1	27
NS12829Z	.151981943324264	13607	136	0	.140763995430123	6	2004	6	2004	1	-91	2	2	-91	1	1	2	3	3	2	2	3	6	2	1	3	1	1	2	5	-91	2	-91	2	-91	1	0	0	0	0	0	0	0	0	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	12	1	0	1	0	0	0	17	-91	3	1	0	0	0	0	0	16	2	-91	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	-91	2	2	1	1987	-1	-91	-91	-91	1	2	1	1	-92	-92	-91	-91	-91	-91	35	0	-91	-91	-91	-91	-91	-91	2	2	-91	-997	6	-91	1	1	0	0	0	0	0	0	0	3	0	16	2	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	-91	2	2	10	1988	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	1	1	10	6	-91	1	0	1	0	0	1	0	0	2	3	1	2	42	33	33	42	5	3	3	5	3	2	2	3	2	2	2	2	1	1	1	1	1	6	6	1	4	0	2	2	0	0	1	0	0	7	-91	-91	7	-91	-91	-91	5	6	8	14.1	12.2	14.1	12.2	12.2	8	6	6	204	197	197	204	3	1	1	3	3	3	5	7	7	5	16	20	20	16	1	3	1	3	1	2	1	2	204	-91	-91	204	8	0	0	5	5	5	5	5	-92	0	-92	-92	-91	0	-91	-91	-92	-92	-92	-92	17
NS12830J	1.36628717976343	11401	114	0	1.2450683712686	7	2004	7	2004	1	-91	2	1	3	3	1	1	1	2	3	2	3	5	3	2	1	1	1	1	1	1	2	-91	1	1	1	0	0	0	0	0	0	0	0	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	6	1	0	0	0	0	0	21	-91	1	0	0	1	0	0	0	16	2	-91	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	-91	2	2	1	1998	-1	-91	-91	-91	1	1	3	1	6	50	-91	-91	-91	-91	35	4	4	-91	-91	-91	-91	-91	2	2	-91	-997	2	2	3	0	0	1	0	0	0	0	2	0	0	15	2	-91	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	-91	2	2	2	2003	11	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	-91	-91	-91	-91	2	2	-91	1	2	2	3	0	1	1	0	0	0	0	2	3	2	1	46	56	46	56	6	8	6	8	4	5	4	5	2	2	2	2	1	1	1	1	1	2	1	2	1	0	0	1	0	0	1	0	0	6	3	6	3	-91	-91	2	7	2	1	3.3	6	6	3.3	3.3	2	1	1	73	8	73	8	3	3	3	3	2	2	3	3	3	3	9	9	9	9	1	2	2	1	1	1	1	1	154	8	154	8	-91	-91	-91	1	1	1	1	1	11830	0	227.5	985.833333333333	-999	0	-999	-999	-999	-999	-999	-999	21
NS12831K	.370173169347943	10812	108	0	.313489910535303	-91	-91	-91	-91	1	-91	2	2	-91	-99	-99	-99	3	2	-98	2	2	4	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	2	-98	2	-98	41	-98	41	-98	5	-98	5	-98	3	-98	3	-98	5	-98	5	-98	1	-98	1	-98	2	-98	2	-98	3	0	1	2	0	0	4	1	1	-99	-98	-99	-98	-99	-98	-98	-99	-99	-98	-98	-99	-99	-98	-99	-99	-98	-99	-99	-98	-99	-98	-99	-98	-99	-98	2	-94	-99	-98	-99	-98	-99	-98	-99	-98	2	-98	-98	2	1	-98	-98	1	-99	-98	-99	-98	27	0	0	3	-98	3	-98	3	-99	0	-99	-99	-98	0	-98	-98	-99	-99	-99	-99	-99
NS12832L	.421069155827757	12516	125	0	.365590816377083	5	2004	5	2004	1	-91	2	1	2	3	1	1	2	2	3	6	3	6	1	1	4	1	1	1	1	1	2	-91	2	-91	1	0	0	0	1	0	0	0	0	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	16	1	0	0	1	0	0	27	-91	2	0	1	0	0	0	0	16	2	-91	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	-91	2	2	2	1990	6	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	-91	-91	-91	-91	3	1	1	-997	6	-91	1	0	1	0	0	0	0	0	0	3	0	18	1	20	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	-91	2	2	1	1989	6	-91	-91	-91	1	1	4	2	-91	-91	20469	12	1400	4	37	0	-91	-91	-91	-91	-91	-91	1	2	-91	11	6	-91	1	1	0	0	0	0	0	0	2	3	2	1	37	34	37	34	4	3	4	3	3	2	3	2	2	2	2	2	1	1	1	1	2	1	2	1	4	0	2	2	0	0	1	0	0	3	6	3	6	-91	-91	3	8	4	2	4.1	9.1	9.1	4.1	4.1	4	2	2	167	179	167	179	1	3	1	3	3	3	3	1	3	1	8	2	8	2	2	1	1	2	1	1	1	1	167	179	167	179	-91	-91	-91	8	8	8	8	8	-999	0	-999	-999	20469	0	393.634615384615	1705.75	-999	-999	-999	-999	27
NS12833M	.370173169347943	10807	108	0	.313489910535303	5	2004	5	2004	1	-91	2	1	1	1	1	1	3	2	3	2	2	3	1	1	1	5	1	1	1	1	2	-91	1	1	1	0	0	0	0	0	0	0	0	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	1	0	0	0	0	0	25	-91	3	0	0	1	0	0	0	16	1	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	-91	2	2	1	1983	-1	-91	-91	-91	1	2	4	1	9	75	-91	-91	-91	-91	0	0	-91	-91	-91	-91	-91	-91	1	2	-91	-997	4	-91	1	0	0	1	0	0	0	0	0	0	0	16	2	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	-91	2	2	1	1976	-1	-91	-91	-91	1	2	2	1	5	28	-91	-91	-91	-91	0	0	-91	-91	-91	-91	-91	-91	2	2	-91	8	4	-91	1	0	1	1	0	0	0	0	3	2	1	2	48	43	43	48	6	5	5	6	4	3	3	4	2	2	2	2	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	0	7	-94	-94	7	-91	-91	-94	8	6	-94	16	12.4	16	12.4	12.4	-94	6	6	251	335	335	251	3	3	3	3	0	0	7	7	7	7	20	20	20	20	1	1	1	1	1	1	1	1	251	335	335	251	38	0	0	3	3	3	3	3	-92	0	-92	-92	-92	0	-92	-92	-92	-92	-92	-92	25
NS12834N	1.36628717976343	11736	117	0	1.31250474417373	5	2004	5	2004	1	-91	2	1	2	3	1	1	1	2	3	2	2	4	2	1	4	1	1	1	1	1	2	-91	2	-91	1	0	0	0	0	0	0	0	0	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	-1	1	0	0	0	0	0	-1	-91	1	0	0	0	0	1	0	16	2	-91	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	-91	2	2	1	1974	9	-91	-91	-91	1	1	4	1	13	0	-91	-91	-91	-91	39	10	10	-91	-91	-91	-91	-91	3	2	-91	-997	2	2	3	0	0	0	0	1	0	0	-92	-92	-92	16	2	-91	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	-91	2	2	1	2003	7	-91	-91	-91	1	2	1	1	-1	-1	-91	-91	-91	-91	37	0	-91	-91	-91	-91	-91	-91	2	2	-91	1	2	2	3	1	0	0	0	0	0	0	3	2	1	2	46	40	40	46	6	5	5	6	4	3	3	4	2	2	2	2	1	1	1	1	1	1	1	1	2	0	0	1	1	0	1	0	0	6	-94	-94	6	-91	-91	-94	3	2	-94	16	6	16	6	6	-94	2	2	356	10	10	356	3	3	3	3	1	-94	4	4	4	4	13	15	15	13	1	1	1	1	1	1	1	1	356	10	10	356	-91	-91	-91	1	1	1	1	1	26364	0	507	2197	-1	0	-1	-1	-1	-1	-1	-1	-1
NS12835P	1.36628717976343	12546	125	0	1.31130026557786	4	2004	-91	-91	1	-91	2	1	1	3	1	1	1	2	-98	2	2	3	1	1	1	1	3	1	4	-91	2	-91	2	-91	1	0	0	0	0	0	0	0	0	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	9	1	0	1	0	0	0	3	-91	2	0	0	1	0	0	0	16	2	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-91	3	2	-91	2	2	2	1990	-1	-91	-91	-91	1	2	2	1	6	50	-91	-91	-91	-91	18	0	-91	-91	-91	-91	-91	-91	2	2	-91	-91	1	-91	-91	0	0	1	0	0	0	0	0	1	0	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	2	-98	2	-98	39	-98	39	-98	4	-98	4	-98	3	-98	3	-98	1	-98	1	-98	1	-98	1	-98	2	-98	2	-98	2	0	0	2	0	0	4	1	1	7	-98	7	-98	-91	-98	-98	6	3	-98	-98	7.3	7.3	-98	7.3	3	-98	3	166	-98	166	-98	3	-98	3	-98	1	1	7	-98	7	-98	20	-98	20	-98	2	-98	-98	2	1	-98	-98	1	226	-98	226	-98	-91	-91	-91	1	-98	1	-98	1	6084	0	117	507	-98	0	-98	-98	6084	117	507	2	11
