NSID	Samppsu	Sampstratum	W5finwt_cross	W5Mode	W5IntMonth	W5IntYear	W5SameaddHH	W5AnystayHH	W5HHNumHH	W5Hous12HH	W5Hous12BHH	W5Hous12CHH	W5IncarHH	W5FemployYP	W5FempstatYP	W5FsuperYP	W5FmanyYP	W5Fmany2YP	W5FselfYP	W5FmanysYP	W5Fmanys2YP	W5SOCDad	W5SICDad	W5MemployYP	W5MempstatYP	W5MsuperYP	W5MmanyYP	W5Mmany2YP	W5MselfYP	W5MmanysYP	W5Mmanys2YP	W5SOCMum	W5SICMum	W5mopres	W5fapres	W5agebd5mum	W5agebd5dad	W5agebd10mum	W5agebd10dad	w5wrkagemum	w5wrkagedad	W5empsmum	W5empsdad	W5Cempszmum	W5Cempszdad	w5Cnsseccatmum	w5Cnsseccatdad	W5Cnssecmum	W5Cnssecdad
NS11240V	10401	104	1.77725453328915	2	8	2008	1	-91	-91	1	2	-91	-91	1	1	-1	-1	2	-91	-91	-91	82	26	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	4	4	2	2	1	1	0	1	-91	7	14.3	12.3	8	6
NS11242X	11502	115	1.13875045770102	1	8	2008	1	-91	-91	1	2	-91	-91	1	1	2	2	-91	-91	-91	-91	92	74	1	1	1	2	-91	-91	-91	-91	23	80	1	1	7	7	3	3	1	1	1	1	6	7	4.1	13.4	2	7
NS11245A	12306	123	1.03711876738157	3	6	2008	1	-91	-91	1	2	-91	-91	1	1	1	2	-91	-91	-91	-91	21	73	1	1	2	2	-91	-91	-91	-91	23	80	1	1	6	6	3	3	1	1	1	1	7	6	4.1	3.1	2	1
NS11246B	11319	113	1.16991981257685	3	6	2008	1	-91	-91	1	2	-91	-91	1	1	-1	-1	2	-91	-91	-91	11	51	1	2	-91	-91	-91	1	1	-91	61	85	1	1	6	7	3	3	1	1	2	1	3	5	9.1	5	4	2
NS11247C	12403	124	1.09586217352545	3	6	2008	1	-91	-91	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	-1	1	-91	-91	-91	-91	32	85	1	-98	9	-91	4	-91	0	-91	1	-98	7	-98	4.1	-98	2	-98
NS11249E	12528	125	.276012278597842	2	10	2008	1	-91	-91	1	1	-91	-91	1	2	-91	-91	-91	2	2	-91	12	52	1	2	-91	-91	-91	2	2	-91	11	-95	1	1	5	6	2	3	1	1	2	2	2	2	8.1	8.1	4	4
NS11250P	11318	113	1.28870399462092	1	7	2008	1	-91	-91	1	2	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	5	6	2	3	1	1	0	0	-91	-91	14.3	14.3	8	8
NS11252R	11435	114	1.10646904813385	1	7	2008	1	-91	-91	-1	-91	-91	-91	1	1	1	1	-91	-91	-91	-91	21	74	1	1	1	-1	-1	-91	-91	-91	-95	-95	1	1	6	7	3	3	1	1	1	1	-94	6	16	3.1	-94	1
NS11253S	12033	120	1.14373298081441	3	6	2008	1	-91	-91	1	1	-91	-91	1	2	-91	-91	-91	1	1	-91	35	45	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	7	7	3	3	1	1	0	2	-91	3	14.3	4.4	8	2
NS11254T	10411	104	1.1230152151567	3	6	2008	1	-91	-91	1	1	-91	-91	1	1	1	-1	2	-91	-91	-91	35	50	1	1	2	-1	-1	-91	-91	-91	23	74	1	2	5	-91	2	-91	1	-91	1	1	7	6	4.1	4.2	2	2
NS11256W	12010	120	1.47331495288211	2	9	2008	1	-91	-91	1	2	-91	-91	1	1	2	3	-91	-91	-91	-91	53	45	1	1	2	1	-91	-91	-91	-91	61	85	1	1	5	6	2	3	1	1	1	1	7	7	12.2	12.4	6	6
NS11257X	12039	120	1.15396493724915	3	9	2008	1	-91	-91	1	2	-91	-91	1	2	-91	-91	-91	1	1	-91	34	92	1	1	1	1	-91	-91	-91	-91	32	85	1	1	6	6	3	3	1	1	1	2	6	3	4.1	9.1	2	4
NS11259Z	13412	134	.5931757155253	2	9	2008	1	-91	-91	2	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	-98	5	-91	2	-91	1	-91	0	-98	-91	-98	14.3	-98	8	-98
NS11261K	12359	123	1.06792846635453	3	6	2008	1	-91	-91	1	2	-91	-91	1	1	2	-1	2	-91	-91	-91	23	80	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	6	6	3	3	1	1	0	1	-91	7	14.3	4.1	8	2
NS11262L	12512	125	1.05124858775183	3	7	2008	1	-91	-91	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-98	-98	7	-91	3	-91	1	-91	-98	-98	-98	-98	-98	-98	-98	-98
NS11264N	10409	104	.245049201463964	1	7	2008	1	-91	-91	1	2	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	1	2	-91	-91	-91	-91	71	52	1	1	5	5	2	2	1	1	1	0	6	-91	10	14.3	5	8
NS11266Q	656	48	.533168384831941	2	10	2008	2	2	1	2	-91	3	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-98	-98	-91	-91	-91	-91	-91	-91	-98	-98	-98	-98	-98	-98	-98	-98
NS11267R	11032	110	1.24137728189928	1	7	2008	1	-91	-91	1	2	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	1	2	-91	-91	-91	-91	11	75	1	1	5	10	2	5	1	0	1	0	4	-91	2	14.3	1	8
NS11268S	656	48	.304045271971394	2	8	2008	2	1	-91	2	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	-98	5	-91	2	-91	1	-91	0	-98	-91	-98	14.3	-98	8	-98
NS11270D	12913	129	.277307422782876	1	8	2008	1	-91	-91	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	1	2	-91	-91	-91	-91	-95	75	1	-98	7	-91	3	-91	1	-91	1	-98	-94	-98	16	-98	-94	-98
NS11271E	12324	123	2.24776689997702	1	9	2008	1	-91	-91	2	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	-98	5	5	2	2	1	1	0	-98	-91	-98	14.3	-98	8	-98
NS11272F	12033	120	1.20453283827134	2	10	2008	1	-91	-91	2	-91	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	2	1	-91	-91	-91	-91	61	80	1	-98	5	-91	2	-91	1	-91	1	-98	7	-98	12.7	-98	6	-98
NS11273G	12010	120	1.44613817791221	1	7	2008	1	-91	-91	1	2	-91	-91	1	2	-91	-91	-91	2	2	-91	52	45	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-98	1	4	5	2	2	1	1	-98	2	-98	2	-98	8.1	-98	4
NS11274H	12541	125	1.64920981790679	3	6	2008	1	-91	-91	1	2	-91	-91	1	1	1	2	-91	-91	-91	-91	81	11	1	1	1	1	-91	-91	-91	-91	24	85	1	1	5	5	2	2	1	1	1	1	6	6	4.1	10	2	5
NS11275J	11726	117	.949479779962296	1	8	2008	1	-91	-91	1	2	-91	-91	1	1	2	3	-91	-91	-91	-91	35	74	1	1	2	2	-91	-91	-91	-91	23	80	1	1	6	6	3	3	1	1	1	1	7	7	3.1	4.1	1	2
NS11276K	10405	104	1.12768866986804	1	8	2008	1	-91	-91	1	-1	-91	-91	1	1	2	1	-91	-91	-91	-91	33	75	1	1	1	3	-91	-91	-91	-91	41	75	1	1	6	7	3	3	1	1	1	1	6	7	6	7.2	2	3
NS11277L	12531	125	1.05907632208245	3	6	2008	1	-91	-91	1	2	-91	-91	1	1	1	2	-91	-91	-91	-91	23	80	1	2	-91	-91	-91	1	1	-91	34	74	1	1	6	7	3	3	1	1	2	1	3	6	9.1	4.1	4	2
NS11279N	12355	123	1.64233987896867	2	10	2008	2	1	-91	2	-91	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-98	-98	5	-91	2	-91	1	-91	-98	-98	-98	-98	-98	-98	-98	-98
NS11286E	10836	108	.265313875883883	1	7	2008	1	-91	-91	1	1	-91	-91	1	1	2	2	-91	-91	-91	-91	82	50	1	1	1	2	-91	-91	-91	-91	91	51	1	1	5	4	2	2	1	1	1	1	6	7	10	13.3	5	7
NS11288G	11101	111	1.57046191247211	1	6	2008	1	-91	-91	-1	-91	-91	-91	1	2	-91	-91	-91	1	2	-91	54	18	1	2	-91	-91	-91	1	2	-91	54	18	1	1	7	8	3	4	1	1	2	2	3	3	9.1	9.1	4	4
NS11289H	12316	123	.370454868668624	3	6	2008	1	-91	-91	-1	-91	-91	-91	1	2	-91	-91	-91	1	1	-91	82	60	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	9	10	4	5	0	0	0	2	-91	3	14.3	9.1	8	4
NS11290S	10439	104	1.44059068112888	1	8	2008	1	-91	-91	1	2	-91	-91	1	1	2	2	-91	-91	-91	-91	91	85	1	1	2	2	-91	-91	-91	-91	71	52	1	1	5	6	2	3	1	1	1	1	7	7	12.1	13.4	6	7
NS11291T	11304	113	1.10006493728757	3	7	2008	1	-91	-91	1	2	-91	-91	1	1	1	2	-91	-91	-91	-91	-95	-95	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	8	5	4	2	1	1	0	1	-91	-94	14.3	16	8	-94
NS11292V	12307	123	1.1536252746616	3	6	2008	1	-91	-91	1	2	-91	-91	1	1	1	2	-91	-91	-91	-91	41	75	1	1	-1	2	-91	-91	-91	-91	41	75	1	1	5	6	2	3	1	1	1	1	7	6	7.1	6	3	2
NS11293W	13704	137	.178492951365794	1	6	2008	1	-91	-91	2	-91	2	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	5	6	2	3	1	1	0	0	-91	-91	14.3	14.3	8	8
NS11294X	657	48	.379418590558117	2	9	2008	1	-91	-91	2	-91	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	-98	5	-91	2	-91	1	-91	0	-98	-91	-98	14.3	-98	8	-98
NS11296Z	11205	112	.404043022065615	1	7	2008	1	-91	-91	1	2	-91	-91	1	2	-91	-91	-91	1	1	-91	62	63	1	-1	1	1	-91	-91	-91	-91	62	63	1	1	6	7	3	3	1	1	3	2	-94	3	16	9.1	-94	4
NS11297A	11204	112	1.17593954459272	1	7	2008	1	-91	-91	1	1	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	2	2	-91	-91	-91	-91	-95	80	1	1	7	9	3	4	1	1	1	0	-94	-91	16	14.3	-94	8
NS11298B	11734	117	1.04974975278843	1	7	2008	1	-91	-91	1	2	-91	-91	1	1	2	2	-91	-91	-91	-91	41	15	1	1	2	-1	2	-91	-91	-91	61	85	1	1	5	6	2	3	1	1	1	1	7	7	12.2	7.2	6	3
NS11303X	11758	117	.95044940740778	3	6	2008	1	-91	-91	1	2	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	2	-1	2	-91	-91	-91	32	85	1	1	7	-91	3	-91	1	-91	1	0	7	-91	4.1	14.3	2	8
NS11305Z	11452	114	1.33720425501745	3	9	2008	1	-91	-91	1	2	-91	-91	1	1	2	2	-91	-91	-91	-91	82	60	1	1	2	2	-91	-91	-91	-91	92	74	1	1	6	6	3	3	1	1	1	1	7	7	13.4	13.3	7	7
NS11306A	10814	108	1.3057516997573	2	8	2008	2	1	-91	2	-91	3	-91	1	2	-91	-91	-91	1	1	-91	35	17	1	1	2	1	-91	-91	-91	-91	61	85	1	2	5	-91	2	-91	1	-91	1	2	7	3	12.2	4.4	6	2
NS11307B	12040	120	1.11703362827382	2	10	2008	1	-91	-91	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	-1	2	-91	-91	-91	-91	22	52	1	-98	7	-91	3	-91	1	-91	1	-98	7	-98	3.1	-98	1	-98
NS11309D	12518	125	1.00943525937616	3	6	2008	1	-91	-91	1	-1	-91	-91	1	2	-91	-91	-91	1	1	-91	12	-95	1	1	1	1	-91	-91	-91	-91	41	65	1	1	6	6	3	3	1	1	1	2	6	3	6	9.1	2	4
NS11311P	11759	117	.93213229846244	3	6	2008	1	-91	-91	1	1	-91	-91	1	1	1	2	-91	-91	-91	-91	81	72	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	7	8	3	4	1	1	0	1	-91	6	14.3	10	8	5
NS11312Q	12001	120	1.11577952758394	1	7	2008	1	-91	-91	1	2	-91	-91	1	1	2	2	-91	-91	-91	-91	23	80	1	1	2	1	-91	-91	-91	-91	61	80	1	1	7	7	3	3	1	1	1	1	7	7	12.7	4.1	6	2
NS11315T	12519	125	.358118541571594	2	10	2008	1	-91	-91	2	-91	-1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	1	2	-91	-91	-91	-91	41	51	1	-98	4	-91	2	-91	1	-91	1	-98	6	-98	6	-98	2	-98
NS11317W	10311	103	1.67444896597812	3	6	2008	1	-91	-91	1	2	-91	-91	1	1	1	2	-91	-91	-91	-91	12	51	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	7	7	3	3	1	1	0	1	-91	4	14.3	5	8	2
NS11318X	11047	110	.32530297300501	1	6	2008	1	-91	-91	1	1	-91	-91	1	1	2	2	-91	-91	-91	-91	41	75	1	1	2	2	-91	-91	-91	-91	42	85	1	1	7	8	3	4	1	1	1	1	7	7	7.1	7.1	3	3
NS11319Y	10819	108	1.08463886163409	3	6	2008	1	-91	-91	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	1	2	-91	-91	-91	-91	41	75	1	-98	6	-91	3	-91	1	-91	1	-98	6	-98	6	-98	2	-98
NS11321J	11811	118	.957434879579447	1	7	2008	1	-91	-91	1	2	-91	-91	1	1	1	1	-91	-91	-91	-91	81	-95	1	1	1	3	-91	-91	-91	-91	-95	-95	1	1	6	7	3	3	1	1	1	1	-94	6	16	10	-94	5
NS11322K	10418	104	.261062242814459	1	6	2008	3	-91	-91	1	2	-91	-91	1	1	2	1	-91	-91	-91	-91	41	64	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	7	7	3	3	1	1	0	1	-91	7	14.3	7.1	8	3
NS11323L	12512	125	.351177293931804	1	6	2008	1	-91	-91	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	2	1	-91	-91	-91	-91	24	85	1	-98	5	-91	2	-91	1	-91	1	-98	7	-98	4.1	-98	2	-98
NS11325N	11721	117	1.04461056706779	3	6	2008	1	-91	-91	1	2	-91	-91	1	1	2	2	-91	-91	-91	-91	11	50	1	1	2	2	-91	-91	-91	-91	-95	-95	1	1	6	6	3	3	1	1	1	1	-94	4	16	5	-94	2
NS11327Q	12005	120	1.5839046808699	3	6	2008	1	-91	-91	1	-1	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	-1	-1	-1	-91	-91	-91	32	85	1	1	8	9	4	4	1	1	1	0	7	-91	4.1	14.3	2	8
NS11328R	12911	129	.269379580685894	1	6	2008	1	-91	-91	1	1	-91	-91	1	1	2	2	-91	-91	-91	-91	53	45	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	6	5	3	2	1	1	0	1	-91	7	14.3	13.3	8	7
NS11330C	11037	110	1.15571716761701	2	9	2008	1	-91	-91	1	2	-91	-91	1	1	1	-1	-1	-91	-91	-91	-95	45	1	1	1	-1	2	-91	-91	-91	23	80	1	1	6	6	3	3	1	1	1	1	6	-94	4.1	16	2	-94
NS11331D	12525	125	.257864352438417	1	7	2008	1	-91	-91	1	2	-91	-91	1	1	2	2	-91	-91	-91	-91	52	50	1	1	-1	2	-91	-91	-91	-91	61	80	1	1	5	6	2	3	1	1	1	1	7	7	12.7	11.1	6	5
NS11333F	10836	108	1.34132724242517	1	6	2008	2	2	1	2	-91	2	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-98	-98	5	7	2	3	1	1	-98	-98	-98	-98	-98	-98	-98	-98
NS11334G	11315	113	1.1340589848449	1	8	2008	1	-91	-91	1	2	-91	-91	1	2	-91	-91	-91	2	2	-91	11	60	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	5	6	2	3	1	1	0	2	-91	2	14.3	8.1	8	4
NS11337K	12014	120	1.07812026633608	3	7	2008	1	-91	-91	1	2	-91	-91	1	2	-91	-91	-91	1	2	-91	53	45	1	1	-1	2	-91	-91	-91	-91	61	80	1	1	6	7	3	3	1	1	1	2	7	3	12.7	9.1	6	4
NS11338L	10817	108	1.61822285328925	3	6	2008	1	-91	-91	1	2	-91	-91	1	2	-91	-91	-91	2	2	-91	81	45	1	2	-91	-91	-91	1	1	-91	61	85	1	1	4	5	2	2	1	1	2	2	3	2	9.1	8.1	4	4
NS11340X	12202	122	1.14046763633045	3	6	2008	1	-91	-91	1	1	-91	-91	1	1	1	3	-91	-91	-91	-91	22	85	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	5	5	2	2	1	1	0	1	-91	6	14.3	3.1	8	1
NS11345C	12503	125	.268381935104971	2	8	2008	1	-91	-91	1	2	-91	-91	1	1	1	2	-91	-91	-91	-91	33	75	1	1	2	3	-91	-91	-91	-91	61	85	1	1	6	5	3	2	1	1	1	1	7	6	7.3	6	3	2
NS11346D	13102	131	.970401676785213	3	6	2008	1	-91	-91	2	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	-98	6	5	3	2	1	1	0	-98	-91	-98	14.3	-98	8	-98
NS11348F	12017	120	1.15323961049977	3	6	2008	1	-91	-91	1	2	-91	-91	1	1	1	2	-91	-91	-91	-91	11	45	1	1	1	2	-91	-91	-91	-91	11	52	1	1	5	5	2	2	1	1	1	1	4	4	5	5	2	2
NS11350R	10406	104	1.14651764437617	3	6	2008	1	-91	-91	3	-91	-91	-91	1	2	-91	-91	-91	1	1	-91	53	45	1	1	2	2	-91	-91	-91	-91	-95	-95	1	1	5	5	2	2	1	1	1	2	-94	3	16	9.1	-94	4
NS11351S	13403	134	.317505482204827	1	6	2008	1	-91	-91	1	1	-91	-91	1	1	1	3	-91	-91	-91	-91	11	34	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	5	5	2	2	1	1	0	1	-91	4	14.3	2	8	1
NS11352T	12503	125	1.40318680880862	2	8	2008	2	1	-91	1	2	-91	-91	1	2	-91	-91	-91	2	2	-91	53	45	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-98	1	4	4	2	2	1	1	-98	2	-98	2	-98	8.1	-98	4
NS11353V	12904	129	1.55240131187758	1	7	2008	1	-91	-91	2	-91	1	-91	1	1	2	-1	-1	-91	-91	-91	82	34	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	5	5	2	2	1	1	0	1	-91	7	14.3	12.3	8	6
NS11354W	13605	136	.270046491323547	3	6	2008	1	-91	-91	1	1	-91	-91	1	2	-91	-91	-91	-1	-1	-1	82	60	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	5	6	2	3	1	1	0	2	-91	3	14.3	9.1	8	4
NS11356Y	12342	123	.284645067678948	3	6	2008	1	-91	-91	1	-1	-91	-91	1	1	1	-1	2	-91	-91	-91	11	27	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	6	7	3	3	1	1	0	1	-91	5	14.3	5	8	2
NS11357Z	11301	113	1.13555079914384	3	6	2008	1	-91	-91	3	-91	-91	-91	1	2	-91	-91	-91	1	2	-91	53	45	1	1	2	-1	2	-91	-91	-91	33	75	1	1	6	5	3	2	1	1	1	2	7	3	7.2	9.1	3	4
NS11358A	12702	127	.503430362567208	1	6	2008	1	-91	-91	1	2	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	7	7	3	3	1	1	0	0	-91	-91	14.3	14.3	8	8
NS11362N	11905	119	.256876272731657	1	7	2008	1	-91	-91	1	2	-91	-91	1	1	1	1	-91	-91	-91	-91	22	52	1	1	1	1	-91	-91	-91	-91	32	85	1	1	6	7	3	3	1	1	1	1	6	6	4.1	3.1	2	1
NS11364Q	11324	113	1.10419157468284	2	8	2008	1	-91	-91	1	2	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	1	2	-91	-91	-91	-91	32	85	1	1	6	6	3	3	1	1	1	0	6	-91	4.1	14.3	2	8
NS11365R	12332	123	1.33864395726288	1	8	2008	2	2	1	2	-91	3	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-98	-98	-91	-91	-91	-91	-91	-91	-98	-98	-98	-98	-98	-98	-98	-98
NS11368V	11201	112	.297253924706813	3	6	2008	1	-91	-91	-1	-91	-91	-91	1	2	-91	-91	-91	1	1	-91	52	50	1	1	-1	-1	2	-91	-91	-91	-95	-95	1	1	5	8	2	4	1	1	1	2	-94	3	16	9.1	-94	4
NS11369W	11416	114	.275293885621473	1	6	2008	1	-91	-91	1	2	-91	-91	1	2	-91	-91	-91	1	-1	-1	53	74	1	2	-91	-91	-91	2	-1	-1	22	85	1	1	5	5	2	2	1	1	2	2	1	3	3.3	9.1	1	4
NS11370F	12505	125	1.1119127546989	3	6	2008	1	-91	-91	1	2	-91	-91	1	1	1	1	-91	-91	-91	-91	41	75	1	1	2	1	-91	-91	-91	-91	61	85	1	1	6	7	3	3	1	1	1	1	7	6	7.3	6	3	2
NS11372H	12814	128	.363464563044174	1	6	2008	1	-91	-91	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-98	-98	-91	-91	-91	-91	-91	-91	-98	-98	-98	-98	-98	-98	-98	-98
NS11373J	10843	108	3.12763439115649	3	8	2008	3	-91	-91	2	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-98	-98	-91	-91	-91	-91	-91	-91	-98	-98	-98	-98	-98	-98	-98	-98
NS11374K	12041	120	1.64248068691553	3	7	2008	2	2	5	1	2	-91	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-98	-98	5	6	2	3	1	1	-98	-98	-98	-98	-98	-98	-98	-98
NS11375L	10701	107	1.09680438635343	3	6	2008	1	-91	-91	1	1	-91	-91	1	2	-91	-91	-91	2	3	-91	54	22	1	2	-91	-91	-91	2	3	-91	91	22	1	1	6	6	3	3	1	1	2	2	1	1	1	1	1	1
NS11376M	11446	114	.256903378287912	3	6	2008	1	-91	-91	1	-1	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	6	10	3	5	1	0	0	0	-91	-91	14.3	14.3	8	8
NS11377N	11753	117	1.07215400465982	1	7	2008	1	-91	-91	1	2	-91	-91	1	1	2	1	-91	-91	-91	-91	53	74	1	1	2	2	-91	-91	-91	-91	61	80	1	1	6	7	3	3	1	1	1	1	7	7	12.7	13.3	6	7
NS11378P	11714	117	1.18769653781613	3	6	2008	1	-91	-91	2	-91	1	-91	1	1	-1	-1	2	-91	-91	-91	82	60	1	1	-1	-1	-1	-91	-91	-91	71	-95	1	1	7	8	3	4	1	1	1	1	7	7	12.1	13.3	6	7
NS11379Q	12522	125	1.02686251122082	1	6	2008	1	-91	-91	1	2	-91	-91	1	2	-91	-91	-91	1	1	-91	53	45	1	1	2	-1	-1	-91	-91	-91	42	67	1	1	6	6	3	3	1	1	1	2	7	3	7.1	9.1	3	4
NS11380A	12038	120	1.97522175713275	2	10	2008	1	-91	-91	2	-91	1	-91	1	1	2	-1	-1	-91	-91	-91	53	45	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	2	4	-91	2	-91	1	-91	0	1	-91	7	14.3	13.3	8	7
NS11382C	10833	108	1.0624751515471	1	9	2008	3	-91	-91	1	2	-91	-91	1	1	2	2	-91	-91	-91	-91	81	28	1	1	2	1	-91	-91	-91	-91	42	60	1	2	7	-91	3	-91	1	-91	1	1	7	7	7.1	12.4	3	6
NS11383D	13707	137	.253524434928877	2	10	2008	1	-91	-91	2	-91	2	-91	1	1	2	1	-91	-91	-91	-91	82	60	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	5	6	2	3	1	1	0	1	-91	7	14.3	13.3	8	7
NS11384E	10839	108	.284623519848673	1	7	2008	1	-91	-91	2	-91	-1	-91	1	1	1	-1	-1	-91	-91	-91	41	-95	1	1	-1	-1	-1	-91	-91	-91	41	-95	1	1	7	7	3	3	1	1	1	1	7	6	7.2	6	3	2
NS11386G	11016	110	.401207394889316	3	6	2008	2	1	-91	1	1	-91	-91	1	2	-91	-91	-91	2	2	-91	11	52	1	1	-1	1	-91	-91	-91	-91	71	52	1	1	6	5	3	2	1	1	1	2	7	2	12.1	8.1	6	4
NS11387H	11409	114	1.09028216786921	1	7	2008	1	-91	-91	1	2	-91	-91	1	1	-1	2	-91	-91	-91	-91	23	80	1	1	2	1	-91	-91	-91	-91	-95	85	1	1	7	8	3	4	1	1	1	1	-94	7	16	4.1	-94	2
NS11388J	12543	125	1.95234736469659	1	8	2008	2	1	-91	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	6	5	3	2	1	1	-94	-94	-94	-94	17	17	-94	-94
NS11390V	11732	117	.988803575187893	2	9	2008	2	1	-91	1	2	-91	-91	1	1	1	3	-91	-91	-91	-91	23	75	1	1	1	1	-91	-91	-91	-91	11	64	1	1	5	6	2	3	1	1	1	1	5	6	5	3.1	2	1
NS11392X	11039	110	.363624187509565	1	7	2008	1	-91	-91	1	2	-91	-91	1	2	-91	-91	-91	2	2	-91	12	50	1	1	2	2	-91	-91	-91	-91	41	75	1	1	6	8	3	4	1	1	1	2	7	2	7.1	8.1	3	4
NS11393Y	656	48	.583633628288388	2	8	2008	1	-91	-91	1	2	-91	-91	1	1	2	2	-91	-91	-91	-91	24	85	1	1	2	2	-91	-91	-91	-91	32	85	1	1	6	7	3	3	1	1	1	1	7	7	4.1	4.1	2	2
NS11394Z	656	48	.388562342460546	3	6	2008	1	-91	-91	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-98	-98	7	-91	3	-91	1	-91	-98	-98	-98	-98	-98	-98	-98	-98
NS11395A	10503	105	1.10902710876149	3	6	2008	1	-91	-91	2	-91	-1	-91	1	2	-91	-91	-91	1	1	-91	53	45	1	1	2	-1	2	-91	-91	-91	92	85	1	1	6	8	3	4	1	1	1	2	7	3	13.4	9.1	7	4
NS11396B	10416	104	1.30632169366718	1	7	2008	1	-91	-91	2	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	2	-91	-91	-91	1	1	-91	12	74	1	-98	4	-91	2	-91	1	-91	2	-98	3	-98	9.1	-98	4	-98
