NSID	SampPSU	SampStratum	W2FinWt	w2intmonthMP	w2intyearMP	w2intmonthSP	w2intyearSP	W2pareveMP	W2tmeetfMP	W2tspeakMP	W2schlifMP	W2vocs1MP	W2vocs2MP	W2extrtu1MP	W2extrtu2MP0a	W2extrtu2MP0b	W2extrtu2MP0c	W2extrtu2MP0d	W2extrtu2MP0e	W2extrtu2MP0f	W2extrtu2MP0g	W2extrtu2MP0h	W2extrtu2MP0i	W2extrtu2MP0j	W2extrtu2MP0k	W2extrtu3MP	W2extrtu4MP	W2extrtu5MP0a	W2extrtu5MP0b	W2extrtu5MP0c	W2extrtu5MP0d	W2extrtu5MP0e	W2extrtu5MP0f	W2extrtu5MP0g	W2extrtu5MP0h	W2extrtu5MP0i	W2extrtu5MP0j	W2extrtu5MP0k	W2extrtu6MP	W2parasp2MP	W2parasp1MP	W2jobdiscMP	W2AwarEmaMP	W2EmaGetMP	W2EmaYnotMP0a	W2EmaYnotMP0b	W2EmaYnotMP0c	W2EmaYnotMP0d	W2EmaYnotMP0e	W2EmaYnotMP0f	W2EmaYnotMP0g	W2FeFinMP0a	W2FeFinMP0b	W2FeFinMP0c	W2FeFinMP0d	W2FeFinMP0e	W2FeFinMP0f	W2FeFinMP0g	W2FEfn2MP0a	W2FEfn2MP0b	W2FEfn2MP0c	W2FEfn2MP0d	W2FEfn2MP0e	W2FEfn2MP0f	W2FEfn2MP0g	W2FEfn2MP0h	W2FEfn2MP0i	W2FEfn2MP0k	W2FEfn2MP0j	W2PpresMP0a	W2PpresMP0b	W2PpresMP0c	W2PpresMP0d	W2PpresMP0e	W2PpresMP0f	w2mainres	w2secores
NS22005Y	12324	123	.355494635697932	7	2005	-91	-91	2	2	5	3	1	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	-91	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	 	 
NS21112W	10306	103	1.81960427572995	6	2005	6	2005	2	2	3	2	1	2	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	0	0	1	0	0	0	0	0	0	0	0	3	1	1	-91	1	2	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	 	 
NS25351K	12357	123	1.20773850426539	6	2005	6	2005	1	2	4	2	1	2	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	-91	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	 	 
NS24235C	12034	120	1.14964934414528	6	2005	6	2005	2	1	4	2	1	2	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	3	3	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	 	 
NS16648Q	11753	117	.343820707127524	9	2005	9	2005	1	2	3	1	1	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	 	 
NS19283R	11205	112	.400895457901854	7	2005	7	2005	1	1	4	2	2	2	1	0	0	0	0	1	0	0	0	0	0	0	3	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	-91	1	-1	-91	-91	-91	-91	-91	-91	-91	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	 	 
NS10140X	13702	137	.290838786983351	8	2005	8	2005	2	1	4	1	2	2	1	1	0	0	0	1	0	0	0	0	0	0	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	 	 
NS14296L	10816	108	1.31235234364466	5	2005	5	2005	1	1	3	3	1	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	3	3	-91	1	1	-91	-91	-91	-91	-91	-91	-91	0	1	0	0	0	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	1	1	1	1	1	 	 
NS17932R	12340	123	1.16277752101146	6	2005	6	2005	1	2	3	2	1	2	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	0	0	0	0	0	0	0	0	0	0	3	-1	-1	-91	1	2	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	 	 
NS24111G	11313	113	1.19148965506545	7	2005	7	2005	2	2	3	1	2	2	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	4	1	-91	1	-1	-91	-91	-91	-91	-91	-91	-91	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	 	 
NS13683B	12002	120	1.13961377403837	6	2005	6	2005	1	2	4	2	2	2	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	0	0	0	0	0	0	0	0	0	0	3	1	1	-91	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	 	 
NS19170R	11711	117	.422156622861915	5	2005	-91	-91	2	1	4	2	1	2	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	-91	1	1	-91	-91	-91	-91	-91	-91	-91	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	 	 
NS14332R	11402	114	1.13953864633901	9	2005	-91	-91	2	2	4	2	2	2	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	-91	1	-1	-91	-91	-91	-91	-91	-91	-91	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	 	 
NS21616L	12822	128	.163939811093123	5	2005	-91	-91	6	2	5	4	2	2	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	-91	1	1	-91	-91	-91	-91	-91	-91	-91	0	0	0	0	0	0	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	0	1	0	0	0	 	 
NS24668Y	12350	123	1.15999132437472	5	2005	5	2005	1	2	5	4	1	2	1	0	0	0	0	1	0	0	0	0	0	0	3	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	1	0	1	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	 	 
NS12451Q	11305	113	1.91751937232943	5	2005	5	2005	1	2	4	2	1	2	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	2	1	1	-1	-91	-91	-91	-91	-91	-91	-91	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	 	 
NS21318G	12525	125	1.19948888523458	6	2005	6	2005	1	2	4	3	2	2	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-1	-1	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	0	0	0	0	0	0	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	1	1	0	0	0	 	 
NS16391Z	13514	135	.939472782087796	5	2005	5	2005	6	1	2	1	1	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	3	1	1	-1	-91	-91	-91	-91	-91	-91	-91	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	 	 
NS21844X	12539	125	1.48882247440126	6	2005	6	2005	1	2	3	2	1	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	3	2	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	1	1	0	0	0	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	1	0	0	0	0	 	 
NS21757S	12025	120	1.21465596945974	5	2005	5	2005	6	2	5	2	1	2	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	3	3	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	0	0	0	0	1	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	0	1	0	0	0	 	 
