NSID	W7FinAct21_B11	W7FinAct22_B11	W7FinAct23_B11	W7FinAct24_B11	W7FinAct25_B11	W7FinAct26_B11	W7FinAct27_B11	W7FinAct28_B11	W7FinAct29_B11	W7FinAct30_B11	W7FinAct31_B11	W7FinAct32_B11	W7FinAct33_B11	W7FinAct34_B11	W7FinAct35_B11	W7FinAct36_B11	W7FinAct37_B11	W7FinAct38_B11	W7FinAct39_B11	W7FinAct40_B11	W7FinAct41_B11	W7FinAct42_B11	W7FinAct43_B11	W7FinAct44_B11	W7FinAct45_B11	W7FinAct46_B11	W7FinAct47_B11	W7FinAct48_B11	W7FinAct49_B11	W7FinAct50_B11	W7FinAct51_B11	W7FinAct52_B11	W7FinAct53_B11	W7FinAct54_B11	W7FinAct55_B11	W7FinAct56_B11	W7FinAct57_B11	W7FinAct58_B11	W7FinAct59_B11	W7FinAct60_B11	W7FinAct61_B11	W7FinAct62_B11	W7FinAct63_B11	W7FinAct64_B11	W7FinAct65_B11
NS22307G	6	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	6	6	6	6	6	6	6	6	4	4	4	6	6	6	6	6
NS14702R	1	1	1	1	1	6	6	6	6	6	6	6	6	6	6	6	4	4	6	6	6	6	6	6	6	5	5	5	5	6	6	6	6	6	6	6	6	5	5	5	5	5	5	5	5
NS16689V	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NS21277W	1	1	1	1	1	1	1	1	1	1	1	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
NS23180X	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	4	4	4	4
NS18988R	4	4	4	4	4	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94
NS13188W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NS18236B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
NS10859R	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NS19022T	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
NS14585X	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
NS13240L	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
NS22068T	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	1	1	1	1	1	1	1	6	6	6	4	4	4	4	1	1	1	6	6	6	6	6
NS14208M	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	6	6	6
NS25355P	1	1	1	1	1	1	1	1	1	1	1	6	6	6	6	6	6	6	6	6	6	6	6	4	4	4	4	4	4	4	4	4	4	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94
NS25408X	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
NS21254D	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	6	6	6	6	6	6	6	6	6	4	4	4	4	6	6	6	6
NS23529Y	6	6	6	6	6	6	6	6	6	6	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
NS20657V	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
NS21210W	4	4	4	4	4	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94
NS20044J	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-94	-94	-94	-94	-94	-94	-94	-94
NS12269P	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NS13732E	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94
NS17107W	1	1	1	1	1	6	6	6	6	6	6	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NS25117J	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NS10968M	1	1	1	1	1	1	1	1	1	1	1	6	6	6	6	6	6	6	6	6	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NS13532A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NS14646X	1	1	1	1	1	1	1	6	6	6	4	4	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94
NS21177T	4	4	4	4	4	4	4	4	4	4	1	1	1	1	6	6	6	6	6	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
NS10476T	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NS20897C	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	4	4	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
