idacirscore_y,w2sexyp,w4ghq12scr,w2ethnicyp,w2fat5yp,bullied,truant,w2hiqualgmp,w3outschbyp,w7heflag,w9danvqh,w9dvnvqh,w9drussell,imdrscore_y,gor_x,marital_status_MP,w4lnpar,w3parqualmp,w4readsyp,w4concenyp,w4noconfyp,drugs,job_attd,w6univyp,w9_income_above_median
0.21,0.0,2.0,1.0,2.0,0.05263,0,2.0,2.0,2,4.0,2.0,3.0,18,6,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0
0.38,0.0,2.0,4.0,2.0,0.05263,0,,1.0,1,4.0,6.0,1.0,35,7,2.0,2.0,4.0,4.0,2.0,2.0,0.0,2.0,1.0,1.0
0.06,1.0,0.0,1.0,3.0,0.05263,0,3.0,1.0,2,3.0,3.0,3.0,13,5,2.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,0.0,1.0
0.27,0.0,1.0,1.0,2.0,0.05263,0,5.0,2.0,1,4.0,2.0,1.0,29,1,2.0,2.0,4.0,2.0,2.0,2.0,0.0,3.0,1.0,1.0
0.02,1.0,0.0,1.0,3.0,0.10526,0,1.0,2.0,1,4.0,6.0,2.0,4,7,2.0,2.0,4.0,3.0,2.0,1.0,0.0,3.0,1.0,1.0
0.32,0.0,0.0,3.0,2.0,0.10526,0,2.0,2.0,2,4.0,1.0,3.0,40,5,2.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
0.47,1.0,1.0,1.0,3.0,0.05263,0,3.0,2.0,2,6.0,6.0,3.0,33,6,2.0,2.0,5.0,2.0,1.0,1.0,0.0,3.0,0.0,1.0
0.02,1.0,12.0,3.0,3.0,0.05263,1,4.0,2.0,1,5.0,6.0,2.0,5,4,2.0,2.0,5.0,4.0,3.0,4.0,1.0,2.0,0.0,1.0
0.09,0.0,7.0,1.0,2.0,0.21053,0,3.0,2.0,2,2.0,2.0,3.0,27,1,2.0,2.0,2.0,5.0,2.0,3.0,0.0,2.0,0.0,0.0
0.12,1.0,7.0,3.0,3.0,0.05263,0,5.0,2.0,1,4.0,1.0,2.0,19,5,2.0,2.0,3.0,3.0,1.0,3.0,0.0,3.0,1.0,0.0
0.39,0.0,4.0,1.0,2.0,0.05263,1,5.0,2.0,2,1.0,3.0,3.0,46,5,3.0,2.0,3.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0
